strain,blob_area_90th_medianDiff_all,blob_area_w_paused_50th_medianDiff_all,blob_area_w_paused_90th_medianDiff_all,blob_area_w_paused_IQR_medianDiff_all,blob_box_length_IQR_medianDiff_all,blob_box_length_w_paused_90th_medianDiff_all,blob_box_length_w_paused_IQR_medianDiff_all,blob_box_width_90th_medianDiff_all,blob_box_width_IQR_medianDiff_all,blob_box_width_w_forward_IQR_medianDiff_all,blob_box_width_w_paused_10th_medianDiff_all,blob_box_width_w_paused_50th_medianDiff_all,blob_box_width_w_paused_90th_medianDiff_all,blob_box_width_w_paused_IQR_medianDiff_all,blob_compactness_w_paused_10th_medianDiff_all,blob_compactness_w_paused_IQR_medianDiff_all,blob_hu0_10th_medianDiff_all,blob_hu0_IQR_medianDiff_all,blob_hu0_w_paused_10th_medianDiff_all,blob_hu0_w_paused_50th_medianDiff_all,blob_hu1_10th_medianDiff_all,blob_hu1_IQR_medianDiff_all,blob_hu1_w_paused_10th_medianDiff_all,blob_hu1_w_paused_50th_medianDiff_all,blob_hu3_w_paused_10th_medianDiff_all,blob_perimeter_90th_medianDiff_all,blob_perimeter_w_paused_50th_medianDiff_all,blob_perimeter_w_paused_90th_medianDiff_all,blob_perimeter_w_paused_IQR_medianDiff_all,blob_quirkiness_10th_medianDiff_all,blob_quirkiness_50th_medianDiff_all,blob_quirkiness_IQR_medianDiff_all,blob_quirkiness_w_forward_10th_medianDiff_all,blob_quirkiness_w_paused_10th_medianDiff_all,blob_quirkiness_w_paused_50th_medianDiff_all,blob_quirkiness_w_paused_90th_medianDiff_all,blob_quirkiness_w_paused_IQR_medianDiff_all,blob_solidity_w_paused_IQR_medianDiff_all,d_blob_area_10th_medianDiff_all,d_blob_area_90th_medianDiff_all,d_blob_area_IQR_medianDiff_all,d_blob_area_w_paused_10th_medianDiff_all,d_blob_area_w_paused_90th_medianDiff_all,d_blob_area_w_paused_IQR_medianDiff_all,d_blob_box_length_10th_medianDiff_all,d_blob_box_length_90th_medianDiff_all,d_blob_box_width_10th_medianDiff_all,d_blob_box_width_90th_medianDiff_all,d_blob_box_width_IQR_medianDiff_all,d_blob_box_width_w_forward_10th_medianDiff_all,d_blob_box_width_w_forward_IQR_medianDiff_all,d_blob_box_width_w_paused_10th_medianDiff_all,d_blob_box_width_w_paused_90th_medianDiff_all,d_blob_box_width_w_paused_IQR_medianDiff_all,d_blob_compactness_w_backward_50th_medianDiff_all,d_blob_hu0_w_forward_10th_medianDiff_all,d_blob_hu0_w_forward_50th_medianDiff_all,d_blob_hu0_w_forward_90th_medianDiff_all,d_blob_hu0_w_paused_50th_medianDiff_all,d_blob_hu1_50th_medianDiff_all,d_blob_hu1_w_forward_50th_medianDiff_all,d_blob_hu1_w_paused_50th_medianDiff_all,d_blob_hu1_w_paused_IQR_medianDiff_all,d_blob_hu2_50th_medianDiff_all,d_blob_hu2_w_paused_50th_medianDiff_all,d_blob_perimeter_10th_medianDiff_all,d_blob_perimeter_90th_medianDiff_all,d_blob_perimeter_IQR_medianDiff_all,d_blob_perimeter_w_paused_10th_medianDiff_all,d_blob_perimeter_w_paused_90th_medianDiff_all,d_blob_perimeter_w_paused_IQR_medianDiff_all,d_blob_quirkiness_10th_medianDiff_all,d_blob_quirkiness_90th_medianDiff_all,d_blob_quirkiness_IQR_medianDiff_all,d_blob_quirkiness_w_forward_10th_medianDiff_all,d_blob_quirkiness_w_forward_50th_medianDiff_all,d_blob_quirkiness_w_forward_90th_medianDiff_all,d_blob_quirkiness_w_paused_10th_medianDiff_all,d_blob_quirkiness_w_paused_90th_medianDiff_all,d_blob_quirkiness_w_paused_IQR_medianDiff_all
AB1,139700,110500,283850,149150,43.8228,486.3881,100.3932,280.6465,45.0634,0.32383,83.7704,256.3084,458.4047,195.1992,-0.032169,0.11853,-0.24659,0.10705,-0.081105,-0.31143,-0.09956,0.11437,-0.024341,-0.33074,-0.00021623,1354.386,1147.1068,2261.0764,964.2641,-0.086531,-0.010354,0.031594,0.00058055,-0.26352,-0.076647,-0.012062,0.11358,0.083772,-1718.75,1875,1093.75,-6875,7343.75,5468.75,-17.0713,17.0821,-11.9986,14.7347,9.4571,-3.4104,1.5827,-32.8022,35.397,22.4451,-0.00078944,-0.0069885,0.00018906,0.0053986,-0.0028917,-0.0011459,0.0014703,-0.002115,-0.033372,-0.00016441,-0.00018444,-54.9173,50.4761,24.5881,-202.6653,169.1942,155.3297,-0.016385,0.014371,0.0074401,0.0011354,0.00058142,0.0010583,-0.05936,0.053077,0.028393
BRC20067,82150,72425,214200,77381.25,22.6782,208.2603,58.198,203.8097,38.8815,6.6401,26.9071,169.9737,299.871,172.0499,-0.002058,0.076276,-0.22995,0.064312,-0.085894,-0.16153,-0.10518,0.11787,-0.014745,-0.11483,-0.00065048,1165.391,938.1119,746.0911,574.433,-0.069067,-0.0059101,0.01818,-0.012868,-0.16623,-0.035495,0.00073615,0.098302,0.063596,-1015.625,1093.75,546.875,-4843.75,4765.625,3125,-11.5746,13.5761,-6.4524,7.2747,5.3593,-3.598,3.181,-27.4413,31.732,15.8405,-0.00043168,-0.0099136,0.00094846,0.010891,-0.004458,-0.0022368,0.0018556,-0.001972,-0.039892,-0.00044849,-0.00077952,-23.0167,23.668,15.1649,-150.888,119.6381,117.4176,-0.011895,0.012665,0.0044272,-0.0059012,3.6368e-05,0.0058612,-0.026463,0.015504,0.0065736
CB4852,51450,21950,91600,79750,18.4705,321.3491,136.4674,108.9408,32.8583,6.8036,31.9875,66.0494,223.9481,172.5562,-0.065199,-0.01753,0.026254,-0.0039054,-0.031005,0.0044076,-0.014504,0.027525,-0.015032,-0.0047678,-0.00029924,1069.1171,176.1523,1527.1069,1014.8707,-0.03518,-0.00046372,0.01066,-0.0035054,-0.1894,-0.030783,-0.0049423,0.064231,0.023014,-625,625,312.5,-3437.5,3437.5,937.5,-23.91,23.9802,-10.292,15.9565,9.5953,-8.9634,7.4593,-14.0341,15.4007,12.8589,-0.00061071,-0.014937,-0.0001247,0.010817,-0.00016862,0.00059952,0.00095686,0.00010887,0.010843,6.5903e-05,5.2267e-05,-22.748,25.8884,7.5822,-140.1653,140.1656,44.1942,-0.011071,0.011354,0.0051437,-0.0033951,0.00046426,0.0031507,-0.021152,0.022653,0.0036091
CB4854,89200,51550,118600,44987.5,13.7656,60.557,5.897,155.9074,34.3506,2.8239,33.3932,141.5822,257.7862,156.4879,-0.005875,0.023888,-0.2257,0.067144,-0.10295,-0.12086,-0.15883,0.10236,-0.01877,-0.13597,-0.00014645,905.2689,520.6245,747.637,133.7261,-0.071089,-0.0061889,0.017137,-0.006083,-0.24235,-0.049864,-0.010388,0.089855,0.062398,-1093.75,1250,625,-3281.25,2968.75,2500,-11.502,9.4857,-7.5784,7.6587,4.8242,-4.8429,3.51,-25.2742,13.0412,14.4525,-0.00092355,-0.0058914,0.00020647,0.0042596,-0.0024863,-0.0020127,0.00041369,-0.0022335,-0.079706,-0.00038359,-0.00037799,-36.612,36.6116,15.1653,-21.4465,-3.1404,7.5817,-0.0099683,0.010173,0.004174,-0.0039599,0.000217,0.0027351,-0.047569,0.040871,0.01966
CB4856,40575,38625,165970,66800,18.6075,205.1447,133.3868,83.4966,16.3467,3.9544,39.0266,104.2742,252.3547,180.5156,-0.023947,0.068185,-0.14527,0.029155,-0.111,-0.17733,-0.14043,0.061166,-0.032852,-0.16934,-0.00026036,511.127,720.1219,1027.1775,709.1079,-0.054787,-0.006491,0.013346,-0.014428,-0.18313,-0.041432,-0.0072197,0.075838,0.070421,-546.875,546.875,312.5,-4843.75,4921.875,3515.625,-12.6826,13.039,-7.2279,9.8155,5.6436,-4.0843,4.1592,-30.1313,34.1794,20.8672,-0.00064746,-0.0095585,0.0007832,0.0084632,-0.0011757,-0.00099084,0.0015734,-0.0014925,-0.032504,-0.00028448,-7.1334e-05,-15.1651,15.1649,6.2819,-114.2765,110.4853,144.8761,-0.010492,0.0087557,0.005151,-0.0063859,0.0004095,0.0055203,-0.043393,0.042456,0.021881
CB4932,138350,66950,221250,82450,32.2735,130.7328,150.9791,253.5328,52.5895,2.6656,31.6192,224.2177,298.7162,193.9158,-0.013992,0.046312,-0.276,0.10618,-0.11293,-0.20765,-0.13332,0.16843,-0.030363,-0.19869,-0.00035729,955.9796,854.5585,1162.9646,558.8224,-0.13792,-0.011128,0.041334,-0.012893,-0.23802,-0.082557,-0.015648,0.11139,0.075127,-937.5,937.5,625,-5000,5625,3750,-13.794,16.013,-10.0317,11.4685,7.7517,-6.8426,4.3659,-21.0721,21.8296,16.6374,-0.00024522,-0.0093661,0.0012338,0.0067224,-0.0027092,-0.0025499,0.0012663,-0.0027495,-0.045806,-0.00023473,-0.00025304,-32.1698,29.0294,18.3058,-91.5289,100.4124,88.3882,-0.01638,0.015696,0.007589,-0.0057516,0.00028741,0.0065084,-0.053472,0.05347,0.029493
CX11254,27600,41150,94350,30800,-0.85079,415.5101,160.6538,75.239,19.5219,5.1544,78.2802,125.8868,319.991,168.2974,-0.054465,0.011133,-0.00067246,0.013128,0.031089,-0.032961,0.018158,0.093602,-0.0074447,-0.090783,-4.1284e-05,396.9849,877.4012,1864.5079,695.9798,-0.02157,0.00093043,0.0060308,-0.0087351,-0.20434,-0.053519,-0.0098221,0.045832,0.032177,-625,781.25,468.75,-3125,3203.125,2031.25,-19.2353,17.6855,-8.8643,11.3111,4.5351,-7.7116,6.219,-23.2779,28.3934,14.2083,-0.00033316,-0.010269,0.00062995,0.012416,-0.0018753,-0.00024778,0.0032889,-0.00092531,-0.025078,8.7071e-05,-0.00029256,-18.3058,18.3058,3.1409,-169.1942,169.1942,140.1648,-0.0051668,0.0031179,0.0021061,-0.0038968,0.00060601,0.0031401,-0.039775,0.038693,0.019939
CX11262,2750,-5675,49650,-2250,5.1559,51.0853,176.8597,27.8253,7.3183,4.176,24.5587,83.802,291.0246,147.0488,-0.028222,-0.016173,-0.03108,-0.00087395,-0.30986,-0.24064,-0.048418,-0.0043821,-0.4666,-0.49011,-0.010297,84.8529,15.6495,948.3712,873.6359,-0.038121,-0.0021945,0.0049518,-0.014893,-0.19837,-0.020892,-0.0074227,0.067899,0.017387,312.5,-468.75,-156.25,2968.75,-2656.25,-4218.75,-2.4508,4.2779,-3.5833,5.2038,2.3857,2.0208,-0.073441,-28.8645,34.6241,14.6112,-0.00028317,-0.0007274,0.00083223,0.0020463,0.0012441,0.00071428,0.0021683,0.00050471,-0.079819,9.3307e-05,0.00018836,0,0.00047302,-4.4417,-77.0147,108.2649,47.0657,-0.0056027,0.004648,0.0021304,-0.0022369,1.1735e-05,0.0023628,-0.035982,0.042263,0.013326
CX11264,45250,55600,106200,49500,8.8272,302.7971,93.9359,128.6918,16.7042,3.5938,42.3231,139.89,241.9418,190.0896,-0.038643,0.10772,-0.16237,0.062838,-0.066971,-0.22187,-0.083504,0.023022,-0.010433,-0.11616,-0.00054553,496.5684,380.4163,1223.259,736.9849,-0.062824,-0.0033795,0.017088,-0.006748,-0.22372,-0.032311,-0.0075723,0.081034,0.066981,-625,625,312.5,-4218.75,4375,3125,0.75531,1.3309,-1.8539,1.5718,1.6229,1.0296,0.75724,-22.5763,23.126,15.9147,-0.00051325,-0.0016044,0.00010226,0.0036492,-0.001986,-0.002101,0.000954,-0.0012868,-0.037915,-0.0002633,-0.00046048,-18.3058,21.4465,12.0249,-117.4178,123.1473,95.9713,-0.0084447,0.0081317,0.0038164,-0.0016415,0.0001248,0.0015425,-0.018773,0.022364,0.0067801
CX11271,18600,7200,79850,35637.5,12.9674,27.3887,95.1093,48.4848,6.9539,0.50317,60.2878,80.6071,118.7166,85.4381,-0.0072688,0.00016706,-0.17942,0.030514,0.017917,-0.17173,-0.12835,0.036732,-0.0050608,-0.15556,-0.00014281,352.1322,243.8477,622.6702,334.8527,-0.05707,-0.0087967,0.016113,-0.028383,-0.21246,-0.04067,-0.011771,0.062354,0.0058748,-625,468.75,312.5,-3906.25,3750,3281.25,-5.497,7.32,-5.6462,6.561,4.7841,-2.3404,3.09,-22.5879,17.1944,17.3179,-0.00091046,-0.021709,0.0018205,0.021717,-2.2724e-05,0.00022048,0.0031823,0.00051092,-0.035934,-0.00028677,-3.2927e-05,-21.4462,18.3058,15.1653,-106.6945,91.5289,121.8589,-0.017058,0.017095,0.0081485,-0.012076,0.00045635,0.0093687,-0.047019,0.037698,0.027509
