strain,blob_box_width_w_forward_IQR_medianDiff,blob_quirkiness_w_forward_10th_medianDiff,d_blob_box_width_w_forward_10th_medianDiff,d_blob_box_width_w_forward_IQR_medianDiff,d_blob_hu0_w_forward_10th_medianDiff,d_blob_hu0_w_forward_50th_medianDiff,d_blob_hu0_w_forward_90th_medianDiff,d_blob_hu1_w_forward_50th_medianDiff,d_blob_quirkiness_w_forward_10th_medianDiff,d_blob_quirkiness_w_forward_50th_medianDiff,d_blob_quirkiness_w_forward_90th_medianDiff,d_dist_from_food_edge_w_forward_IQR_medianDiff,d_path_curvature_body_w_forward_abs_10th_medianDiff,d_path_curvature_head_w_forward_abs_10th_medianDiff,d_path_curvature_tail_w_forward_abs_10th_medianDiff,d_quirkiness_w_forward_50th_medianDiff,dist_from_food_edge_w_forward_50th_medianDiff,dist_from_food_edge_w_forward_IQR_medianDiff,motion_mode_forward_duration_50th_medianDiff,motion_mode_forward_fraction_medianDiff,orientation_food_edge_w_forward_10th_medianDiff,orientation_food_edge_w_forward_90th_medianDiff,orientation_food_edge_w_forward_IQR_medianDiff,relative_to_body_radial_velocity_neck_w_forward_50th_medianDiff
AB1,0.32383,0.00058053,-3.4104,1.5827,-0.0069886,0.00018906,0.0053986,0.0014703,0.0011354,0.00058142,0.0010583,27.0168,-8.3148e-06,-9.0936e-05,-3.6943e-05,0.0004161,313.0509,614.1302,-0.14,-0.10254,-8.8182,6.244,19.8179,0.36388
BRC20067,6.6401,-0.012868,-3.598,3.181,-0.0099136,0.00094846,0.010891,0.0018556,-0.0059012,3.6368e-05,0.0058612,27.8417,-3.3376e-05,-0.00041384,-0.00015884,3.645e-05,465.2384,563.0939,-2.51,-0.1806,-4.7798,3.0393,17.0838,0.2271
CB4852,6.8036,-0.0035054,-8.9634,7.4593,-0.014937,-0.0001247,0.010817,0.00095686,-0.0033951,0.00046426,0.0031507,44.1035,-1.6294e-05,-1.6296e-05,3.5602e-05,0.00031397,802.9231,444.9965,0.04,0.0040478,-7.1486,0.64822,21.0492,0.56172
CB4854,2.8239,-0.0060829,-4.8429,3.51,-0.0058914,0.00020647,0.0042596,0.00041369,-0.0039599,0.000217,0.0027351,35.9749,-1.6538e-05,-0.00028741,-0.00010837,0.00012805,16.6928,160.9983,-0.76,-0.17319,-9.4027,7.0422,20.2149,0.099098
CB4856,3.9445,-0.013369,-3.9621,3.6564,-0.0094423,0.00078059,0.0083547,0.0015208,-0.0063069,0.00042412,0.0054583,27.8703,-2.2625e-05,-0.0004202,-0.000221,0.00028368,214.3239,309.0959,-3.92,-0.14245,-5.4719,4.5227,13.4978,0.25009
CB4932,2.6656,-0.012893,-6.8426,4.3659,-0.0093661,0.0012338,0.0067224,0.0012663,-0.0057516,0.00028741,0.0065084,25.4387,-1.6015e-05,-0.0003204,-0.00011476,0.00027606,761.9647,583.1871,-1.8,-0.21638,-6.1667,5.287,18.642,0.33032
CX11254,5.1544,-0.0087351,-7.7116,6.219,-0.010269,0.00062995,0.012416,0.0032889,-0.0038968,0.00060601,0.0031401,34.6271,-7.093e-06,-6.2095e-05,-8.7644e-05,0.00028778,164.4058,153.2231,-1.72,-0.037394,-8.8385,2.3148,20.9674,0.41067
CX11262,4.176,-0.014893,2.0208,-0.07344,-0.0007274,0.00083223,0.0020463,0.0021683,-0.0022369,1.1735e-05,0.0023628,-19.6649,-2.1392e-05,-0.00044876,-0.00021055,6.6834e-05,288.2332,-402.6777,-7.82,-0.053947,-0.59601,4.7273,4.8016,0.1039
CX11264,3.5938,-0.0067479,1.0296,0.75724,-0.0016044,0.00010226,0.0036492,0.000954,-0.0016415,0.0001248,0.0015425,-5.5092,-1.9166e-05,-0.00051511,-0.00017103,0.00010617,160.118,227.9482,-2.76,-0.076765,-3.2099,4.175,4.973,-0.054892
CX11271,0.50317,-0.028383,-2.3404,3.09,-0.021709,0.0018205,0.021717,0.0031823,-0.012076,0.00045635,0.0093687,25.5942,-2.2935e-05,-9.5185e-05,-0.00013091,0.00038103,566.541,706.1899,-2.12,-0.12043,-6.4672,5.8429,18.4145,0.37089
CX11276,3.2199,-0.018295,-2.9543,0.15527,-0.011946,0.00087582,0.011707,0.00069413,-0.0038212,0.00018356,0.0048023,21.5497,-3.3241e-05,-0.00054138,-5.7354e-05,6.6973e-05,374.6141,482.9305,-1.96,-0.095099,-4.9398,7.5814,19.8952,-0.048353
CX11285,5.0024,-0.021586,0.93968,0.71955,0.0025855,0.0015731,0.001087,0.0014668,-0.0075904,0.00033579,0.0087033,-21.87,-3.6736e-05,-0.00047398,-0.0003014,0.00024358,-182.5789,56.7252,-2.01,-0.13224,-2.2024,2.952,9.5604,-0.0021091
CX11292,2.3468,-0.0078393,-3.1174,2.962,-0.009713,0.00073332,0.0070808,0.0024846,-0.0042476,0.00052135,0.0041692,35.9895,-1.5896e-05,-0.00036417,-0.00018357,0.00040712,493.1134,692.842,-1.3,-0.17371,-10.6676,8.9775,23.5232,0.44047
CX11307,4.3402,-0.01891,-4.8918,2.9318,-0.016039,7.404e-05,0.015372,-0.00042254,-0.0123,0.00039358,0.010039,18.5542,-9.0521e-06,-0.00024746,-6.3369e-05,0.00041182,173.6084,92.0802,-1.6,-0.076511,-7.3236,0.6861,18.3797,0.26838
CX11314,4.2293,-0.014065,-7.0415,5.7191,-0.010071,0.001285,0.010075,0.0018103,-0.0076251,0.00055935,0.0067371,39.2026,-2.125e-05,-0.00021528,-0.00016176,0.00034499,435.9121,574.4913,-2.44,-0.12523,-10.1197,7.1349,24.3579,0.43754
CX11315,3.4004,-0.011278,-7.8136,4.0622,-0.018431,0.0010602,0.018671,0.0025969,-0.007487,0.00035763,0.0081903,55.8325,-3.4202e-06,-8.8443e-05,-1.6177e-06,0.00016308,427.2018,420.739,-1.8,-0.047377,-12.2713,5.4469,23.1359,0.36096
DL200,6.6704,-0.021602,-1.1446,1.5439,-0.0030166,0.00061169,0.001594,0.00075568,-0.004462,0.0001573,0.0042107,-11.9115,-2.6663e-05,-0.0004992,-0.00025035,6.4667e-05,119.7621,-369.6586,-3.64,-0.16806,-0.31549,2.6834,-2.299,0.0089602
DL226,7.3005,-0.014275,-5.1156,3.9193,-0.0037447,0.00048298,0.0053207,0.00069053,-0.0042606,0.00028294,0.003196,6.8737,-1.6578e-05,-0.00044209,-0.00012882,0.00026034,757.5067,85.0159,-7.22,-0.17126,-1.1575,1.6003,4.7343,0.13355
DL238,4.7584,-0.013889,-9.2433,5.7079,-0.018836,0.00067027,0.01725,0.0016141,-0.011698,0.00063526,0.011237,42.6768,-2.6993e-05,-0.00014702,-3.3016e-05,0.00037895,-3.7125,53.3694,-3.33,-0.10521,-4.3352,3.6771,9.6159,0.37518
ECA246,2.8449,0.0020717,-5.1546,3.7208,-0.0087487,0.00052117,0.0089405,0.0014244,-0.003894,0.0005309,0.0034025,21.1771,-1.5719e-05,-0.00035434,-0.00024299,0.0003574,297.639,471.2399,-1.69,-0.098535,-1.7441,3.3619,13.5153,0.41083
ECA248,1.0158,0.00010015,-4.5759,0.5324,-0.0094922,0.00067297,0.01006,0.0034843,0.00077764,0.00050515,0.000997,40.8694,-3.7006e-05,-0.00025631,-1.3356e-05,0.00030247,571.4453,1088.8174,0.48,-0.11451,-20.4819,10.6712,29.428,0.52904
