strain,blob_area_w_paused_50th_medianDiff,blob_area_w_paused_90th_medianDiff,blob_area_w_paused_IQR_medianDiff,blob_box_length_w_paused_90th_medianDiff,blob_box_length_w_paused_IQR_medianDiff,blob_box_width_w_paused_10th_medianDiff,blob_box_width_w_paused_50th_medianDiff,blob_box_width_w_paused_90th_medianDiff,blob_box_width_w_paused_IQR_medianDiff,blob_compactness_w_paused_10th_medianDiff,blob_compactness_w_paused_90th_medianDiff,blob_compactness_w_paused_IQR_medianDiff,blob_hu0_w_paused_10th_medianDiff,blob_hu0_w_paused_50th_medianDiff,blob_hu1_w_paused_10th_medianDiff,blob_hu1_w_paused_50th_medianDiff,blob_hu3_w_paused_10th_medianDiff,blob_perimeter_w_paused_50th_medianDiff,blob_perimeter_w_paused_90th_medianDiff,blob_perimeter_w_paused_IQR_medianDiff,blob_quirkiness_w_paused_10th_medianDiff,blob_quirkiness_w_paused_50th_medianDiff,blob_quirkiness_w_paused_90th_medianDiff,blob_quirkiness_w_paused_IQR_medianDiff,blob_solidity_w_paused_IQR_medianDiff,d_blob_area_w_paused_10th_medianDiff,d_blob_area_w_paused_90th_medianDiff,d_blob_area_w_paused_IQR_medianDiff,d_blob_box_width_w_paused_10th_medianDiff,d_blob_box_width_w_paused_90th_medianDiff,d_blob_box_width_w_paused_IQR_medianDiff,d_blob_compactness_w_paused_10th_medianDiff,d_blob_hu0_w_paused_50th_medianDiff,d_blob_hu1_w_paused_50th_medianDiff,d_blob_hu1_w_paused_IQR_medianDiff,d_blob_hu2_w_paused_50th_medianDiff,d_blob_perimeter_w_paused_10th_medianDiff,d_blob_perimeter_w_paused_90th_medianDiff,d_blob_perimeter_w_paused_IQR_medianDiff,d_blob_quirkiness_w_paused_10th_medianDiff,d_blob_quirkiness_w_paused_90th_medianDiff,d_blob_quirkiness_w_paused_IQR_medianDiff,d_path_curvature_midbody_w_paused_IQR_medianDiff,motion_mode_paused_fraction_medianDiff,motion_mode_paused_frequency_medianDiff,orientation_food_edge_w_paused_10th_medianDiff,path_curvature_body_w_paused_50th_medianDiff,path_curvature_body_w_paused_abs_50th_medianDiff,path_curvature_head_w_paused_50th_medianDiff,path_curvature_head_w_paused_abs_50th_medianDiff,path_curvature_midbody_w_paused_50th_medianDiff,path_curvature_midbody_w_paused_abs_50th_medianDiff,path_curvature_tail_w_paused_10th_medianDiff,path_curvature_tail_w_paused_50th_medianDiff,path_curvature_tail_w_paused_abs_50th_medianDiff,path_curvature_tail_w_paused_abs_90th_medianDiff
AB1,110500,283850,149150,486.3881,100.3932,83.7704,256.3084,458.4047,195.1992,-0.032169,0.094196,0.11853,-0.081105,-0.31143,-0.024341,-0.33074,-0.00021623,1147.1068,2261.0764,964.2641,-0.26352,-0.076647,-0.012062,0.11358,0.083772,-6875,7343.75,5468.75,-32.8022,35.397,22.4451,-0.016428,-0.0028917,-0.002115,-0.033372,-0.00018444,-202.6653,169.1942,155.3297,-0.05936,0.053077,0.028393,-0.0038946,0.14417,0.003981,-22.7277,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,9.22337203685477e+18
BRC20067,72425,214200,77381.25,208.2603,58.198,26.9071,169.9737,299.871,172.0499,-0.002058,0.087932,0.076276,-0.085894,-0.16153,-0.014745,-0.11483,-0.00065048,938.1119,746.091,574.4329,-0.16623,-0.035495,0.00073616,0.098302,0.063596,-4843.75,4765.625,3125,-27.4413,31.732,15.8405,0.00052709,-0.004458,-0.001972,-0.039892,-0.00077952,-150.888,119.6381,117.4176,-0.026463,0.015504,0.0065736,-0.0010312,0.18432,0.0076851,-41.8235,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,0,-9.22337203685477e+18,9.22337203685477e+18,0
CB4852,21950,91600,79750,321.3491,136.4674,31.9875,66.0494,223.9481,172.5562,-0.065199,-0.037351,-0.01753,-0.031005,0.0044077,-0.015032,-0.0047678,-0.00029924,176.1523,1527.1069,1014.8706,-0.1894,-0.030783,-0.0049423,0.064231,0.023014,-3437.5,3437.5,937.5,-14.0341,15.4007,12.8589,-0.0044064,-0.00016862,0.00010887,0.010843,5.2267e-05,-140.1653,140.1656,44.1942,-0.021152,0.022653,0.0036091,-0.0014775,0.01588,0.0065265,-4.5301,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,9.22337203685477e+18
CB4854,51550,118600,44987.5,60.5569,5.897,33.3932,141.5822,257.7862,156.4879,-0.005875,0.043569,0.023888,-0.10295,-0.12086,-0.01877,-0.13597,-0.00014645,520.6245,747.6367,133.726,-0.24235,-0.049864,-0.010388,0.089855,0.062398,-3281.25,2968.75,2500,-25.2742,13.0412,14.4525,0.0015124,-0.0024863,-0.0022335,-0.079706,-0.00037799,-21.4465,-3.1404,7.5817,-0.047569,0.040871,0.01966,-0.0012398,0.18112,0.0096701,-35.2323,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,0,-9.22337203685477e+18,9.22337203685477e+18,0
CB4856,26250,164090,65325,204.5095,133.0508,37.5552,102.9773,251.522,179.6657,-0.018991,0.080908,0.072447,-0.11212,-0.18011,-0.036253,-0.16949,-0.00026504,689.6194,965.5991,689.9137,-0.18374,-0.041293,-0.0072058,0.074664,0.068346,-4843.75,4921.875,3359.375,-29.5879,34.086,20.1691,-0.009325,-0.0011383,-0.0015877,-0.033229,-7.1836e-05,-110.4853,106.6942,144.876,-0.042333,0.041222,0.021533,-0.00060323,0.10796,0.0065983,-44.9723,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,0,-9.22337203685477e+18,9.22337203685477e+18,0
CB4932,66950,221250,82450,130.7328,150.9791,31.6192,224.2177,298.7162,193.9158,-0.013992,0.097393,0.046312,-0.11293,-0.20765,-0.030363,-0.19869,-0.00035729,854.5586,1162.9646,558.8225,-0.23802,-0.082557,-0.015648,0.11139,0.075127,-5000,5625,3750,-21.0721,21.8296,16.6374,-0.0053676,-0.0027092,-0.0027495,-0.045806,-0.00025304,-91.5289,100.4124,88.3882,-0.053472,0.05347,0.029493,-0.00046726,0.21423,0.0052657,-41.6186,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,0,-9.22337203685477e+18,9.22337203685477e+18,0
CX11254,41150,94350,30800,415.5102,160.6538,78.2802,125.8868,319.991,168.2974,-0.054465,-0.124,0.011133,0.031089,-0.032961,-0.0074447,-0.090783,-4.1284e-05,877.4011,1864.5079,695.9798,-0.20434,-0.053519,-0.0098221,0.045832,0.032177,-3125,3203.125,2031.25,-23.2779,28.3934,14.2083,0.0084419,-0.0018753,-0.00092531,-0.025078,-0.00029256,-169.1942,169.1942,140.1649,-0.039775,0.038693,0.019939,-0.0031574,0.060267,0.0019979,-2.953,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,0,-9.22337203685477e+18,9.22337203685477e+18,0
CX11262,-5675,49650,-2250,51.0852,176.8597,24.5587,83.802,291.0246,147.0488,-0.028222,-0.052481,-0.016173,-0.30986,-0.24064,-0.4666,-0.49011,-0.010297,15.6496,948.3713,873.6359,-0.19837,-0.020892,-0.0074227,0.067899,0.017387,2968.75,-2656.25,-4218.75,-28.8645,34.6241,14.6112,0.0027887,0.0012441,0.00050471,-0.079819,0.00018836,-77.0147,108.2649,47.0657,-0.035982,0.042263,0.013326,-0.00088424,0.058134,0.0024554,-46.7705,-4.611686018427385e+18,4.611686018427385e+18,-4.611686018427385e+18,4.611686018427385e+18,-4.611686018427385e+18,4.611686018427385e+18,-4.611686018427385e+18,-4.611686018427385e+18,4.611686018427385e+18,4.611686018427385e+18
CX11264,55600,106200,49500,302.7971,93.9359,42.3231,139.89,241.9418,190.0896,-0.038643,0.076806,0.10772,-0.066972,-0.22187,-0.010433,-0.11616,-0.00054553,380.4163,1223.2591,736.9849,-0.22372,-0.032311,-0.0075723,0.081034,0.066981,-4218.75,4375,3125,-22.5763,23.126,15.9147,-0.0092577,-0.001986,-0.0012868,-0.037915,-0.00046048,-117.4178,123.1473,95.9713,-0.018773,0.022364,0.0067801,-0.0017954,0.1115,0.0058372,-57.8989,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,9.22337203685477e+18
CX11271,7200,79850,35637.5,27.3886,95.1093,60.2878,80.6071,118.7166,85.4381,-0.0072688,-0.20993,0.00016705,0.017917,-0.17173,-0.0050608,-0.15556,-0.00014281,243.8477,622.67,334.8528,-0.21246,-0.04067,-0.011771,0.062354,0.0058748,-3906.25,3750,3281.25,-22.5879,17.1944,17.3179,0.00013768,-2.2724e-05,0.00051092,-0.035934,-3.2927e-05,-106.6945,91.5289,121.8589,-0.047019,0.037698,0.027509,-0.00094153,0.08864,0.0070184,-39.5066,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,-9.22337203685477e+18,-9.22337203685477e+18,9.22337203685477e+18,9.22337203685477e+18
