strain,blob_box_width_90th_medianDiff_all,blob_box_width_IQR_medianDiff_all,blob_box_width_w_forward_IQR_medianDiff_all,blob_box_width_w_paused_10th_medianDiff_all,blob_box_width_w_paused_50th_medianDiff_all,blob_box_width_w_paused_90th_medianDiff_all,blob_box_width_w_paused_IQR_medianDiff_all,d_blob_box_width_10th_medianDiff_all,d_blob_box_width_90th_medianDiff_all,d_blob_box_width_IQR_medianDiff_all,d_blob_box_width_w_forward_10th_medianDiff_all,d_blob_box_width_w_forward_IQR_medianDiff_all,d_blob_box_width_w_paused_10th_medianDiff_all,d_blob_box_width_w_paused_90th_medianDiff_all,d_blob_box_width_w_paused_IQR_medianDiff_all,d_width_head_base_w_backward_50th_medianDiff_all,d_width_head_base_w_backward_90th_medianDiff_all
AB1,280.6465,45.0634,0.32383,83.7704,256.3084,458.4047,195.1992,-11.9986,14.7347,9.4571,-3.4104,1.5827,-32.8022,35.397,22.4451,-0.59071,-2.6799
BRC20067,203.8097,38.8815,6.6401,26.9071,169.9737,299.871,172.0499,-6.4524,7.2747,5.3593,-3.598,3.181,-27.4413,31.732,15.8405,-0.1249,-1.4999
CB4852,108.9408,32.8583,6.8036,31.9875,66.0494,223.9481,172.5562,-10.292,15.9565,9.5953,-8.9634,7.4593,-14.0341,15.4007,12.8589,-0.36553,-2.6917
CB4854,155.9074,34.3506,2.8239,33.3932,141.5822,257.7862,156.4879,-7.5784,7.6587,4.8242,-4.8429,3.51,-25.2742,13.0412,14.4525,-0.65618,-3.5958
CB4856,83.4966,16.3467,3.9544,39.0266,104.2742,252.3547,180.5156,-7.2279,9.8155,5.6436,-4.0843,4.1592,-30.1313,34.1794,20.8672,-0.54885,-2.9783
CB4932,253.5328,52.5895,2.6656,31.6192,224.2177,298.7162,193.9158,-10.0317,11.4685,7.7517,-6.8426,4.3659,-21.0721,21.8296,16.6374,-0.16168,-1.1755
CX11254,75.239,19.5219,5.1544,78.2802,125.8868,319.991,168.2974,-8.8643,11.3111,4.5351,-7.7116,6.219,-23.2779,28.3934,14.2083,-0.45874,-2.5329
CX11262,27.8253,7.3183,4.176,24.5587,83.802,291.0246,147.0488,-3.5833,5.2038,2.3857,2.0208,-0.073441,-28.8645,34.6241,14.6112,-0.41297,-1.4106
CX11264,128.6918,16.7042,3.5938,42.3231,139.89,241.9418,190.0896,-1.8539,1.5718,1.6229,1.0296,0.75724,-22.5763,23.126,15.9147,-0.76329,-5.033
CX11271,48.4848,6.9539,0.50317,60.2878,80.6071,118.7166,85.4381,-5.6462,6.561,4.7841,-2.3404,3.09,-22.5879,17.1944,17.3179,-0.71542,-4.4099
CX11276,120.4192,20.8998,3.2199,9.6096,110.5088,252.7674,181.3298,-4.6036,1.6225,1.5612,-2.9543,0.15527,-17.1161,15.7029,9.6806,-0.6544,-0.73335
CX11285,41.8465,13.3667,5.0024,8.9213,89.9867,133.2305,136.4621,-0.38082,-0.30436,0.79554,0.93968,0.71955,-5.4439,11.6339,-0.2956,-0.45208,-4.2258
CX11292,230.3036,32.1163,2.3468,19.6184,145.5944,330.8123,245.7524,-6.2817,5.9709,5.078,-3.1174,2.962,-19.7421,16.8373,3.283,-0.91889,-4.9515
CX11307,32.0615,11.5061,4.3402,6.4107,41.1551,66.8802,92.4607,-6.1236,8.6837,3.9179,-4.8918,2.9318,-20.7767,27.7308,12.8826,-0.70227,-1.1388
CX11314,168.7382,27.0314,4.2293,68.6677,173.3539,272.3758,170.5436,-10.0398,12.4818,7.7681,-7.0415,5.7191,-25.9014,27.6973,18.6062,-0.36437,-3.154
CX11315,74.5082,15.2365,3.4004,52.1025,182.5573,376.4628,214.6883,-11.2635,10.1527,6.3797,-7.8136,4.0622,-40.0767,40.9267,28.2442,-0.61936,-3.6333
DL200,143.1761,37.9519,6.6704,26.9094,186.3488,419.8051,273.7103,-2.7131,2.2425,2.0386,-1.1446,1.5439,-32.1067,33.5251,23.29,0.052512,-1.5903
DL226,189.5497,27.4117,7.3005,44.2133,222.612,378.4134,281.7254,-9.3916,10.0383,7.1728,-5.1156,3.9193,-36.35,39.0389,24.8143,-0.59807,-1.9048
DL238,149.5189,22.0837,4.7584,15.0084,72.3922,294.9457,203.4407,-10.2699,11.4215,6.7601,-9.2433,5.7079,-21.8007,18.7632,8.7863,-0.17286,-0.79801
ECA246,74.0017,14.891,2.8453,15.9414,99.0749,245.8856,140.7755,-6.0522,8.3755,4.7562,-4.8804,3.21,-16.0886,19.0609,10.9251,-0.44067,-1.8851
ECA248,313.0357,46.8681,1.0158,61.9439,254.1518,254.6963,194.6178,-5.5513,10.915,3.5437,-4.5759,0.5324,-30.4689,31.242,17.3203,-0.72491,-5.6454
ECA250,103.6714,16.3772,8.7837,50.8947,200.129,470.4861,279.6454,-6.5032,8.4751,5.6624,-3.0893,4.5603,-35.2788,30.3726,18.8744,-0.374,-2.9871
ECA251,160.9969,31.7842,3.0704,28.4991,179.813,332.2332,214.1689,-7.4141,6.3911,4.4985,-4.7035,3.6538,-27.6882,20.4894,12.8712,-0.36585,-4.7243
ECA252,138.1494,24.7575,10.8433,21.4495,54.7461,350.138,70.3627,-0.0732,0.79762,0.92374,-0.89796,0.76637,-6.3907,6.9291,1.8229,-0.18988,-1.6624
ECA259,63.2121,11.4078,4.6548,46.8105,151.8358,332.9416,184.6931,-8.5118,8.5683,4.5599,-5.6048,2.3058,-55.9095,54.4164,29.4681,-0.86682,-1.6354
ECA348,64.1325,10.9907,4.6127,4.3971,129.0455,348.7692,233.2104,-10.1763,15.3513,10.216,-8.5111,7.8715,-24.7631,24.8045,13.8024,-0.20261,1.5422
ECA349,149.8242,26.6014,0.84913,42.7153,185.4387,434.2171,243.6282,-10.0837,12.0968,7.0694,-7.2505,5.9149,-34.6926,38.6231,23.1969,-0.29629,-2.5622
ECA36,43.8469,12.897,7.257,8.3276,85.335,94.7072,64.9728,-5.4573,6.521,4.3817,-3.6138,3.2522,29.1103,11.8486,-24.7651,-0.52054,-1.3881
ECA363,35.138,9.7356,2.8374,-13.6789,36.7469,42.7379,62.4507,1.4055,-2.7136,-1.5088,-1.4455,0.30646,2.2601,10.1849,-1.408,-0.54984,-1.8081
ECA372,154.3286,26.4208,-0.30717,66.0003,177.3286,387.3217,226.4251,-9.5932,12.5737,6.827,-5.0003,3.0836,-24.826,24.5649,11.9866,-0.46529,-1.4658
ECA396,42.9875,12.0414,5.2413,-25.7535,7.7307,41.249,76.3967,-0.1116,-2.5559,-4.4278,-2.2501,-0.3439,22.6485,-21.9238,-19.4518,-0.75092,-4.8817
ED3005,225.1172,57.5111,2.5546,38.0812,131.6632,339.7756,211.3865,-9.814,13.0593,8.519,-4.3298,4.5924,-30.705,30.7253,20.4841,-0.56671,-3.5082
ED3011,141.3119,22.5352,9.7719,38.2941,183.6831,394.3435,228.1881,-9.023,13.0869,7.8102,-6.6072,6.6868,-31.7667,23.9825,17.971,-0.44445,-4.4359
ED3012,133.5065,23.6792,3.8812,26.767,209.8171,336.7379,238.4116,-8.2833,8.8905,4.7314,-5.3663,2.9782,-47.7129,48.8556,29.7392,-0.64825,-3.1993
ED3017,134.9441,25.8629,4.7168,27.4025,131.0198,234.9187,142.8285,-7.9162,7.5625,4.4432,-5.5394,3.1048,-35.3953,35.9739,19.0507,-1.0038,-2.6135
ED3040,242.329,50.3987,3.9237,27.3996,127.5803,357.174,231.3388,-8.1803,7.1705,5.8453,-5.6843,4.1813,-8.7854,5.6005,1.6212,-0.29996,-4.6874
ED3046,342.3615,81.3761,1.9308,30.4186,234.0958,429.3769,255.1357,-11.1897,10.9929,6.5692,-7.9273,4.2891,-26.3788,30.9448,17.5914,-0.59118,-2.6104
ED3048,150.4806,23.4375,0.28364,67.7744,170.4896,319.1342,180.3971,-10.8473,11.2213,7.2099,-5.5471,2.5127,-32.1928,34.6566,29.9179,-0.70992,-2.4625
ED3049,105.4778,15.2027,5.969,-51.5358,98.2077,331.3646,237.7813,-2.1343,2.2922,1.1471,-2.51,3.1525,-0.60426,0.76934,-12.7148,-0.36236,-2.3025
ED3052,147.0197,24.0107,5.0175,40.3923,142.0306,286.1569,169.4878,-8.3727,8.2513,4.8011,-5.463,2.8564,-28.9507,34.5337,20.3121,-0.76278,-2.4751
ED3073,152.4372,29.3964,0.95116,25.6056,155.9402,393.9247,222.3549,-9.0706,10.3565,7.2254,-5.4548,4.3103,-31.9629,35.9247,20.2366,-0.1281,-2.7322
ED3077,261.6843,46.6834,6.6312,50.6741,144.4551,297.9623,169.6479,-3.2239,1.9798,1.1025,1.0782,0.086666,-31.1493,37.1161,12.7174,-0.36924,-1.4449
EG4347,190.6013,39.4219,2.4542,19.6812,145.3798,306.8253,208.696,-10.7203,13.1801,7.6918,-7.4072,6.1845,-26.5752,22.5276,12.0938,-0.46471,-4.0976
EG4349,301.5666,53.4853,1.638,57.8776,192.1455,404.2986,239.9195,-9.7193,12.8712,8.0936,-6.1026,5.7436,-26.2046,29.8644,20.2332,-0.70571,-3.3557
EG4724,147.4056,33.8705,3.2768,26.067,85.1758,302.4919,174.6435,-5.3167,6.1083,3.772,-2.1981,2.1425,-24.6715,25.1217,13.4976,-0.22666,0.17652
EG4725,115.6295,20.294,0.47127,21.1228,101.6932,198.6763,109.5286,-5.3229,6.06,3.2339,-3.9394,2.9671,-17.7052,20.3692,10.6048,-0.53073,-1.6817
EG4946,173.96,27.2165,2.7634,28.0852,155.2157,294.2987,189.058,-13.2459,14.7788,9.8586,-10.4867,7.6847,-24.8106,28.7802,17.4209,-0.78576,-6.2141
GXW1,297.1902,73.1388,7.5881,30.8542,246.6044,459.3589,272.8226,-10.1452,8.0654,8.0879,-10.1416,8.8473,-23.6406,29.3894,17.2115,-0.69503,-2.8394
JT11398,264.0895,48.0909,2.9725,36.0876,215.6454,379.5113,221.8403,-10.9081,13.0043,8.3171,-5.6935,5.6807,-34.0636,30.5169,20.9279,-0.19964,-4.7191
JU1088,172.1544,25.3265,1.4451,40.8428,172.4337,354.7501,210.9187,-7.0228,10.188,5.3888,-2.9409,2.8047,-39.4919,39.8998,24.1632,-0.63641,-3.2486
JU1172,69.6741,10.863,4.1436,14.3676,123.8416,288.4179,190.9365,-5.6945,8.6109,4.4336,-5.3509,3.305,-42.3495,39.1965,20.0447,-0.73664,-7.1764
JU1200,126.899,20.2249,5.4974,19.0641,182.1572,390.3804,255.892,-6.6567,9.346,4.9469,-2.9935,3.3425,-32.0889,27.8921,16.1033,-0.42617,-1.7915
JU1212,72.4331,27.3712,12.5072,10.9864,71.4314,266.9262,165.1207,-11.5987,14.3644,6.6977,-10.7068,6.9241,-13.5808,12.3363,4.6034,-0.7004,-4.048
