trait	variance explained
angular_velocity_head_tip_w_backward_IQR_medianDiff	0.094491
angular_velocity_head_tip_w_backward_abs_50th_medianDiff	0.095471
d_path_curvature_body_w_backward_10th_medianDiff	0.06578
d_path_curvature_body_w_backward_abs_IQR_medianDiff	0.048774
d_path_curvature_midbody_w_backward_90th_medianDiff	0.060094
d_path_curvature_midbody_w_backward_abs_10th_medianDiff	0.10282
d_path_curvature_midbody_w_backward_abs_IQR_medianDiff	0.065153
d_relative_to_neck_radial_velocity_head_tip_w_backward_50th_medianDiff	0.082027
motion_mode_backward_frequency_medianDiff	0.14155
path_curvature_body_w_backward_10th_medianDiff	0.070225
relative_to_head_base_angular_velocity_head_tip_w_backward_IQR_medianDiff	0.097049
relative_to_head_base_angular_velocity_head_tip_w_backward_abs_50th_medianDiff	0.096653
