trait	variance explained
d_path_curvature_body_w_backward_10th_medianDiff_all	0.066802
d_path_curvature_body_w_backward_abs_IQR_medianDiff_all	0.048774
d_path_curvature_head_IQR_medianDiff_all	0.10487
d_path_curvature_head_abs_50th_medianDiff_all	0.10556
d_path_curvature_head_w_paused_10th_medianDiff_all	0.027796
d_path_curvature_midbody_w_backward_90th_medianDiff_all	0.061071
d_path_curvature_midbody_w_backward_abs_10th_medianDiff_all	0.10265
d_path_curvature_midbody_w_backward_abs_IQR_medianDiff_all	0.065153
path_curvature_body_10th_medianDiff_all	0.16276
path_curvature_body_abs_90th_medianDiff_all	0.16305
path_curvature_head_10th_medianDiff_all	0.15977
path_curvature_head_abs_90th_medianDiff_all	0.163
path_curvature_midbody_10th_medianDiff_all	0.16158
path_curvature_midbody_abs_90th_medianDiff_all	0.16187
