trait	variance explained
curvature_hips_abs_90th	0.055635
curvature_hips_abs_IQR	0.058213
curvature_hips_w_backward_abs_IQR	0.071641
curvature_std_midbody_w_backward_abs_10th	0.084147
curvature_std_neck_abs_50th	0.079656
curvature_std_neck_w_backward_abs_50th	0.088112
curvature_std_neck_w_forward_abs_10th	0.115
curvature_std_neck_w_forward_abs_50th	0.09713
curvature_tail_abs_10th	0.091359
curvature_tail_w_forward_abs_10th	0.092313
d_curvature_mean_neck_w_backward_abs_10th	0.085928
d_major_axis_w_backward_10th	0.13126
d_path_curvature_midbody_abs_90th	0.015631
d_relative_to_body_radial_velocity_neck_w_forward_10th	0.080894
d_relative_to_body_radial_velocity_neck_w_forward_90th	0.08225
d_relative_to_body_radial_velocity_tail_tip_w_forward_10th	0.09206
d_relative_to_body_radial_velocity_tail_tip_w_forward_90th	0.095593
d_relative_to_body_radial_velocity_tail_tip_w_forward_IQR	0.099833
d_relative_to_head_base_radial_velocity_head_tip_50th	0.13323
length_w_backward_10th	0.13477
motion_mode_backward_fraction	0.04491
motion_mode_forward_fraction	0.066509
motion_mode_paused_frequency	0.10771
quirkiness_50th	0.11008
relative_to_body_radial_velocity_hips_w_forward_90th	0.086986
relative_to_head_base_radial_velocity_head_tip_50th	0.11367
relative_to_neck_radial_velocity_head_tip_w_forward_10th	0.18234
speed_10th	0.043187
speed_w_forward_90th	0.11853
turn_intra_duration_50th	0.05206
