refName	refCode	metaName	metaCode	metaBaseName
ED3040	D0	ED3040	DO	1.1_2_ed3040_do_Set0_Pos0_Ch1_14012018_105326.hdf5
ED3040	D0	ED3040	DO	1.1_2_ed3040_do_Set0_Pos0_Ch2_14012018_105326.hdf5
NIC252	E2	NIC252	C2	1.1_1_nic252_c2_Set0_Pos0_Ch1_14012018_094825.hdf5
NIC252	E2	NIC252	C2	1.1_1_nic252_c2_Set0_Pos0_Ch2_14012018_094825.hdf5
ED3040	D0	ED3040	DO	1.2_3_ed3040_do_ed3040_do_Set0_Pos0_Ch2_15012018_110336.hdf5
ED3040	D0	ED3040	DO	1.2_3_ed3040_do_ed3040_do_Set0_Pos0_Ch1_15012018_110336.hdf5
ED3040	D0	ED3040	DO	1.3_3_ed3040_do_Set0_Pos0_Ch2_16012018_114352.hdf5
ED3040	D0	ED3040	DO	1.3_3_ed3040_do_Set0_Pos0_Ch1_16012018_114352.hdf5
ED3040	D0	ED3040	DO	1.3_7_cx11271_cb_ed3040_do_Set0_Pos0_Ch4_16012018_155946.hdf5
ED3040	D0	ED3040	DO	1.3_8_ed3040_do_eca246_8f_Set0_Pos0_Ch5_16012018_165728.hdf5
JU440	B0	JU440	BO	2.1_2_ju440_bo_Set0_Pos0_Ch4_17012018_102635.hdf5
JU440	B0	JU440	BO	2.1_2_ju440_bo_Set0_Pos0_Ch3_17012018_102635.hdf5
ED3040	D0	ED3040	DO	1.4_2_ed3040_do_Set0_Pos0_Ch6_18012018_102111.hdf5
ED3040	D0	ED3040	DO	1.4_2_ed3040_do_Set0_Pos0_Ch5_18012018_102111.hdf5
JU440	B0	JU440	BO	2.2_9_ju440_bo_Set0_Pos0_Ch3_18012018_175843.hdf5
JU440	B0	JU440	BO	2.2_6_ju440_bo_Set0_Pos0_Ch6_18012018_143239.hdf5
JU440	B0	JU440	BO	2.2_9_ju440_bo_Set0_Pos0_Ch4_18012018_175843.hdf5
JU440	B0	JU440	BO	2.2_6_ju440_bo_Set0_Pos0_Ch5_18012018_143239.hdf5
JU258	95	JU258	82	2.3_3_ju258_82_Set0_Pos0_Ch2_19012018_112852.hdf5
JU258	95	JU258	82	2.3_3_ju258_82_Set0_Pos0_Ch1_19012018_112852.hdf5
JU440	B0	JU440	BO	2.3_2_ju440_bo_Set0_Pos0_Ch4_19012018_102014.hdf5
JU440	B0	JU440	BO	2.3_2_ju440_bo_Set0_Pos0_Ch3_19012018_102014.hdf5
NIC274	E0	NIC274	EO	3.2_5_nic274_eo_Set0_Pos0_Ch6_21012018_134244.hdf5
NIC274	E0	NIC274	EO	3.2_5_nic274_eo_Set0_Pos0_Ch5_21012018_134244.hdf5
NIC274	E0	NIC274	EO	3.3_8_nic274_eo_ju258_95_Set0_Pos0_Ch3_22012018_172710.hdf5
NIC274	E0	NIC274	EO	3.3_2_nic274_eo_Set0_Pos0_Ch6_22012018_100846.hdf5
NIC274	E0	NIC274	EO	3.3_2_nic274_eo_Set0_Pos0_Ch5_22012018_100846.hdf5
