strains	param_a	param_b	param_c	param_d	param_e
AB1	0.33026	-0.1339	0.24105	-0.021341	-0.00055377
BRC20067	0.30407	-0.1255	0.24864	-0.016865	-0.0006745
CB4852	0.49648	-0.11365	0.37204	-0.017883	-0.0012935
CB4854	0.5627	-0.2	0.28739	-0.020602	-0.0011959
CB4856	0.57607	-0.13885	0.2143	-0.019808	-0.0010254
CB4932	0.39489	-0.14936	0.23593	-0.013936	-0.00077119
CX11254	0.61991	-0.12145	0.27599	-0.022669	-0.001284
CX11262	0.68642	-0.13437	0.25438	-0.018405	-0.0013567
CX11264	0.52791	-0.15406	0.2597	-0.01915	-0.00073221
CX11271	0.68617	-0.16726	0.24103	-0.022419	-0.0009053
CX11276	0.57841	-0.17622	0.30112	-0.022824	-0.0011434
CX11285	0.73318	-0.17959	0.18129	-0.029856	-0.0010275
CX11292	0.393	-0.13758	0.30179	-0.010465	-0.00036243
CX11307	0.54751	-0.17134	0.24621	-0.029824	-0.0014695
CX11314	0.58024	-0.16016	0.20481	-0.019542	-0.00075328
CX11315	0.58624	-0.14352	0.17501	-0.015344	-0.00041726
DL200	0.46214	-0.13679	0.26925	-0.014315	-0.00059585
DL226	0.51454	-0.12845	0.30696	-0.011737	-0.0010933
DL238	0.48125	-0.14417	0.22741	-0.012628	-0.00085092
ECA246	0.71683	-0.13937	0.18213	-0.020271	-0.0003436
ECA248	0.37543	-0.17196	0.25349	-0.014239	-0.00082075
ECA250	0.61833	-0.10863	0.21981	-0.016454	-0.00045644
ECA251	0.43075	-0.14642	0.2258	-0.022961	-0.0012011
ECA252	0.17276	-0.15977	0.37577	-0.014811	-0.0014845
ECA259	0.81596	-0.15213	0.16799	-0.021137	-0.00042504
ECA348	0.62492	-0.18823	0.19714	-0.015728	-0.00091665
ECA349	0.45562	-0.14109	0.22637	-0.029233	-0.00098381
ECA36	0.77455	-0.18579	0.15261	-0.027588	-0.001056
ECA363	0.71516	-0.18746	0.18429	-0.018152	-0.001123
ECA372	0.54203	-0.11493	0.28979	-0.015446	-0.00063256
ECA396	0.70073	-0.14282	0.19195	-0.012773	-0.0012298
ED3005	0.35584	-0.17402	0.28028	-0.019778	-0.0011812
ED3011	0.57741	-0.15162	0.24816	-0.018716	-0.00093205
ED3012	0.42351	-0.16097	0.23709	-0.016226	-0.0010622
ED3017	0.61963	-0.13755	0.28451	-0.018029	-0.00074026
ED3040	0.48399	-0.15118	0.23188	-0.024307	-0.00098668
ED3046	0.26582	-0.15293	0.2404	-0.013211	-0.00043184
ED3048	0.59008	-0.13603	0.21013	-0.024323	-0.00062628
ED3049	0.49375	-0.17039	0.25253	-0.021661	-0.00098331
ED3052	0.54341	-0.15529	0.26522	-0.021275	-0.0011171
ED3073	0.4439	-0.15989	0.30575	-0.020551	-0.00073785
ED3077	0.40649	-0.17296	0.27089	-0.016149	-0.00058603
EG4347	0.34328	-0.16646	0.27601	-0.018765	-0.0007276
EG4349	0.34905	-0.1998	0.31186	-0.027736	-0.00068537
EG4724	0.37508	-0.14355	0.28324	-0.015349	-0.000707
EG4725	0.49905	-0.15276	0.24999	-0.018033	-0.0010684
EG4946	0.41513	-0.16558	0.16458	-0.018209	-0.0012521
GXW1	0.35382	-0.14131	0.20525	-0.01378	-0.00071009
JT11398	0.3649	-0.19696	0.25867	-0.022509	-0.00074194
JU1088	0.45665	-0.18359	0.26327	-0.018773	-0.0011092
