strains	param_a	param_b	param_c	param_d	param_e	param_f
AB1	0.23255	-0.18563	0.23649	-0.0253	-0.0018783	0.057552
BRC20067	0.3026	-0.16662	0.23438	-0.028955	-0.0016031	0.11544
CB4852	0.26293	-0.19714	0.34422	-0.027657	-0.0095661	0.05
CB4854	0.55013	-0.2	0.20413	-0.030738	-0.0040515	0.05
CB4856	0.57965	-0.14587	0.18231	-0.029278	-0.0025278	0.05
CB4932	0.39283	-0.15029	0.2302	-0.016791	-0.0011731	0.087567
CX11254	0.58289	-0.12181	0.11573	-0.038882	-0.018897	0.05
CX11262	0.60854	-0.14357	0.13266	-0.10982	-0.02048	0.05
CX11264	0.55189	-0.17035	0.2203	-0.026684	-0.002398	0.13264
CX11271	0.60954	-0.17046	0.14585	-0.032725	-0.015461	0.05
CX11276	0.4779	-0.18772	0.28329	-0.034695	-0.0046687	0.05
CX11285	0.64039	-0.18267	0.19404	-0.034003	-0.0045546	0.05
CX11292	0.38892	-0.14573	0.20106	-0.019663	-0.00085054	0.072479
CX11307	0.46315	-0.1832	0.27019	-0.047509	-0.011357	0.05
CX11314	0.5665	-0.16699	0.2042	-0.025008	-0.0015392	0.050709
CX11315	0.58524	-0.15939	0.16482	-0.030386	-0.0034347	0.05
DL200	0.40892	-0.13963	0.27177	-0.026665	-0.0033651	0.095969
DL226	0.46094	-0.1358	0.25304	-0.02581	-0.0040427	0.050051
DL238	0.42532	-0.16299	0.16935	-0.02241	-0.0026113	0.087567
ECA246	0.64872	-0.14759	0.16349	-0.04757	-0.011223	0.058893
ECA248	0.32595	-0.2	0.24406	-0.027707	-0.0023462	0.1094
ECA250	0.54592	-0.12936	0.18558	-0.023908	-0.0071286	0.054438
ECA251	0.41139	-0.15258	0.22964	-0.028752	-0.0016856	0.053038
ECA252	0.14276	-0.2	0.22916	-0.027323	-0.0038521	0.05
ECA259	0.82194	-0.14683	0.16691	-0.021623	-0.0012015	0.05
ECA348	0.49748	-0.19536	0.2096	-0.044247	-0.0019759	0.05
ECA349	0.44543	-0.1781	0.21412	-0.035353	-0.0019949	0.05
ECA36	0.76692	-0.18784	0.16556	-0.030723	-0.00174	0.05
ECA363	0.71249	-0.19205	0.16357	-0.028192	-0.0096102	0.05
ECA372	0.47727	-0.12385	0.24493	-0.021998	-0.0032652	0.050017
ECA396	0.58511	-0.14417	0.13188	-0.079268	-0.011155	0.05
ED3005	0.34724	-0.18063	0.23367	-0.021536	-0.0018521	0.050747
ED3011	0.52593	-0.15519	0.24564	-0.029259	-0.0034479	0.050054
ED3012	0.41703	-0.18085	0.21635	-0.026744	-0.0022556	0.050016
ED3017	0.55399	-0.15961	0.24859	-0.036945	-0.0050358	0.054479
ED3040	0.4551	-0.17899	0.21287	-0.031263	-0.0019013	0.05
ED3046	0.25994	-0.15718	0.23645	-0.014451	-0.00092777	0.1792
ED3048	0.50499	-0.1521	0.24105	-0.038404	-0.0057137	0.071585
ED3049	0.42481	-0.18037	0.22879	-0.031851	-0.0034031	0.050228
ED3052	0.50492	-0.15906	0.26498	-0.032768	-0.0039359	0.050003
ED3073	0.34147	-0.18084	0.27858	-0.031697	-0.0030888	0.054444
ED3077	0.34743	-0.19242	0.2917	-0.023988	-0.002397	0.15984
EG4347	0.32789	-0.18681	0.2753	-0.022169	-0.0021929	0.082541
EG4349	0.34266	-0.2	0.30127	-0.029525	-0.0018961	0.050015
EG4724	0.35685	-0.18262	0.26167	-0.023329	-0.0020156	0.14363
EG4725	0.43605	-0.17644	0.21898	-0.025748	-0.0029194	0.069659
EG4946	0.39329	-0.2	0.153	-0.03228	-0.0028979	0.055467
GXW1	0.26968	-0.18418	0.22146	-0.030091	-0.0020156	0.18747
JT11398	0.35365	-0.2	0.26628	-0.029415	-0.0021801	0.053409
JU1088	0.43008	-0.19579	0.24328	-0.023868	-0.0024848	0.050019
JU1172	0.5049	-0.16479	0.2228	-0.032271	-0.004268	0.05
JU1200	0.49287	-0.2	0.15834	-0.032148	-0.0018361	0.05
JU1212	0.50761	-0.13648	0.21535	-0.021237	-0.0022289	0.050018
JU1213	0.39832	-0.2	0.20867	-0.038483	-0.0030307	0.065644
JU1242	0.50721	-0.12605	0.2502	-0.016761	-0.0017331	0.050006
JU1246	0.42031	-0.16139	0.18453	-0.042476	-0.0031521	0.05
JU1395	0.31226	-0.19999	0.2562	-0.046556	-0.0031945	0.11078
JU1400	0.43544	-0.13109	0.28246	-0.036283	-0.0081775	0.05
JU1409	0.69401	-0.15894	0.11373	-0.026601	-0.0029408	0.05
JU1440	0.40945	-0.15207	0.25195	-0.022343	-0.0010999	0.07381
JU1491	0.3959	-0.18419	0.276	-0.035941	-0.0037137	0.05
JU1530	0.45352	-0.12556	0.21083	-0.017894	-0.0040314	0.06035
JU1543	0.338	-0.2	0.24731	-0.018487	-0.00056464	0.13822
JU1568	0.33426	-0.19796	0.23288	-0.019618	-0.0011507	0.096096
JU1580	0.50832	-0.1504	0.2291	-0.040839	-0.0053416	0.058804
JU1581	0.61832	-0.15281	0.21182	-0.02851	-0.0019129	0.05
JU1586	0.45633	-0.17878	0.21978	-0.034022	-0.0027275	0.05005
JU1652	0.33263	-0.14545	0.21916	-0.049561	-0.002323	0.05
JU1793	0.46201	-0.13375	0.24265	-0.033236	-0.0070262	0.050001
JU1808	0.33757	-0.19998	0.23603	-0.034893	-0.0022889	0.05004
JU1896	0.49148	-0.1329	0.17842	-0.025002	-0.0026409	0.10736
JU2001	0.39616	-0.18381	0.25365	-0.027678	-0.0040186	0.11197
JU2007	0.45766	-0.16643	0.22111	-0.025503	-0.0013756	0.061329
JU2131	0.45027	-0.15422	0.21601	-0.026166	-0.0023509	0.050008
JU2141	0.56164	-0.14633	0.20541	-0.034784	-0.01811	0.05
JU2234	0.65262	-0.12421	0.1119	-0.021968	-0.0058353	0.050109
JU2464	0.36109	-0.2	0.25753	-0.018865	-0.0013165	0.12168
JU2466	0.30748	-0.12136	0.26592	-0.018319	-0.0024582	0.093101
JU2513	0.47072	-0.14425	0.26434	-0.035039	-0.0025904	0.05
