strains	param_a	param_b	param_c
AB1	-0.71199	0.010687	1.7198
BRC20067	1.1974	-0.11622	-0.11081
CB4852	1.3669	-0.39024	-0.084789
CB4854	1.2064	-0.36812	-0.077833
CB4856	1.221	-0.37619	-0.02197
CB4932	1.3755	-0.1279	-0.40543
CX11254	1.2924	-0.46371	-0.040229
CX11262	1.2947	-0.48849	-0.045391
CX11264	1.1648	-0.38975	-0.027031
CX11271	1.2246	-0.53068	-0.016438
CX11276	1.2674	-0.39184	-0.046901
CX11285	1.2313	-0.47391	-0.023669
CX11292	1.1726	-0.24058	-0.041749
CX11307	1.2818	-0.47863	-0.036174
CX11314	1.1453	-0.31539	-0.008234
CX11315	1.2174	-0.33075	-0.014263
DL200	1.2503	-0.25689	-0.063354
DL226	1.3074	-0.23275	-0.21589
DL238	1.3855	-0.14733	-0.24235
ECA246	1.1921	-0.55726	0.046359
ECA248	1.3741	-0.11235	-0.35851
ECA250	1.2736	-0.36456	-0.10307
ECA251	1.2007	-0.24823	-0.050225
ECA252	-0.17344	0.10507	1.1929
ECA259	1.2576	-0.63883	-0.015523
ECA348	1.0743	-0.43805	-0.0078869
ECA349	1.318	-0.33565	-0.066698
ECA36	1.203	-0.57346	-0.0041739
ECA363	1.2748	-0.50555	-0.030095
ECA372	1.325	-0.36658	-0.05958
ECA396	1.2211	-0.41575	-0.054216
ED3005	3.5668	-0.042913	-2.5657
ED3011	1.2498	-0.35907	-0.057929
ED3012	1.4226	-0.13505	-0.46832
ED3017	1.2298	-0.41212	-0.0029066
ED3040	1.0896	-0.25227	-0.048334
ED3046	1.5426	-0.073168	-0.45796
ED3048	1.1991	-0.40397	0.025377
ED3049	1.2462	-0.17423	-0.30209
ED3052	1.2398	-0.29897	-0.090363
ED3073	1.3301	-0.30943	-0.066936
ED3077	1.1541	-0.25515	-0.020016
EG4347	1.1378	-0.16164	0.018243
EG4349	1.2772	-0.11658	-0.061485
EG4724	1.2568	-0.20811	-0.11573
EG4725	1.2449	-0.22134	-0.06363
EG4946	1.0994	-0.027541	-0.15145
GXW1	1.3359	-0.042634	-0.40222
JT11398	1.1709	-0.18233	-0.0050778
JU1088	1.3569	-0.20553	-0.26203
JU1172	1.2616	-0.33192	-0.073718
JU1200	0.98312	-0.38223	0.042971
JU1212	1.2122	-0.28837	-0.047017
JU1213	1.6291	-0.10528	-0.64804
JU1242	1.261	-0.26842	-0.097821
JU1246	1.2919	-0.12041	-0.23792
JU1395	1.2322	-0.19951	-0.1214
