strain	cluster	mw	sw	clusterNorm	mwNorm
AB1	0.3188	0.10175	0.05275	5.9981	2.4697
BRC20067	0.20696	0.079062	0.052675	4.9078	1.547
CB4852	0.25615	0.0711	0.05435	4.3116	1.7873
CB4854	0.23691	0.14769	0.04995	5.0353	2.9443
CB4856	0.26655	0.1	0.0482	4.9688	2.111
CB4932	0.22695	0.10075	0.0469	4.9423	2.1153
CX11254	0.21165	0.090175	0.044875	4.4391	2.0137
CX11262	0.21675	0.0965	0.0482	4.4969	2.0021
CX11264	0.17525	0.10193	0.038325	4.7907	2.9383
CX11271	0.1931	0.0675	0.0372	6.2995	2.012
CX11276	0.2294	0.1006	0.0495	4.6343	2.0242
CX11285	0.21406	0.0815	0.0435	4.8658	1.9195
CX11292	0.25715	0.1429	0.0494	5.2373	2.9104
CX11307	0.2592	0.0782	0.04375	5.9811	1.8292
CX11314	0.24775	0.1222	0.05005	4.9825	2.4489
CX11315	0.18606	0.0827	0.040525	4.6246	2.0495
DL200	0.2344	0.179	0.0494	5.5743	3.2281
DL226	0.32226	0.14957	0.058675	5.4263	2.5049
DL238	0.2608	0.1206	0.05205	5.3443	2.4146
ECA246	0.11294	0.027975	0.025375	4.4353	1.1971
ECA248	0.29855	0.2126	0.0567	5.1832	3.691
ECA250	0.37207	0.13385	0.062	5.8228	2.0947
ECA251	0.32771	0.12005	0.04905	6.5645	2.4475
ECA252	0.298	0.08755	0.05555	5.32	1.6606
ECA259	0.26597	0.10148	0.04985	5.0997	2.0455
ECA348	0.20525	0.06	0.04775	4.1633	1.2565
ECA349	0.22435	0.11645	0.0428	4.8456	2.2245
ECA36	0.2474	0.10184	0.04705	5.0867	2.0829
ECA363	0.20347	0.0925	0.04895	4.3394	1.964
ECA372	0.3406	0.12355	0.05905	5.9286	1.996
ECA396	0.19132	0.087	0.0429	4.4616	2.0279
ED3005	0.25502	0.15205	0.052275	4.8779	2.8628
ED3011	0.26805	0.12737	0.0473	5.6709	2.7538
ED3012	0.261	0.149	0.04575	5.9297	3.2415
ED3017	0.2342	0.09035	0.04805	5.0094	2.0666
ED3040	0.38743	0.21151	0.051275	7.6185	4.4263
ED3046	0.3153	0.18435	0.0506	6.1109	3.9938
ED3048	0.29043	0.11175	0.0511	5.644	2.1091
ED3049	0.25105	0.12705	0.0431	5.0737	2.8015
ED3052	0.28902	0.11145	0.054	5.4926	2.0639
ED3073	0.2592	0.11733	0.0451	4.8539	2.3452
ED3077	0.33083	0.13315	0.04645	6.9407	2.8665
EG4347	0.25735	0.1355	0.046	5.0313	3.6037
EG4349	0.31877	0.18747	0.0545	5.8607	3.4984
EG4724	0.26672	0.12235	0.04055	6.0254	2.5463
EG4725	0.2316	0.10382	0.0531	4.9495	2.1614
EG4946	0.30173	0.22042	0.053875	5.4758	3.9821
GXW1	0.2818	0.2353	0.05545	5.0821	4.1927
JT11398	0.3307	0.1669	0.05065	6.1929	3.2345
JU1088	0.26729	0.12695	0.046825	5.5337	2.7285
JU1172	0.23075	0.10593	0.044875	5.1516	2.4202
JU1200	0.25362	0.13167	0.0425	6.1086	3.2382
JU1212	0.19945	0.0957	0.0471	4.8844	2.2076
JU1213	0.25533	0.1263	0.055625	4.868	2.4267
JU1242	0.26705	0.18045	0.0503	5.4198	3.7652
JU1246	0.33746	0.13086	0.0561	7.1117	2.7106
JU1395	0.2475	0.19214	0.052575	4.9183	3.6588
JU1400	0.18482	0.053912	0.0384	4.5854	1.4622
JU1409	0.20813	0.10115	0.044275	4.7499	2.2176
JU1440	0.33043	0.10812	0.046925	7.771	2.2244
JU1491	0.2859	0.1344	0.05215	5.5935	2.5772
JU1530	0.28077	0.1524	0.05105	5.6124	3.0226
JU1543	0.30105	0.17276	0.0411	6.2044	4.2352
JU1568	0.2695	0.1463	0.05675	4.7089	2.5497
JU1580	0.2149	0.10835	0.0439	4.4036	2.1627
JU1581	0.277	0.10443	0.05165	5.3836	2.0444
JU1586	0.19983	0.1002	0.043575	4.5883	2.3127
JU1652	0.26065	0.1453	0.058325	4.3213	2.5289
JU1793	0.23438	0.10045	0.0473	4.9238	2.0949
JU1808	0.3345	0.14485	0.05455	5.6647	2.7345
JU1896	0.2369	0.1386	0.05005	4.8594	2.9241
JU2001	0.2523	0.073225	0.0399	6.199	1.8514
JU2007	0.2858	0.11375	0.046575	5.8149	2.638
JU2131	0.3291	0.12317	0.049625	5.8566	2.4697
JU2141	0.1905	0.0895	0.04325	4.4453	2.057
JU2234	0.2525	0.10222	0.0472	5.3442	2.1227
JU2464	0.1884	0.1202	0.03455	5.453	3.4076
JU2466	0.2535	0.14895	0.049	5.275	3.0398
JU2513	0.25244	0.09585	0.05105	5.251	2.1612
JU2519	0.22679	0.1257	0.0474	4.8835	2.6467
JU2522	0.24503	0.10775	0.053462	4.7308	2.0407
JU2526	0.2807	0.14845	0.0534	4.4831	2.7904
JU2534	0.2164	0.10155	0.04595	4.7691	2.0852
JU2565	0.2707	0.0968	0.0497	5.4467	2.0817
JU2566	0.28163	0.1005	0.04235	5.9469	2.3787
JU2578	0.35505	0.28045	0.05915	6.0025	4.7413
JU258	0.2155	0.096575	0.042625	5.8628	2.2201
JU2587	0.2563	0.1119	0.04745	5.3173	2.5325
JU2593	0.36813	0.22885	0.062525	5.8501	3.7508
JU2600	0.22296	0.10207	0.0493	4.5218	2.0702
JU2800	0.2985	0.1409	0.05085	5.9444	2.605
JU2862	0.2676	0.12343	0.04655	5.2625	2.5492
JU2866	0.2779	0.10686	0.0422	6.3606	2.4804
JU2878	0.21765	0.11125	0.04355	4.9608	2.2226
JU2879	0.2446	0.09485	0.0468	4.8628	1.9766
JU2906	0.31112	0.18375	0.0474	6.8828	3.7818
JU310	0.2299	0.1026	0.0477	4.9769	2.3584
JU311	0.27225	0.0952	0.047475	6.5054	2.1231
JU3125	0.25463	0.10728	0.053725	4.9571	1.9977
JU3127	0.27345	0.12865	0.0555	4.9359	2.318
JU3134	0.2533	0.11325	0.0479	5.2881	2.3643
JU3135	0.34245	0.25447	0.0585	5.759	4.2062
JU3137	0.31205	0.1348	0.05125	5.7331	2.8025
JU3140	0.25848	0.11442	0.047025	5.5121	2.2582
JU323	0.3184	0.1147	0.0527	6.0417	2.1451
JU346	0.21758	0.103	0.0441	4.7604	2.5166
JU360	0.29209	0.0983	0.0519	5.4827	1.894
JU367	0.27367	0.12245	0.05045	5.3935	2.4272
JU393	0.25152	0.17755	0.0532	4.7401	3.363
JU394	0.2542	0.12587	0.0524	4.885	2.5167
JU397	0.18879	0.094875	0.0413	4.6868	2.3128
JU406	0.20305	0.10955	0.0455	4.6026	2.5837
JU440	0.19459	0.087075	0.044475	4.3766	1.9678
JU561	0.30355	0.1308	0.0573	5.2153	2.3778
JU642	0.24017	0.136	0.046575	5.0159	2.8238
JU751	0.30803	0.2551	0.0568	5.3406	4.2325
JU774	0.212	0.0891	0.0421	4.4525	2.0956
JU775	0.24185	0.10745	0.051	4.8892	2.1188
JU778	0.3409	0.11468	0.0463	7.1857	2.5175
JU782	0.2763	0.12825	0.05925	4.6404	2.1883
JU792	0.3713	0.14378	0.0515	7.0947	2.839
JU830	0.31143	0.15425	0.04515	5.6863	2.9099
JU847	0.2972	0.12671	0.046275	6.0268	2.5534
KR314	0.23295	0.14255	0.0482	4.7834	2.981
LKC34	0.29405	0.11985	0.0488	5.9854	2.4308
LSJ1	0.21615	0.10705	0.0434	5.0206	2.5
MY1	0.2367	0.10875	0.04455	4.7199	1.9809
MY10	0.30102	0.11275	0.0547	6.1096	2.2014
MY16	0.2791	0.1242	0.054025	5.8758	2.3675
MY18	0.22915	0.0791	0.05795	4.8069	2.1851
MY2212	0.30848	0.10735	0.0501	5.7603	2.1427
MY23	0.31128	0.12902	0.0555	5.4262	2.5228
MY2453	0.34525	0.14115	0.05395	5.8067	2.6163
MY2530	0.25485	0.1458	0.04995	4.967	2.7771
MY2535	0.26855	0.12345	0.04625	5.8699	2.5454
MY2573	0.28315	0.12492	0.054425	5.0696	2.2268
MY2693	0.38505	0.12827	0.05335	8.3434	2.4658
MY2741	0.2928	0.26645	0.0543	5.3923	4.9273
MY679	0.3014	0.15255	0.05355	5.7009	2.9795
MY920	0.207	0.07135	0.0527	4.7206	1.1745
N2	0.26435	0.0984	0.0529	4.7258	1.9482
NIC1	0.2809	0.13787	0.050525	5.2705	2.6423
NIC1107	0.28315	0.19857	0.05175	5.8995	4.255
NIC166	0.28855	0.078975	0.047375	5.3485	1.5826
NIC195	0.24791	0.10498	0.051475	4.8149	1.9887
NIC199	0.22287	0.092125	0.045675	4.9822	2.033
NIC2	0.25246	0.1417	0.04975	5.3043	3.0039
NIC207	0.2236	0.0905	0.0446	5.0135	2.0291
NIC231	0.2581	0.148	0.0552	4.6534	2.6914
NIC236	0.2592	0.1434	0.04605	5.9178	2.7926
NIC242	0.21428	0.09935	0.043525	5.0064	2.286
NIC251	0.26154	0.12915	0.048675	5.7585	2.7745
NIC252	0.2194	0.08385	0.0351	5.3448	2.3504
NIC255	0.29846	0.09525	0.04715	6.2392	1.9389
NIC256	0.21315	0.0984	0.04415	4.6037	2.0765
NIC258	0.21255	0.1045	0.0516	4.1348	2.1064
NIC259	0.25888	0.10985	0.0539	4.7965	2.019
NIC260	0.27155	0.12155	0.05165	6.266	2.3533
NIC261	0.24465	0.11218	0.047325	5.4056	2.2658
NIC262	0.2557	0.11325	0.06075	4.2091	1.8642
NIC265	0.3163	0.14431	0.0433	6.4749	3.0748
