strain	cluster	mw	sw	clusterNorm	mwNorm
AB1	0.61807	0.59411	0.21442	3.067	3.1013
BRC20067	0.45575	0.53315	0.2431	2.2428	2.6174
CB4852	0.32832	0.3963	0.20013	1.7041	2.0619
CB4854	0.45258	0.4574	0.21747	2.3132	2.3231
CB4856	0.53541	0.51934	0.20588	2.879	2.6625
CB4932	0.55384	0.55522	0.22798	2.8288	2.6781
CX11254	0.43119	0.48658	0.21	2.2665	2.5668
CX11262	0.51381	0.4744	0.21422	2.54	2.2803
CX11264	0.62355	0.56392	0.21843	3.1102	2.9928
CX11271	0.35363	0.47571	0.22664	1.8124	2.3791
CX11276	0.4435	0.42845	0.21537	2.4057	2.3866
CX11285	0.45077	0.44905	0.21848	2.2221	2.2506
CX11292	0.50417	0.43469	0.21385	2.5925	2.3557
CX11307	0.46234	0.54773	0.19777	2.4565	2.9421
CX11314	0.48117	0.4952	0.21891	2.6051	2.5885
CX11315	0.41505	0.49522	0.22152	2.0726	2.4732
DL200	0.46623	0.46919	0.20539	2.4715	2.4872
DL226	0.44982	0.46793	0.21091	2.2261	2.3235
DL238	0.53273	0.48438	0.21505	2.8442	2.4884
ECA246	0.28428	0.43296	0.24051	1.3234	1.9962
ECA248	0.55966	0.53527	0.20698	3.0946	2.8449
ECA250	0.57211	0.54844	0.20003	3.0463	2.9203
ECA251	0.54315	0.50379	0.21138	2.8877	2.6505
ECA252	0.17948	0.49758	0.20325	0.96425	2.6304
ECA259	0.45376	0.47432	0.20442	2.3799	2.4832
ECA348	0.30734	0.59308	0.21836	1.6783	2.77
ECA349	0.53798	0.54803	0.22976	2.5072	2.54
ECA36	0.43722	0.46438	0.20496	2.356	2.4623
ECA363	0.29686	0.48483	0.21604	1.4934	2.4404
ECA372	0.63157	0.53124	0.20481	3.3306	2.8015
ECA396	0.26583	0.4384	0.20938	1.4138	2.3319
ED3005	0.37795	0.4662	0.20232	2.0535	2.5246
ED3011	0.5621	0.46115	0.22238	2.7178	2.2407
ED3012	0.53004	0.49706	0.21043	2.7179	2.5439
ED3017	0.45985	0.44031	0.20827	2.3784	2.3397
ED3040	0.43513	0.43353	0.2101	2.2575	2.2492
ED3046	0.67395	0.61673	0.21912	3.309	3.1831
ED3048	0.4437	0.44697	0.21406	2.3063	2.3232
ED3049	0.5417	0.51573	0.2331	2.6872	2.4341
ED3052	0.46712	0.41445	0.20444	2.4914	2.1919
ED3073	0.46029	0.4557	0.23894	2.3122	2.2519
ED3077	0.53053	0.49424	0.23029	2.6551	2.4336
EG4347	0.50558	0.51428	0.21337	2.616	2.6609
EG4349	0.3498	0.46264	0.21762	1.8197	2.4097
EG4724	0.46004	0.48067	0.2265	2.3346	2.3877
EG4725	0.40265	0.44694	0.21046	2.0886	2.3169
EG4946	0.55756	0.52676	0.20704	2.9225	2.761
GXW1	0.56867	0.55794	0.22277	2.6984	2.6475
JT11398	0.47294	0.52096	0.20792	2.5618	2.8255
JU1088	0.55755	0.54487	0.21855	2.8334	2.7558
JU1172	0.38236	0.47668	0.22394	1.8926	2.3177
JU1200	0.51772	0.50598	0.22692	2.545	2.4873
JU1212	0.39577	0.47592	0.2126	2.1291	2.4647
JU1213	0.40555	0.40221	0.21118	2.0508	2.0347
JU1242	0.53512	0.51003	0.21127	2.818	2.6916
JU1246	0.63341	0.47115	0.21152	3.4799	2.5778
JU1395	0.50737	0.4859	0.21176	2.5647	2.4567
JU1400	0.57487	0.47121	0.21212	2.9372	2.4108
JU1409	0.40408	0.42472	0.21166	2.1245	2.2327
JU1440	0.56844	0.53333	0.24381	2.8726	2.5953
JU1491	0.46804	0.49518	0.19758	2.5491	2.4958
JU1530	0.63213	0.56836	0.21735	3.1413	2.6997
JU1543	0.60967	0.59626	0.21446	3.1609	3.0502
JU1568	0.42587	0.45266	0.21133	2.2563	2.3937
JU1580	0.43537	0.44087	0.19999	2.3263	2.381
JU1581	0.43724	0.46372	0.20061	2.3316	2.404
JU1586	0.44982	0.48774	0.20774	2.3571	2.4782
JU1652	0.59541	0.53011	0.21494	3.1521	2.5337
JU1793	0.52561	0.47403	0.22797	2.6841	2.4998
JU1808	0.54383	0.54922	0.21136	2.7973	2.825
JU1896	0.55222	0.48974	0.21576	2.8074	2.5252
JU2001	0.59828	0.55951	0.23934	3.0242	2.8639
JU2007	0.49935	0.41156	0.22685	2.494	2.0871
JU2131	0.58002	0.56769	0.23153	2.7141	2.6601
JU2141	0.46193	0.4943	0.2431	2.0569	2.301
JU2234	0.49132	0.51335	0.2046	2.6084	2.7175
JU2464	0.5896	0.5784	0.23162	2.9318	2.8235
JU2466	0.5799	0.53655	0.2175	2.8851	2.5257
JU2513	0.43435	0.46344	0.2219	2.2128	2.401
JU2519	0.45562	0.517	0.23788	2.3203	2.5671
JU2522	0.36651	0.51334	0.21279	1.8899	2.7375
JU2526	0.28349	0.41297	0.21268	1.4018	2.0421
JU2534	0.45667	0.50262	0.21385	2.3805	2.4491
JU2565	0.60976	0.5314	0.20253	3.1347	2.7437
JU2566	0.53449	0.50154	0.23088	2.5555	2.3615
JU2578	0.59955	0.61764	0.22737	2.9611	3.0505
JU258	0.47119	0.48322	0.21589	2.5219	2.545
JU2587	0.4218	0.32853	0.20496	2.2252	1.7063
JU2593	0.62507	0.53848	0.19065	3.635	3.0954
JU2600	0.3842	0.39447	0.22033	1.8978	2.0196
JU2800	0.5486	0.53975	0.22063	2.785	2.74
JU2862	0.61663	0.64447	0.21112	3.2887	3.3101
JU2866	0.43345	0.49325	0.22235	2.1638	2.4605
JU2878	0.47374	0.5019	0.22226	2.4115	2.4893
JU2879	0.35804	0.49175	0.21386	1.8921	2.6462
JU2906	0.62787	0.58643	0.21155	3.1714	2.968
JU310	0.53909	0.46772	0.21309	2.8366	2.4506
JU311	0.44063	0.39644	0.21215	2.2958	2.0719
JU3125	0.45925	0.51789	0.21242	2.3219	2.6931
JU3127	0.5352	0.54881	0.20505	2.4533	2.3818
JU3134	0.56363	0.49532	0.22166	2.7028	2.4154
JU3135	0.52239	0.50582	0.21579	2.724	2.6613
JU3137	0.51221	0.50301	0.20903	2.5469	2.505
JU3140	0.53151	0.51874	0.21225	2.7209	2.7448
JU323	0.4947	0.44409	0.2104	2.6151	2.346
JU346	0.44648	0.46519	0.2282	2.1751	2.2892
JU360	0.51406	0.54028	0.19829	2.7646	2.8131
JU367	0.53723	0.4706	0.20195	2.9014	2.566
JU393	0.63371	0.54472	0.23187	3.0848	2.6393
JU394	0.54765	0.47455	0.2064	2.92	2.5905
JU397	0.53417	0.49528	0.21686	2.6669	2.4132
JU406	0.31014	0.41017	0.21746	1.624	2.1031
JU440	0.24305	0.46403	0.21308	1.2077	2.3012
JU561	0.55537	0.55306	0.19351	2.7159	2.7046
JU642	0.46867	0.4845	0.204	2.5711	2.6061
JU751	0.62058	0.61813	0.20459	3.3067	3.2894
JU774	0.31013	0.49541	0.21652	1.5889	2.3823
JU775	0.45555	0.46434	0.2201	2.2697	2.3359
JU778	0.53697	0.52604	0.20274	2.8943	2.8302
JU782	0.41081	0.39307	0.21211	2.1973	2.1105
JU792	0.5602	0.52454	0.20947	3.0245	2.8312
JU830	0.50061	0.41268	0.20073	2.7593	2.2787
JU847	0.55578	0.53779	0.20906	2.8735	2.7841
KR314	0.52752	0.47896	0.22688	2.6704	2.3045
LKC34	0.51692	0.4717	0.22212	2.7497	2.4691
LSJ1	0.30124	0.4327	0.19299	1.6874	2.4188
MY1	0.43322	0.42048	0.21966	2.2158	2.1309
MY10	0.61236	0.48604	0.20169	3.2782	2.4644
MY16	0.42526	0.41394	0.19753	2.4224	2.3004
MY18	0.59337	0.55522	0.19351	3.171	3.1908
MY2212	0.49736	0.53585	0.21261	2.6064	2.6918
MY23	0.4034	0.44681	0.19704	2.2023	2.466
MY2453	0.54611	0.48317	0.21475	2.6883	2.4529
MY2530	0.57222	0.52124	0.20668	2.9355	2.6739
MY2535	0.57413	0.5222	0.20745	3.0562	2.759
MY2573	0.55029	0.51141	0.21834	2.88	2.6102
MY2693	0.56002	0.55144	0.21777	2.9732	2.833
MY2741	0.57434	0.55625	0.20599	2.9633	2.9388
MY679	0.54021	0.51305	0.21482	2.7022	2.4908
MY920	0.43173	0.60887	0.20811	2.18	3.1098
N2	0.18423	0.35106	0.21005	0.94257	1.8685
NIC1	0.57672	0.54004	0.21807	2.9689	2.761
NIC1107	0.56148	0.53439	0.21119	2.899	2.7014
NIC166	0.57291	0.5643	0.25318	2.9511	2.3981
NIC195	0.20791	0.32509	0.21329	1.11	1.631
NIC199	0.50753	0.47428	0.20882	2.681	2.5267
NIC2	0.51432	0.47345	0.20888	2.6281	2.3908
NIC207	0.50323	0.48403	0.21224	2.5992	2.5001
NIC231	0.47413	0.44958	0.2102	2.4121	2.3188
NIC236	0.51767	0.47097	0.20893	2.6757	2.4502
NIC242	0.5552	0.50276	0.21121	2.8206	2.6067
NIC251	0.55734	0.52101	0.22425	2.8901	2.7133
NIC252	0.3318	0.4756	0.21697	1.7094	2.4502
NIC255	0.52616	0.48962	0.21493	2.7841	2.5935
NIC256	0.41251	0.38521	0.22741	1.9878	1.9585
NIC258	0.42152	0.30907	0.20744	2.1684	1.6927
NIC259	0.37007	0.42016	0.20641	1.8299	2.2282
NIC260	0.37029	0.37532	0.20644	2.06	2.0566
NIC261	0.48913	0.43779	0.21866	2.4421	2.186
NIC262	0.23744	0.43766	0.20168	1.2717	2.344
NIC265	0.57129	0.4132	0.21578	2.9696	2.0883
NIC266	0.35845	0.37749	0.21491	1.858	1.9516
NIC267	0.46955	0.48232	0.20871	2.5311	2.5573
NIC268	0.48764	0.46305	0.20235	2.5951	2.4644
NIC269	0.44687	0.48493	0.22247	2.1104	2.3346
NIC271	0.45886	0.48123	0.19964	2.4309	2.5494
NIC272	0.68831	0.49358	0.20616	3.6243	2.599
NIC274	0.4492	0.47541	0.2182	2.2753	2.4251
NIC275	0.61279	0.56611	0.22924	2.9558	2.7307
NIC276	0.42369	0.51497	0.21196	2.1496	2.6173
NIC277	0.43955	0.47375	0.21539	2.2915	2.4975
NIC3	0.45917	0.50883	0.2352	2.2866	2.4859
NIC513	0.48204	0.53425	0.22425	2.4705	2.7287
NIC514	0.50014	0.49666	0.21239	2.5432	2.5255
NIC522	0.48526	0.42364	0.20916	2.4863	2.3435
NIC523	0.44643	0.44465	0.21266	2.4204	2.3877
PB303	0.56121	0.5444	0.22291	2.8715	2.7924
PS2025	0.30666	0.50638	0.2166	1.5588	2.4841
PX179	0.523	0.49965	0.22233	2.5515	2.463
QG2075	0.4832	0.48945	0.22593	2.4722	2.3246
QG536	0.54911	0.48926	0.19379	3.0782	2.7433
QG556	0.53937	0.53441	0.22319	2.6191	2.6563
QG557	0.40822	0.4525	0.21671	2.0609	2.3233
QW947	0.43893	0.44208	0.21209	2.3074	2.3706
QX1212	0.49967	0.52908	0.23468	2.5957	2.6368
QX1233	0.47857	0.55718	0.21148	2.4617	2.718
QX1791	0.44548	0.4593	0.22255	2.1607	2.3083
QX1792	0.37508	0.48138	0.21607	1.9858	2.4506
QX1793	0.52725	0.47861	0.21557	2.7863	2.5293
QX1794	0.50855	0.4892	0.21988	2.6366	2.531
RC301	0.52339	0.44947	0.20143	2.7731	2.4195
WN2001	0.53489	0.46886	0.19831	3.017	2.5441
WN2002	0.52523	0.5036	0.2116	2.7978	2.5814
WN2033	0.49906	0.4124	0.21011	2.6506	2.1519
XZ1513	0.57973	0.55499	0.19775	3.0659	2.9351
XZ1514	0.57116	0.64196	0.24377	2.4492	2.7528
XZ1516	0.33235	0.42712	0.20089	1.7949	2.3465
