strain	cluster	mw	sw	clusterNorm	mwNorm
AB1	0.39299	0.4046	0.18911	1.9363	2.0558
BRC20067	0.28929	0.29348	0.20945	1.4233	1.4345
CB4852	0.17637	0.2008	0.18765	0.92163	1.0448
CB4854	0.26349	0.25234	0.19522	1.3408	1.2814
CB4856	0.30675	0.22923	0.18931	1.6689	1.2254
CB4932	0.31411	0.31371	0.19838	1.6052	1.6264
CX11254	0.22672	0.23925	0.18908	1.1906	1.2532
CX11262	0.18232	0.21385	0.19602	0.91868	1.0259
CX11264	0.34416	0.30188	0.19355	1.653	1.6008
CX11271	0.16973	0.24729	0.19976	0.86988	1.2375
CX11276	0.21607	0.24688	0.18514	1.2036	1.3335
CX11285	0.26978	0.22876	0.19782	1.3519	1.138
CX11292	0.27795	0.30329	0.19167	1.5063	1.5596
CX11307	0.25107	0.29353	0.18175	1.3395	1.5231
CX11314	0.30191	0.25471	0.19863	1.5333	1.2591
CX11315	0.21215	0.23176	0.20023	1.0593	1.1573
DL200	0.26155	0.21682	0.18734	1.3864	1.1574
DL226	0.28232	0.27831	0.19894	1.3775	1.4134
DL238	0.2807	0.28298	0.19226	1.4883	1.4485
ECA246	0.18919	0.27074	0.21178	0.88693	1.2782
ECA248	0.35632	0.3178	0.18813	1.9703	1.7573
ECA250	0.2257	0.22327	0.1878	1.2018	1.1889
ECA251	0.32322	0.25019	0.19405	1.6972	1.2893
ECA252	0.090112	0.19715	0.18582	0.48398	1.1089
ECA259	0.22809	0.19248	0.19216	1.1978	1.0076
ECA348	0.19438	0.38624	0.19399	1.0614	1.8039
ECA349	0.32119	0.3136	0.21458	1.4969	1.398
ECA36	0.23772	0.21714	0.18625	1.2784	1.1515
ECA363	0.24039	0.30954	0.20029	1.2113	1.5531
ECA372	0.40051	0.27417	0.18963	2.1121	1.4184
ECA396	0.14588	0.15893	0.188	0.77591	0.84536
ED3005	0.186	0.24667	0.18544	1.0078	1.3383
ED3011	0.32599	0.29427	0.20583	1.5826	1.4212
ED3012	0.28427	0.22414	0.19079	1.4565	1.1436
ED3017	0.2226	0.21054	0.19617	1.1511	1.0621
ED3040	0.23419	0.22284	0.19028	1.2159	1.1572
ED3046	0.41961	0.33118	0.19539	2.0602	1.7163
ED3048	0.22773	0.20493	0.19368	1.1836	1.0658
ED3049	0.27188	0.25332	0.2071	1.3361	1.2931
ED3052	0.23078	0.34864	0.18908	1.2301	1.8739
ED3073	0.24883	0.24401	0.20357	1.2398	1.2355
ED3077	0.29307	0.26659	0.20309	1.4477	1.3124
EG4347	0.30097	0.28732	0.19417	1.5264	1.4866
EG4349	0.18837	0.19864	0.19233	0.97938	1.0325
EG4724	0.26965	0.3117	0.19909	1.3636	1.5483
EG4725	0.2152	0.27664	0.18864	1.112	1.421
EG4946	0.33239	0.31593	0.19077	1.696	1.6557
GXW1	0.34361	0.34031	0.21074	1.6305	1.6148
JT11398	0.27344	0.25003	0.18723	1.483	1.356
JU1088	0.32544	0.25994	0.20001	1.669	1.3213
JU1172	0.23873	0.19278	0.20227	1.1806	0.9547
JU1200	0.27744	0.27694	0.20342	1.3638	1.3435
JU1212	0.19456	0.25363	0.1872	1.0321	1.3454
JU1213	0.23281	0.21641	0.19741	1.1555	1.0943
JU1242	0.29232	0.25008	0.1886	1.5761	1.3195
JU1246	0.44519	0.25936	0.18255	2.4385	1.3643
JU1395	0.32646	0.28672	0.1979	1.65	1.4423
JU1400	0.3441	0.22774	0.19504	1.7544	1.1693
JU1409	0.21569	0.20942	0.19035	1.1331	1.1007
JU1440	0.35716	0.31687	0.20272	1.7737	1.5631
JU1491	0.25505	0.25785	0.18361	1.3891	1.3447
JU1530	0.36272	0.28583	0.19231	1.7411	1.4698
JU1543	0.3858	0.35317	0.19504	2.0029	1.7746
JU1568	0.27412	0.29115	0.1928	1.4525	1.5398
JU1580	0.22044	0.22163	0.18715	1.1779	1.1969
JU1581	0.18403	0.1717	0.1876	0.98345	0.89674
JU1586	0.2608	0.26473	0.19088	1.3911	1.3567
JU1652	0.35598	0.33766	0.19697	1.8625	1.7824
JU1793	0.25331	0.23452	0.2047	1.2842	1.1457
JU1808	0.33035	0.30182	0.19441	1.6992	1.5963
JU1896	0.33999	0.28657	0.19395	1.7281	1.4776
JU2001	0.32087	0.30113	0.2067	1.683	1.5388
JU2007	0.30207	0.22944	0.19998	1.5087	1.0971
JU2131	0.362	0.30644	0.20031	1.6928	1.4355
JU2141	0.24268	0.26413	0.22038	1.1268	1.2025
JU2234	0.29225	0.2632	0.1881	1.5861	1.3923
JU2464	0.37543	0.34591	0.20683	1.8152	1.6725
JU2466	0.35121	0.31379	0.19353	1.7445	1.5909
JU2513	0.25103	0.23514	0.19754	1.2809	1.1789
JU2519	0.26093	0.25066	0.20227	1.3238	1.2392
JU2522	0.20145	0.24882	0.19002	1.039	1.2925
JU2526	0.1735	0.22106	0.19268	0.9025	1.0931
JU2534	0.27107	0.26699	0.19638	1.3815	1.325
JU2565	0.40139	0.24624	0.18469	2.0635	1.2993
JU2566	0.30157	0.28394	0.21016	1.4417	1.3511
JU2578	0.41553	0.38707	0.20247	2.0523	1.9117
JU258	0.28838	0.23059	0.19184	1.4507	1.2211
JU2587	0.28827	0.24837	0.18861	1.5208	1.29
JU2593	0.34617	0.28772	0.17299	2.0137	1.6733
JU2600	0.1943	0.21083	0.19852	0.96635	1.0288
JU2800	0.32568	0.27945	0.20058	1.6533	1.3932
JU2862	0.4001	0.34663	0.19447	2.1339	1.7844
JU2866	0.22999	0.23171	0.2007	1.1457	1.1555
JU2878	0.25463	0.23467	0.20042	1.2961	1.1639
JU2879	0.1918	0.19913	0.18969	1.0136	1.0687
JU2906	0.41321	0.28944	0.19269	2.0849	1.4773
JU310	0.31896	0.25982	0.19092	1.5769	1.3507
JU311	0.22502	0.17932	0.1946	1.1724	0.93738
JU3125	0.24285	0.22573	0.194	1.2278	1.1413
JU3127	0.3222	0.28016	0.19201	1.3983	1.4591
JU3134	0.34984	0.27522	0.20333	1.6776	1.3662
JU3135	0.31051	0.27416	0.19247	1.634	1.4245
JU3137	0.31754	0.26998	0.1946	1.5789	1.361
JU3140	0.32814	0.26837	0.19529	1.6783	1.3732
JU323	0.28594	0.23041	0.18942	1.5115	1.1898
JU346	0.21918	0.22904	0.20728	1.0684	1.1271
JU360	0.33012	0.21318	0.18597	1.7754	1.11
JU367	0.34725	0.29432	0.18644	1.8768	1.5786
JU393	0.36669	0.29485	0.20519	1.7789	1.4272
JU394	0.30414	0.25825	0.18486	1.6243	1.4099
JU397	0.26717	0.22432	0.20029	1.3341	1.0755
JU406	0.1852	0.24183	0.19717	0.97095	1.2462
JU440	0.13685	0.18484	0.19672	0.69691	0.94108
JU561	0.3323	0.29156	0.18008	1.625	1.4258
JU642	0.24202	0.22905	0.18753	1.2891	1.2201
JU751	0.37614	0.40427	0.18851	2.0129	2.1433
JU774	0.15562	0.22786	0.19727	0.7976	1.0958
JU775	0.26224	0.22203	0.20179	1.3051	1.0829
JU778	0.28412	0.26265	0.18603	1.5309	1.4128
JU782	0.17876	0.24005	0.18586	0.95816	1.2891
JU792	0.3385	0.27112	0.1852	1.8316	1.461
JU830	0.27509	0.24076	0.18091	1.5156	1.1831
JU847	0.34167	0.26584	0.19156	1.7458	1.3897
KR314	0.34418	0.2945	0.20303	1.7423	1.4088
LKC34	0.29045	0.2456	0.19307	1.5034	1.3138
LSJ1	0.19455	0.19551	0.17874	1.0886	1.0932
MY1	0.22843	0.25224	0.19931	1.1461	1.2656
MY10	0.38681	0.28193	0.19049	2.0812	1.5042
MY16	0.23015	0.1939	0.18155	1.311	1.0808
MY18	0.36272	0.36944	0.18395	1.9534	1.8929
MY2212	0.28965	0.2673	0.19605	1.5175	1.3933
MY23	0.20221	0.18479	0.18203	1.1041	1.0208
MY2453	0.30061	0.24531	0.19624	1.5157	1.2369
MY2530	0.36505	0.30066	0.19202	1.9185	1.5801
MY2535	0.29481	0.24518	0.18786	1.5694	1.3255
MY2573	0.33605	0.27958	0.1912	1.6614	1.4677
MY2693	0.32315	0.26366	0.20377	1.7156	1.3538
MY2741	0.37552	0.28924	0.19259	1.9499	1.5019
MY679	0.33486	0.28703	0.19875	1.6033	1.3935
MY920	0.24467	0.43629	0.18809	1.2355	2.4348
N2	0.10187	0.19193	0.18777	0.54117	0.9921
NIC1	0.31763	0.2866	0.19933	1.6685	1.4633
NIC1107	0.35167	0.31332	0.19523	1.7464	1.5411
NIC166	0.40995	0.42066	0.24006	2.1117	1.7392
NIC195	0.13214	0.17242	0.19121	0.66635	0.87901
NIC199	0.22884	0.20064	0.18933	1.2088	1.0597
NIC2	0.30442	0.26047	0.19153	1.5409	1.3166
NIC207	0.30457	0.25299	0.19361	1.5731	1.3067
NIC231	0.27195	0.2785	0.19537	1.3835	1.4351
NIC236	0.29314	0.24432	0.19347	1.525	1.2711
NIC242	0.26052	0.27444	0.19104	1.3235	1.4423
NIC251	0.3313	0.28388	0.19285	1.7178	1.4652
NIC252	0.17553	0.21566	0.1941	0.90015	1.106
NIC255	0.36589	0.26194	0.19178	1.9209	1.3659
NIC256	0.16977	0.23709	0.19717	0.9294	1.2108
NIC258	0.19415	0.2076	0.1944	0.99874	1.1089
NIC259	0.18288	0.18277	0.1871	0.90431	0.90379
NIC260	0.1942	0.2009	0.18631	1.0804	1.0783
NIC261	0.25297	0.20414	0.1962	1.2617	1.0749
NIC262	0.17258	0.16669	0.18672	0.92431	0.89275
NIC265	0.30755	0.25873	0.20106	1.5987	1.2934
NIC266	0.18811	0.22029	0.19343	0.97521	1.1279
NIC267	0.2695	0.26515	0.19471	1.4434	1.3647
NIC268	0.27058	0.22186	0.1879	1.4401	1.1811
NIC269	0.34437	0.25362	0.20489	1.6075	1.2163
NIC271	0.23021	0.20898	0.18486	1.2661	1.1071
NIC272	0.47292	0.25387	0.18991	2.4902	1.3368
NIC274	0.25137	0.23915	0.19743	1.2733	1.2113
NIC275	0.35663	0.29744	0.20326	1.7203	1.4634
NIC276	0.29304	0.27456	0.1922	1.5169	1.395
NIC277	0.2544	0.23199	0.19164	1.3263	1.147
NIC3	0.2588	0.26327	0.19749	1.2888	1.3765
NIC513	0.302	0.2875	0.19601	1.5848	1.5088
NIC514	0.31214	0.23366	0.19958	1.5872	1.1708
NIC522	0.28049	0.20675	0.18651	1.4181	1.1443
NIC523	0.26006	0.23368	0.19166	1.3569	1.2192
PB303	0.32873	0.26785	0.19544	1.6862	1.3705
PS2025	0.14161	0.17826	0.19557	0.71948	0.91923
PX179	0.28376	0.27306	0.20337	1.3843	1.3418
QG2075	0.33808	0.29954	0.19766	1.7188	1.4563
QG536	0.31984	0.22591	0.1782	1.7912	1.2678
QG556	0.33677	0.22387	0.20707	1.6833	1.0811
QG557	0.18633	0.20515	0.19876	0.93423	1.0321
QW947	0.21215	0.21649	0.18693	1.136	1.1646
QX1212	0.30933	0.2992	0.19352	1.6073	1.5002
QX1233	0.27778	0.36741	0.19668	1.4278	1.4955
QX1791	0.2743	0.26002	0.19898	1.3304	1.2611
QX1792	0.26106	0.24501	0.19065	1.3871	1.3018
QX1793	0.32907	0.28676	0.19127	1.7205	1.4992
QX1794	0.2532	0.25331	0.19382	1.3127	1.2693
RC301	0.21414	0.2123	0.18874	1.1527	1.1248
WN2001	0.31814	0.24177	0.1815	1.7945	1.3381
WN2002	0.29194	0.24303	0.19027	1.5531	1.2661
WN2033	0.27482	0.2506	0.19165	1.4597	1.2896
XZ1513	0.37144	0.28434	0.19133	1.9584	1.498
XZ1514	0.37751	0.44342	0.22697	1.6188	1.9537
XZ1516	0.17579	0.19057	0.18269	0.94937	1.0432
