strains	param_a	param_b
AB1	92874426.4628	-4.5292
BRC20067	75380904.4778	-4.0958
CB4852	54282973.7002	-7.0158
CB4854	78623160.0249	-6.4922
CB4856	97392290.8241	-6.5364
CB4932	87849568.0276	-4.5029
CX11254	96724652.1959	-7.7174
CX11262	152991281.5781	-7.8436
CX11264	127440578.5254	-6.2791
CX11271	79185726.3254	-6.8444
CX11276	83412282.1743	-6.4817
CX11285	95207582.2937	-8.484
CX11292	85727251.1026	-3.992
CX11307	159644784.4911	-7.2036
CX11314	76255149.3756	-5.4638
CX11315	108225101.4208	-7.5753
DL200	78990921.4911	-4.758
DL226	79680436.6028	-5.9049
DL238	73063773.3908	-5.0333
ECA246	102719415.4365	-7.7908
ECA248	69005736.9355	-4.2043
ECA250	76551424.9393	-4.8603
ECA251	62194013.0771	-5.4616
ECA252	54065445.5712	-6.0496
ECA259	65430737.9914	-7.5303
ECA348	254915697.9303	-8.0646
ECA349	127525137.9413	-5.2398
ECA36	73332869.1022	-7.6961
ECA363	99783564.5817	-7.8142
ECA372	60787724.1775	-4.9591
ECA396	79569483.0436	-8.1352
ED3005	67241806.3512	-4.9572
ED3011	75920853.8743	-6.0932
ED3012	92802774.7129	-5.3316
ED3017	68951669.0848	-6.1164
ED3040	66262562.2401	-4.5171
ED3046	92526467.2646	-4.0295
ED3048	54238437.4458	-4.8805
ED3049	71262810.5374	-6.0848
ED3052	65384075.9962	-5.7014
ED3073	88410086.316	-5.9245
ED3077	84231675.8795	-4.5036
EG4347	94233078.0449	-5.2693
EG4349	80475336.3846	-4.1594
EG4724	83804137.0972	-6.1945
EG4725	81235834.6729	-6.0472
EG4946	82508185.4399	-5.7667
GXW1	101815847.345	-4.3796
JT11398	76719222.4236	-3.9605
JU1088	65644974.5686	-5.2575
JU1172	105737771.5127	-6.6652
JU1200	90051243.7569	-5.8399
JU1212	87975761.5419	-6.9061
JU1213	73242137.3922	-4.4215
JU1242	65734165.0622	-5.4233
JU1246	75111639.4207	-4.4409
JU1395	74833242.5486	-5.6525
JU1400	85003266.4088	-6.8616
JU1409	63706302.8174	-6.6046
JU1440	71045268.8243	-4.8018
JU1491	86711647.6731	-5.4442
JU1530	75073826.7697	-4.8657
JU1543	121155088.2235	-4.6347
JU1568	64453864.4071	-4.8359
JU1580	86937001.497	-6.1144
JU1581	60472372.5292	-6.9506
JU1586	94543630.3575	-6.4868
JU1652	166706464.3872	-6.9382
JU1793	117913234.1803	-7.3173
