strains	param_a	param_b	param_c	param_d
AB1	103577367.2516	-4.5451	13646.8197	2.3345
BRC20067	111900563.5784	-5.4978	5099.0917	2.0693
CB4852	56102094.8991	-9.7755	6580823.3185	-1.9065
CB4854	79017234.1675	-7.1668	3240566.4325	-1.3812
CB4856	119959298.0093	-28.5323	55666784.1565	-4.4693
CB4932	88172591.9881	-5.0411	6718.9917	3.3611
CX11254	96931436.6648	-9.6621	5693739.3217	-1.5305
CX11262	97794850.1255	-18.2657	86439863.6611	-5.622
CX11264	128194853.9112	-6.2919	1018637.3936	0.43971
CX11271	79764836.2994	-6.984	3736263.9747	-1.2479
CX11276	83979937.0315	-8.9556	3546389.3428	-2.1994
CX11285	91432527.5137	-10.2706	5216502.4221	-1.3561
CX11292	-28729539502.0227	-5.4466	28814357640.5314	-3.2018
CX11307	125018539.2352	-38.8652	132291312.8127	-5.314
CX11314	74347837.3558	-6.2034	3454703.1086	-1.2792
CX11315	108503022.8992	-10.0935	7220325.1091	-2.0062
DL200	86573548.01	-11.9801	17235010.0668	-3.3459
DL226	54311712.4972	-25.3132	57130677.0254	-4.6355
DL238	60491078.6729	-7.6815	41950958.3075	-3.3207
ECA246	103148550.7651	-7.913	387901.1222	0.80594
ECA248	69119139.8544	-4.3581	255904.5497	0.95923
ECA250	591294564904.5171	-221.2617	62465979.2334	-3.9018
ECA251	60862101.6277	-7.462	4387100.4712	-1.533
ECA252	56323331.7353	-10.3465	5984422.4468	-0.94111
ECA259	64858172.2858	-11.7435	20528753.9064	-3.1393
ECA348	774855015.6687	-54.7151	80632786.313	-5.2934
ECA349	146147653.6173	-6.7061	499904.7356	0.39862
ECA36	71825403.6626	-10.6885	9263827.5714	-2.3452
ECA363	99779445.1557	-9.5695	5259500.7572	-1.7357
ECA372	121763939.0599	-5.0982	1530847.0824	-1.7887
ECA396	77327416.9426	-9.8401	8972765.3397	-1.9696
ED3005	64762496.0263	-6.0317	6640212.6141	-1.801
ED3011	74821445.8288	-7.1499	6212509.1129	-1.5397
ED3012	93744250.4005	-5.6407	1246086.8722	-0.27625
ED3017	67440758.8034	-7.523	5935020.248	-1.6439
ED3040	64648734.2429	-6.0833	4293418.8297	-1.2326
ED3046	122634194.7212	-4.6355	612.0634	-2.8471
ED3048	50145349.5238	-9.1579	6126850.3838	-2.3921
ED3049	70700514.4603	-7.5349	2157703.0983	-0.59919
ED3052	58825322.6351	-7.7399	5002945.1381	-1.5351
ED3073	88535382.7236	-6.1856	336882.0894	0.86475
ED3077	84320485.631	-4.5138	22160.7854	2.6539
EG4347	94365602.0275	-6.41	1073589.7695	0.18698
EG4349	80585506.209	-4.3865	1414010.1732	-1.5331
EG4724	83983444.5649	-6.2387	484910.943	0.28901
EG4725	79761078.7476	-6.8748	2415960.264	-0.43617
EG4946	99622814869.7665	-8.7501	12605379.5559	-3.3218
GXW1	132180385.4878	-5.4508	385593.4642	-3.2976
JT11398	73992454.5967	-5.1469	4859062.0556	-3.0368
JU1088	65933964.3734	-5.6513	931857.4706	-0.20289
JU1172	90609694.9288	-9.4876	15695039.1787	-2.7954
JU1200	90220736.8811	-6.2677	269874.4701	0.83093
JU1212	88542850.0089	-8.5947	4521226.4945	-2.4879
JU1213	73366384.0892	-4.475	55742.8713	1.7917
JU1242	65158898.9844	-5.6865	2109199.8655	-0.74889
JU1246	99661685.8428	-6.7906	11063637.9636	-2.0742
JU1395	75095213.886	-6.0883	1595644.6505	-0.65764
JU1400	86128720.1783	-10.4267	3638726.9685	-1.2082
JU1409	64420327.3687	-9.6266	7544951.4244	-2.0168
JU1440	71317993.0973	-4.9349	2630834.5783	-0.37888
JU1491	73974320.3181	-9.3476	8262321.7246	-2.1606
JU1530	75016184.1695	-5.5944	2005234.4506	-0.70629
JU1543	77009523.2909	-4.6887	284681572.6693	-4.3494
JU1568	65148561.0479	-5.0589	278403.1047	1.0779
JU1580	86527331.7799	-10.1405	7569524.6759	-2.0417
JU1581	57921657.7787	-10.7476	7678059.7444	-1.9719
JU1586	94914847.2859	-7.4762	1237396.3042	-0.26163
JU1652	159088762.345	-25.6407	89266714.0882	-5.4672
JU1793	201586747.0065	-32.2822	67909272.3445	-4.6607
JU1808	100595811.3708	-4.5733	41345.8637	1.7827
JU1896	112284230.0229	-22.6275	45635951.2956	-4.0693
JU2001	85570380.2366	-6.461	2195858.7826	-0.81665
JU2007	82238592.1009	-5.2111	300732.8242	0.62061
JU2131	131438187.2053	-6.6395	2048946.6784	-1.2533
JU2141	90520038.6644	-9.2215	5068557.6701	-1.4206
JU2234	87853966.1563	-6.7186	10968861.1437	-1.7806
JU2464	145206866.9096	-4.8242	31209.7541	2.5215
JU2466	70015494.3289	-4.7892	188102.596	1.3057
JU2513	62454553.9474	-10.7461	7120549.0785	-2.0642
JU2519	86184400.9646	-6.3198	375681.043	0.51247
JU2522	71678637.1229	-24.8101	74407428.7921	-5.5381
JU2526	44864006.8503	-19.4068	41206347.9638	-4.5866
JU2534	85383798.939	-5.9602	3392469.1112	-1.1996
JU2565	347296344.5153	-30.1271	109672745.2359	-5.5228
JU2566	83894676.5217	-18.2521	64730768.819	-4.987
JU2578	75003654532.9984	-198.7469	91309319.8544	-4.6223
JU258	66015338.0646	-9.1815	5319855.5596	-1.6247
JU2587	87694843.5847	-5.184	26357.3216	2.213
JU2593	246008666064.9348	-205.0506	57738412.5892	-4.1737
JU2600	64454484.3678	-10.8174	10473004.6214	-2.1938
JU2800	73508764.3011	-5.8222	1845295.5703	-0.74043
JU2862	122363053.3491	-8.0266	9372565.1159	-1.9476
JU2866	89880156.9978	-7.4274	2671752.6411	-0.85641
JU2878	81532880.5768	-7.223	2636330.0432	-0.58092
JU2879	49718274.1598	-11.9094	24575021.673	-3.4173
JU2906	86403651.5759	-6.0369	18529824.7494	-3.1128
JU310	123935650.11	-5.6443	17349.9747	3.1195
JU311	81703418.421	-7.3914	5732052.2196	-1.8088
JU3125	68698238.2102	-19.8555	63626430.5041	-4.9844
JU3127	165558478.0244	-7.1142	5701301.3187	-1.2624
JU3134	70989586.209	-6.6782	2733363.3917	-0.72864
JU3135	89952543.453	-26.5566	53794821.765	-3.7653
JU3137	116450491.651	-5.7716	4746489.0461	-0.95924
JU3140	158872150.7438	-5.1981	1541990.2092	-2.8794
JU323	59034194.5726	-8.4402	7017198.4332	-1.9735
JU346	68697910.1432	-6.9115	2022076.8045	-0.66125
JU360	71028940.6537	-10.1254	4328636.9226	-1.5573
JU367	79176472.9959	-6.307	1994367.6785	-0.75422
JU393	90974749.6485	-4.8918	4327.2159	1.4009
JU394	78360327.8235	-6.1152	677920.2141	0.031262
JU397	82614499.5308	-9.4045	3918035.3025	-1.245
JU406	79127159.5143	-8.2797	5616030.5295	-1.592
JU440	88007321.2459	-13.7888	19517954.4294	-3.7998
JU561	85660155.4346	-5.5142	788825.0825	0.16979
JU642	108251491.3326	-13.4395	26197294.0129	-4.0841
JU751	79640968.4894	-5.3342	71780511.4935	-5.5721
JU774	69361578.8866	-9.4225	4621913.1562	-1.4027
JU775	66996025.3398	-6.5662	1904093.4512	-0.62459
JU778	75275826.5678	-7.4252	4561427.4827	-1.1198
JU782	64241823.2437	-8.3138	9883500.063	-2.2496
JU792	79889492.9822	-8.6888	5422455.7036	-1.7788
JU830	91266895.411	-3.9514	32350.0455	0.44
JU847	615627802549.1383	-214.8338	51856171.7023	-4.596
KR314	68878429.1746	-6.2651	522528.8037	0.35856
LKC34	73125023.3021	-6.4462	4762583.4795	-1.5794
LSJ1	88271695.7891	-9.4336	10275661.0708	-2.5771
MY1	82696019.5	-6.7684	977962.7672	0.080597
MY10	242262471.9336	-3.7793	143206358.821	-6.6023
MY16	44794233.2894	-9.629	22645088.5019	-3.218
MY18	156246757.8758	-7.0528	143110.6676	1.299
MY2212	244047864.8648	-15.9667	49420411.3421	-4.4261
MY23	63192568.4704	-12.3007	38787800.3367	-3.6735
MY2453	76875934.4018	-6.057	13537013.0803	-1.8498
MY2530	103595872.5277	-5.8109	1553141.1226	-0.72119
MY2535	77585892.019	-5.4174	1085721.728	0.039356
MY2573	66935444.7871	-28.3164	63253291.2533	-4.9174
MY2693	85314239.4427	-5.8223	128856836.8995	-5.5012
MY2741	75050704.3906	-4.4343	2684.5227	4.1375
MY679	106980603.43	-33.0024	93001940.7345	-5.1935
MY920	94283396.8661	-9.4755	7679636.8793	-2.1241
N2	48935875.0811	-11.092	6007650.8186	-1.5173
NIC1	66690584.1171	-5.1735	2445298.6902	-1.0014
NIC1107	308977527337.2056	-211.844	78280330.6378	-4.788
NIC166	65468897.8095	-7.6487	8812270.787	-2.084
NIC195	50422422.5648	-10.5969	6941756.2554	-2.0626
NIC199	65683170.3236	-9.3308	4354293.5427	-1.4459
NIC2	53465900.9012	-7.0889	5933669.8229	-1.5958
NIC207	66633312.8644	-10.8424	7926670.3134	-2.0264
NIC231	131176825.2516	-6.9461	13130856.0583	-2.3305
NIC236	94796035.4299	-8.5774	5688330.9993	-1.5261
NIC242	71968524.9376	-9.6488	11086889.9343	-2.1904
NIC251	91823861.8713	-5.0284	49335.8836	2.0939
NIC252	71009120.0414	-8.4907	7962553.9789	-1.9817
NIC255	85652033.053	-5.5399	430139.9086	0.55983
NIC256	76318302.6737	-8.2862	5556036.1824	-1.5443
NIC258	63149172.6139	-9.6162	8376871.4812	-1.9898
NIC259	54608360.8884	-16.6999	31386413.1406	-4.1795
NIC260	78671672.6251	-10.2561	9964919.4612	-2.2621
NIC261	65763381.7419	-8.5917	7570983.3136	-1.9767
NIC262	146085855.6077	-23.9286	76312979.1257	-5.265
NIC265	94170354.9022	-17.1445	49318963.1874	-4.7733
NIC266	61717402.973	-11.9648	17672632.4073	-3.1727
NIC267	82594588.4614	-7.4522	12465654.9722	-1.7998
