strain	cluster	mw	sw
AB1	30.08	2.88	9.96
BRC20067	28.04	0.36	2.32
CB4852	4.4	2.88	9.12
CB4854	10.12	4.6	16.92
CB4856	17.8	5.44	25.2
CB4932	16.64	3.44	12.64
CX11254	5.76	2.48	11.84
CX11262	5.04	4.68	21
CX11264	24	1.88	7.88
CX11271	11.84	2.56	8.08
CX11276	18.6	3.52	9.4
CX11285	6.36	4.4	22.96
CX11292	57.04	5.72	18.68
CX11307	12.6	4.96	20
CX11314	14.52	4.16	14.4
CX11315	3.96	3.28	17.44
DL200	12.76	9.12	31.88
DL226	14.36	8.08	37.12
DL238	21.84	3.24	13.76
ECA246	0.56	0.32	4.16
ECA248	19.48	3.2	7.64
ECA250	21.52	6.04	19
ECA251	28.8	4.52	14.8
ECA252	7.4	5.12	12.4
ECA259	13.08	5.68	24.96
ECA348	9.28	0.76	16.2
ECA349	21.52	3.36	15.16
ECA36	10.36	4.08	17
ECA363	3.56	4.04	23.8
ECA372	29.64	6.36	26.04
ECA396	3.8	4.84	26.4
ED3005	6.24	6.04	16.6
ED3011	14.4	6.92	20.24
ED3012	26.88	5.52	20
ED3017	8.88	2.52	5.84
ED3040	31.88	7.16	19.16
ED3046	29.92	7.68	27.76
ED3048	16.28	5.2	15.04
ED3049	13.64	3.16	10.2
ED3052	19.56	7.36	20.2
ED3073	15.28	2.12	6.08
ED3077	23.76	2.84	9.96
EG4347	19.32	4.12	11.04
EG4349	21.68	6.32	11.68
EG4724	25	3.68	19.44
EG4725	12.68	4.32	16.8
EG4946	29.92	6.16	21.76
GXW1	14.96	8.88	28.92
JT11398	19.24	3.84	12.68
JU1088	17.28	3.08	9.96
JU1172	26.08	4.4	27.8
JU1200	27.04	3.64	16.32
JU1212	5.4	3.2	16.28
JU1213	11.16	4.96	14.68
JU1242	30.44	6.36	22.52
JU1246	29.4	8.68	34.28
JU1395	21	12.64	41.56
JU1400	9.92	3.92	23.96
JU1409	6.92	3.64	13.12
JU1440	25.6	1.76	7.8
JU1491	13.92	4.6	15.8
JU1530	31.84	4.8	21.44
JU1543	56.48	4	18.24
JU1568	10.92	1.2	2.36
JU1580	35.44	4.52	29.08
JU1581	8.8	4.72	18
JU1586	12.12	5.36	17.76
JU1652	46.84	7.16	31.76
JU1793	13.84	2.8	10.12
JU1808	34.68	4.52	17.2
JU1896	14.76	5.08	26.96
JU2001	49.12	1.16	5.08
JU2007	15.6	4.56	14.12
JU2131	33.88	3.92	25.28
JU2141	8.52	4.8	23.68
JU2234	26.84	5.76	27.28
JU2464	17.12	0.24	3.68
JU2466	19.48	4.04	15.68
JU2513	10.16	3.56	9.36
JU2519	10.32	3.8	10.72
JU2522	21.32	5.08	17.76
JU2526	10.24	7.68	23
JU2534	10.72	7.28	26.2
JU2565	25.76	2.96	21.52
JU2566	16.24	5.56	30.08
JU2578	177.48	5.08	20.28
JU258	13.8	4.28	17.88
JU2587	15.28	3.4	21.72
JU2593	40.48	9	31.32
JU2600	6.24	6.32	27.76
JU2800	19.52	5.72	19.32
JU2862	28.88	6.96	46.68
JU2866	20.64	2.88	13.2
JU2878	5.8	5.24	21.2
JU2879	7.48	3.32	11.96
JU2906	98.48	3	22.68
JU310	13	4.84	13.12
JU311	13.72	5.16	15.72
JU3125	19.44	3	16.84
JU3127	22.4	10.56	38.6
JU3134	10.92	5	29
JU3135	42.48	17.88	39.48
JU3137	20.92	7.96	32.12
JU3140	19.2	5	36
JU323	11.08	5.92	18.92
JU346	8.32	3.88	11.36
JU360	42.16	5.6	32.52
JU367	20.2	5.92	19.2
JU393	29.88	12.32	24.16
JU394	12.04	2.6	8.4
JU397	18.72	4.8	20.56
JU406	3.72	4.16	19
JU440	3.76	3.32	21.04
JU561	26.72	6.44	21.2
JU642	15.72	5.76	25.6
JU751	25.88	3.72	6.6
JU774	7.04	3.04	12.28
JU775	14.8	3.24	9.6
JU778	33.92	7	23.84
JU782	12.16	7.64	15.2
JU792	18.4	6.96	18.08
JU830	20.64	7.16	14.16
JU847	24.88	3.6	19.48
KR314	20.4	4	10.4
LKC34	21.28	3.36	9.6
LSJ1	13.56	7.36	31.72
MY1	6.68	5.32	14.92
MY10	6.36	2.08	13.04
MY16	17.8	3.84	13.36
MY18	10.52	0.56	2.28
MY2212	21.28	4.68	25.6
MY23	12.8	4.76	16.96
MY2453	24.92	8.48	32.36
MY2530	20.36	8.24	44.32
MY2535	16.8	6.84	20.56
MY2573	34.04	3.6	21.56
MY2693	46	5.96	42.96
MY2741	25.2	8.6	31.08
MY679	48.8	6.16	45.2
MY920	6.72	3.16	19.36
N2	6.84	2	10.16
NIC1	20.8	5.44	15.6
NIC1107	15.48	4.48	42.24
NIC166	101.72	12	22.28
NIC195	4.8	3.88	13.88
NIC199	17.16	2.8	9.04
NIC2	31.28	4.12	12.88
NIC207	13	5.56	30.76
NIC231	11.36	14	35.72
NIC236	41.52	9.24	23.48
NIC242	16.6	3.24	10.64
NIC251	10.88	2.8	8.6
NIC252	6.92	2.68	6.4
NIC255	57.16	1.96	9.64
NIC256	6.64	2.52	8.36
NIC258	2.76	5.48	32.88
NIC259	6.6	6.28	24.32
NIC260	22.36	3.52	12
NIC261	13.52	1.92	9
NIC262	2.28	5	47
NIC265	42.08	1.52	12.12
NIC266	26.48	4.24	20.48
NIC267	26.28	11.32	21.68
NIC268	31.44	4.96	19.4
NIC269	4.12	4.76	26.92
NIC271	18.48	6.2	21.44
NIC272	190.96	2.32	10
