strain	cluster	mw	sw
AB1	141.552	45.72	153.36
BRC20067	43.384	60.092	103.854
CB4852	17.472	28.524	53.856
CB4854	28.546	25.168	39.61
CB4856	32.442	15.936	56.594
CB4932	80.16	44.496	58.792
CX11254	16.124	22.168	72.374
CX11262	7.8	13.28	57.444
CX11264	74.06	33.942	127.024
CX11271	21.744	14.622	42.988
CX11276	21.94	23.04	42.604
CX11285	15.388	14.544	53.6
CX11292	46.44	30.392	50.948
CX11307	62.008	17.096	102.328
CX11314	43.2	23.432	48.228
CX11315	27.47	17.66	56.25
DL200	75.4	29.168	70.664
DL226	30.356	22.952	59.876
DL238	47.408	26.368	47.256
ECA246	2.54	20.072	81.34
ECA248	92.888	72.6	46.64
ECA250	18.456	12.276	72.796
ECA251	51.4	34.304	63.536
ECA252	16.472	20.632	249.844
ECA259	17.476	13.524	43.568
ECA348	23.4	31.304	366.596
ECA349	56.912	27.012	88.672
ECA36	19.05	11.32	40.59
ECA363	7.242	16.362	64.292
ECA372	30.48	19.46	67.196
ECA396	21.15	13.064	53.886
ED3005	38.304	41.824	48.436
ED3011	36.77	33.514	62.65
ED3012	45.164	17.4	42.81
ED3017	23.524	16.22	27.912
ED3040	39.664	18.376	37.758
ED3046	235.88	208.552	200.548
ED3048	20.156	16.846	37.582
ED3049	37.17	20.52	44.596
ED3052	22.816	14.204	30.528
ED3073	41.952	36.864	56.352
ED3077	55.812	27.752	57.12
EG4347	85.76	30.52	80.848
EG4349	25.204	20.748	43.836
EG4724	92.176	25.4	74.888
EG4725	36.136	47.198	61.824
EG4946	99.196	95.64	97.676
GXW1	28.524	25.496	72.032
JT11398	27.04	22.26	56.424
JU1088	39.804	20.808	52.61
JU1172	48.136	14.488	59.936
JU1200	31.096	23.69	70.404
JU1212	40.04	35.088	63.804
JU1213	33.232	21.874	33.77
JU1242	51.482	22.072	59.432
JU1246	45.428	22.196	96.282
JU1395	68.324	50.744	69.124
JU1400	16.332	12.91	128.608
JU1409	24.684	14.64	36.9
JU1440	99.398	60.66	126.348
JU1491	47.8	32.388	60.24
JU1530	67.06	33.092	55.56
JU1543	93.38	35.194	148.874
JU1568	34.298	60.296	112.96
JU1580	35.472	22.768	77.928
JU1581	8.876	10.742	36.39
JU1586	45.57	28.712	49.236
JU1652	20.792	24.494	112.508
JU1793	13.754	15.924	65.976
JU1808	48.092	29.032	82.596
JU1896	110.04	32.608	84.776
JU2001	113.264	81.11	194.91
JU2007	43.98	16.434	53.278
JU2131	57.134	37.952	91.568
JU2141	27.56	24.652	72.582
JU2234	24.794	16.6	55.482
JU2464	189.304	61.152	83.32
JU2466	98.416	43.456	90.16
JU2513	38.392	19.2	42.08
JU2519	50.794	24.528	55.26
JU2522	27.356	20.6	50.792
JU2526	23.832	21.876	45.7
JU2534	50.36	26.004	52.012
JU2565	45.312	20.7	82.68
JU2566	60.928	21.936	88.352
JU2578	186.576	174.136	138.48
JU258	29.448	14.648	57.772
JU2587	80.094	35.36	125.004
JU2593	58.924	39.206	64.474
JU2600	17.472	23.492	58.64
JU2800	35.228	20.696	54.204
JU2862	115.424	21.388	90.036
JU2866	28.206	15.024	58.384
JU2878	24.696	24.184	67.336
JU2879	14.408	9.862	55.024
JU2906	81.28	24.72	97.178
JU310	70.232	27.68	54.934
JU311	21.2	11.346	34.016
JU3125	24.684	10.888	60.596
JU3127	19.392	19.084	59.624
JU3134	40.728	19.352	91.976
JU3135	85.462	37.03	69.886
JU3137	49.072	21.976	74.568
JU3140	94.964	25.412	88.756
JU323	25.924	20.288	43.9
JU346	29.298	23.208	59.308
JU360	18.712	8.84	51.568
JU367	34.7	25.756	66.44
JU393	42.672	30.892	58.792
JU394	56.442	40.4	76.342
JU397	27.56	14.342	45.692
JU406	23.4	24.88	70.68
JU440	3.76	12.44	51.822
JU561	47.904	19.768	42.92
JU642	40.494	18.556	63.824
JU751	93.034	82.708	68.178
JU774	16.05	14.216	43
JU775	24.12	17.48	53.938
JU778	45.19	25.654	65.6
JU782	30.722	31.628	59.582
JU792	59.228	31.996	70.45
JU830	33.318	24.2	42.768
JU847	39.136	25.752	67.636
KR314	96.528	82.85	80.496
LKC34	47.552	21.4	45.4
LSJ1	82.172	22.988	77.802
MY1	26.4	30.752	44.732
MY10	90.02	20.328	245.212
MY16	24.424	16.636	41.77
MY18	136.106	78.696	95.144
MY2212	45.472	22.36	79.932
MY23	14.046	9.982	33.328
MY2453	56.692	26.08	58
MY2530	82.16	40.72	110.516
MY2535	31.896	18.2	44.28
MY2573	48.104	25.728	64.85
MY2693	40.796	16.024	92.198
MY2741	87.656	25.64	64.056
MY679	79.72	27.9	101.66
MY920	46.448	27.2	129.34
N2	17.552	36.822	181.62
NIC1	51.1	48.648	58.568
NIC1107	142.558	62.42	130.74
NIC166	189.04	76.576	27.498
NIC195	11.01	12.31	36.414
NIC199	21.256	14.16	35.896
NIC2	37.206	23.578	49.942
NIC207	55.636	26.696	70.616
NIC231	56.96	32.18	102.324
NIC236	65.976	25.496	44.496
NIC242	44.54	22.828	54.766
NIC251	63.35	45.782	62.832
NIC252	16.62	16.772	36.592
NIC255	90	27.16	72.126
NIC256	25.308	29.926	52.016
NIC258	27.16	35.384	104.712
NIC259	17.408	14.772	59.304
NIC260	45.96	17.68	56.16
NIC261	34.196	16.294	46.608
NIC262	2.72	19.736	89.468
NIC265	135.044	21.552	561.328
NIC266	32.562	26.68	63.956
NIC267	33.786	18.296	41.904
NIC268	32.744	15.71	43.178
NIC269	6.264	14.112	71.91
NIC271	30.52	25.956	56.454
NIC272	90.572	60.576	76.568
NIC274	30.476	26.168	51.36
NIC275	45.672	18	42.836
NIC276	24.276	15.228	47.91
NIC277	28.304	15.404	45.536
NIC3	67.768	35.44	74.196
NIC513	76.336	28.986	78.472
NIC514	42.816	21.692	53.52
NIC522	48.02	26.904	48.036
NIC523	25.504	21	43.408
PB303	26.08	15.808	48.98
PS2025	15.228	12.38	79.92
PX179	47.608	27.304	107.922
QG2075	118.72	59.642	121.95
QG536	53.886	28.978	49.588
QG556	30.6	13.448	74.056
QG557	4.88	16.164	59.212
QW947	19.112	22.232	49.352
QX1212	48.408	60.49	99.492
QX1233	47.224	33.594	69.458
QX1791	29.208	15.384	49.096
