strain	cluster	mw	sw
AB1	12.1	3.84	10.3
BRC20067	15.88	10.8	16.37
CB4852	2.26	3.58	3.84
CB4854	3.25	2.7	3.7
CB4856	5.14	2.74	4.2
CB4932	7.26	3.68	4
CX11254	4.81	3.23	5.26
CX11262	2.44	2.9	4.16
CX11264	7.7	8.39	32.58
CX11271	2.6	2.32	4.02
CX11276	2.6	3.64	3.32
CX11285	3.1	2.64	4
CX11292	6.52	3.16	5
CX11307	6.72	4.12	5.16
CX11314	5.4	3.32	3.94
CX11315	2.47	2.7	3.8
DL200	3.78	4.16	4.6
DL226	5.96	3.15	4.35
DL238	6.16	3.49	4.41
ECA246	2.22	11.6	42.18
ECA248	17.3	4.24	4.16
ECA250	5.52	3.2	6.6
ECA251	6.36	3.98	4
ECA252	3.24	6.63	19.72
ECA259	4.18	2.74	3.6
ECA348	10.64	2.48	49.88
ECA349	9.04	3.2	5
ECA36	3.44	2.24	3.37
ECA363	1.6	2.94	4.64
ECA372	4.62	3.72	4.62
ECA396	3.46	2.89	4.86
ED3005	6.24	3.84	3.52
ED3011	3.86	3.38	3.7
ED3012	5.67	3.2	3.56
ED3017	3.46	2.8	3.28
ED3040	5.13	2.89	3.18
ED3046	29.6	6.5	7.85
ED3048	4.93	2.94	3.52
ED3049	4.73	3.52	3.96
ED3052	4.84	2.72	2.92
ED3073	3.3	4.05	4.07
ED3077	4.36	3.28	4.54
EG4347	6.6	2.82	5.18
EG4349	4.68	3.2	4.26
EG4724	8.55	3.72	5.84
EG4725	5.01	4.7	5.04
EG4946	15.14	5.2	3.77
GXW1	6.8	4	4.4
JT11398	4.56	3	3.68
JU1088	6.04	3.26	4
JU1172	2.85	2.74	4.36
JU1200	6.07	3.08	3.95
JU1212	3.8	3.8	5.46
JU1213	4.08	2.8	3.46
JU1242	8.07	3	4.26
JU1246	13.1	4.33	28.44
JU1395	7.86	3.22	4.6
JU1400	3.4	3.49	28.21
JU1409	3.39	2.6	3.34
JU1440	10.45	3.66	4.66
JU1491	6.08	4	4.2
JU1530	9.99	3.12	4.76
JU1543	5.12	3.52	14.77
JU1568	4.6	6.07	10.6
JU1580	8.68	3.8	4.8
JU1581	2.78	2.66	3.52
JU1586	6.2	3.22	3.84
JU1652	6.32	4.22	17.8
JU1793	3.6	3.1	6.6
JU1808	6.92	3.36	4.4
JU1896	9.09	3.94	5.08
JU2001	28.44	5.56	16.54
JU2007	4.56	2.92	5.52
JU2131	10.38	3.36	4.44
JU2141	3.7	3.12	5.08
JU2234	7.98	3.32	4.12
JU2464	14.4	3.42	4.24
JU2466	7.63	4.28	5.32
JU2513	3.91	2.54	3.8
JU2519	7.31	2.94	5.06
JU2522	3.29	4.12	5.38
JU2526	2.42	3.68	3.96
JU2534	3.76	3.62	4.96
JU2565	5.28	3.12	6.46
JU2566	3.92	3.08	5.04
JU2578	57.12	5.08	6.2
JU258	4.36	3.13	3.98
JU2587	13.62	3.64	10.56
JU2593	9.16	3.76	4.41
JU2600	3.8	3.08	3.98
JU2800	5.07	3.22	3.6
JU2862	13.4	8.84	29.73
JU2866	4.39	2.45	3.88
JU2878	4.12	3.64	4.86
JU2879	3	3.04	4.63
JU2906	8.08	3.51	5.97
JU310	7.24	2.88	5.02
JU311	3.86	2.62	3.44
JU3125	2.72	2.76	3.78
JU3127	4.38	3.48	3.96
JU3134	4.76	3.38	5.66
JU3135	12.33	3.48	4.16
JU3137	7.12	3.6	4.4
JU3140	8.84	3.34	5.48
JU323	4.06	3.16	3.72
JU346	5.09	2.94	5.08
JU360	3.85	2.64	4.22
JU367	9.91	3.2	25.2
JU393	4.84	3.4	3.89
JU394	8.01	3.74	4.56
JU397	4.11	3.06	4
JU406	3.94	3.3	5.16
JU440	1.36	2.54	3.98
JU561	5.8	3.32	4.32
JU642	6.66	3.3	3.86
JU751	36.5	39.99	28.83
JU774	3	2.72	3.8
JU775	4.16	2.68	4.37
JU778	8.61	3.85	4.22
JU782	7.25	4.09	3.94
JU792	9.6	3.76	5.2
JU830	6.82	3.2	3.8
JU847	6.32	2.92	4.22
KR314	14.18	4.78	5.26
LKC34	6.65	3.48	4
LSJ1	2.46	4.29	5.41
MY1	4.2	3.46	4.08
MY10	23.78	4.12	14.45
MY16	4.48	3.2	3.85
MY18	27.59	4.08	5.92
MY2212	9.24	3.36	5.2
MY23	3.38	2.49	3.08
MY2453	7.96	3.68	4
MY2530	7.72	3.44	4.62
MY2535	5.54	3.28	3.36
MY2573	9	3.84	5.95
MY2693	8.22	3.13	4.77
MY2741	9.08	3.32	4.28
MY679	7.82	3.68	7.76
MY920	7.76	4.1	66.91
N2	3.3	4.54	9.72
NIC1	8.6	3.82	4.51
NIC1107	13.76	3.44	8.99
NIC166	100.52	9.78	19.46
NIC195	3.03	2.88	3.49
NIC199	3.2	2.8	3.35
NIC2	5.56	3.19	4.9
NIC207	6.66	4	4.32
NIC231	4.58	3.93	5.08
NIC236	7.64	3.44	3.68
NIC242	4.44	3.15	4
NIC251	9.21	3.63	3.56
NIC252	2.68	2.68	3.64
NIC255	15.83	3.26	5.81
NIC256	3.76	3.13	4.82
NIC258	6.42	3.68	6.96
NIC259	2.76	3.22	4.12
NIC260	4.08	2.98	4.04
NIC261	4.4	3.03	4.18
NIC262	1.86	3.56	5.1
NIC265	9.42	5.08	509.12
NIC266	4.85	2.86	4.66
NIC267	6.12	3.04	3.12
NIC268	4.91	2.59	3.26
NIC269	2.03	3.22	4.3
NIC271	4.32	3.14	4.21
NIC272	47.98	3.84	5
NIC274	3.76	3.64	3.92
NIC275	4.28	2.88	3.98
NIC276	4.8	2.77	3.32
NIC277	5.4	3.18	4
NIC3	10.1	3	4.6
NIC513	9.64	3.82	5.26
NIC514	5.12	3.38	3.8
NIC522	7.71	2.96	3.93
NIC523	3.02	3.2	3.96
PB303	3.88	2.82	3.56
PS2025	2.28	2.92	5.68
PX179	10.36	4.08	5.9
QG2075	37.64	4	7.36
QG536	6.66	3.34	4.34
QG556	4.22	2.72	4.6
QG557	1.64	2.97	4.34
QW947	2.71	3	4.28
QX1212	7.44	3.36	5.23
QX1233	5.14	17.77	11.68
QX1791	2.2	2.44	4
QX1792	7.7	3.62	4.63
QX1793	6	3	4.46
QX1794	5.4	3.46	4
RC301	5.92	3.48	3.36
WN2001	5.72	3.06	4.6
WN2002	5.75	2.83	3.9
WN2033	9.34	3.5	4
XZ1513	6	4.14	4.68
XZ1514	5.92	12.4	56.76
XZ1516	4.16	3.18	4.9
