strain	cluster	mw	sw	clusterNorm	mwNorm
AB1	4.2391	3.7427	1.9792	2.3516	1.9894
BRC20067	3.9139	3.3297	1.9382	2.4834	1.8588
CB4852	5.7949	2.9829	2.0899	3.087	1.9471
CB4854	5.0765	3.9113	1.8612	2.972	2.2577
CB4856	5.1263	3.6507	1.8853	2.8352	2.1092
CB4932	4.5063	3.7545	1.8085	2.569	2.1791
CX11254	4.5205	3.333	1.841	2.7051	1.9629
CX11262	6.3727	3.5775	1.9134	3.6467	2.0301
CX11264	4.191	2.9457	1.6466	2.4951	2.0067
CX11271	5.9674	3.2188	1.6325	3.9531	2.2628
CX11276	5.5152	3.9262	1.9744	3.1578	2.1479
CX11285	5.3743	3.4885	1.7475	3.1525	2.0637
CX11292	5.843	3.9042	1.9085	3.1247	2.1375
CX11307	5.1828	3.3293	1.8562	3.0413	1.9787
CX11314	4.92	3.9369	1.8856	2.8744	2.3397
CX11315	4.6172	3.3014	1.7285	2.8962	2.0754
DL200	5.159	4.332	1.9504	2.8177	2.5925
DL226	5.38	4.3159	2.0231	2.7621	2.2164
DL238	5.2724	3.5012	1.9617	3.0272	1.95
ECA246	3.1956	1.5935	1.3445	2.6387	1.3129
ECA248	4.8611	4.1565	2.0641	2.5018	2.1065
ECA250	5.6913	3.8965	2.1485	3.503	2.1946
ECA251	5.0821	4.0037	1.8992	2.7352	2.2034
ECA252	8.6289	3.7965	2.048	4.462	2.1714
ECA259	5.9585	4.1146	1.9112	3.3051	2.2331
ECA348	5.1989	1.7524	1.7885	2.8192	1.0346
ECA349	4.2417	3.3492	1.7027	3.084	2.1078
ECA36	5.3175	3.8493	1.8822	3.0732	2.126
ECA363	4.9668	3.3763	1.8427	3.0004	1.8683
ECA372	5.3321	4.1676	2.0734	2.7291	2.1126
ECA396	5.9728	3.539	1.8107	3.537	2.0934
ED3005	5.4869	4.4591	2.013	2.9331	2.3681
ED3011	5.0285	4.1801	1.8539	2.7298	2.2899
ED3012	5.1632	4.0897	1.8556	2.974	2.3631
ED3017	5.5416	3.6492	1.8699	3.3827	2.2427
ED3040	5.7974	5.4624	1.9397	3.2697	3.073
ED3046	4.0437	3.4209	1.8885	2.4321	2.0898
ED3048	6.7292	4.5167	1.9041	3.5431	2.4704
ED3049	4.9385	3.6799	1.8261	2.9611	2.316
ED3052	5.7874	4.2559	2.0258	3.0931	2.2478
ED3073	4.6161	3.5897	1.8317	2.7706	2.0483
ED3077	5.3998	3.8019	1.8592	3.1498	2.2316
EG4347	5.2098	4.23	1.8039	2.8162	2.2866
EG4349	6.5607	5.7198	2.0094	3.5085	3.0632
EG4724	5.0594	3.654	1.7358	2.9936	2.282
EG4725	5.6857	3.6884	1.9772	3.1383	2.0952
EG4946	4.8293	4.2708	2.0317	2.617	2.2534
GXW1	5.2622	3.9419	1.9172	2.8377	2.2376
JT11398	5.5072	4.3439	1.9851	3.07	2.5443
JU1088	4.9651	3.8454	1.858	2.987	2.3191
JU1172	5.2347	3.8378	1.7712	3.1316	2.3534
JU1200	4.7805	4.0003	1.7851	3.0066	2.519
JU1212	4.5473	3.3848	1.8699	2.6947	2.0058
JU1213	4.8025	4.0198	1.9341	2.6401	2.2187
JU1242	4.9504	4.1427	1.9663	2.7503	2.3206
JU1246	3.9275	3.3642	2.0036	2.1213	1.799
JU1395	4.9267	4.0688	1.9194	2.698	2.2654
JU1400	3.6048	2.6936	1.651	2.2196	1.7811
JU1409	4.9033	3.7641	1.8497	2.9487	2.2384
JU1440	4.908	4.1202	1.8575	3.1569	2.4138
JU1491	5.3147	4.4924	2.031	2.9379	2.3654
JU1530	4.92	4.064	1.912	2.6861	2.2562
JU1543	4.8845	3.814	1.8034	2.5978	2.196
JU1568	5.2259	3.5354	2.0899	2.6881	1.8138
JU1580	4.268	3.6555	1.8251	2.5819	1.9912
JU1581	6.7265	4.1998	1.9894	3.6684	2.2619
JU1586	4.2795	3.4316	1.7832	2.4936	2.0343
JU1652	4.2175	3.2442	2.0609	2.2121	1.6473
JU1793	5.2749	3.8107	1.8348	3.0347	2.1471
JU1808	5.1343	4.0106	1.9744	2.9562	2.1621
JU1896	4.2245	3.4712	1.8817	2.4062	2.0014
JU2001	4.3417	3.0531	1.7405	2.7914	1.9559
JU2007	5.2739	3.5694	1.7897	2.9715	2.1616
JU2131	4.3548	3.7106	1.8641	2.4685	2.0349
JU2141	5.2988	3.2762	1.6722	3.1897	2.0777
JU2234	5.1523	4.0255	1.9134	2.9211	2.2774
JU2464	3.8561	3.4153	1.5764	2.6539	2.2929
JU2466	4.3843	4.0048	1.8499	2.5411	2.2995
JU2513	5.127	3.5999	1.8334	2.9467	2.167
JU2519	4.6177	3.4966	1.7427	2.823	2.0766
JU2522	5.2963	3.5154	1.9536	2.8934	1.921
JU2526	6.5293	4.6003	1.9817	3.0924	2.2467
JU2534	5.1611	3.6706	1.8134	2.8945	2.1935
JU2565	3.9881	3.5161	1.951	2.1293	1.9034
JU2566	4.8808	3.7516	1.7402	2.8909	2.1501
JU2578	4.5617	4.091	1.9958	2.3733	2.1284
JU258	5.2752	3.6782	1.8146	2.9786	2.23
JU2587	4.9189	3.5965	2.0279	2.8042	1.9663
JU2593	5.7189	4.6093	2.2472	2.6754	2.1474
JU2600	5.286	3.787	1.8505	3.0542	2.1602
JU2800	5.2336	3.983	1.8724	2.8646	2.1831
JU2862	4.5992	3.5157	1.8485	2.4595	2.0106
JU2866	5.6128	3.8203	1.748	3.4144	2.3554
JU2878	4.7492	3.4506	1.8041	2.8724	2.1569
JU2879	6.2741	4.024	1.9475	3.4515	2.2382
JU2906	5.0348	4.5215	1.8892	2.8934	2.4903
JU310	4.3632	3.457	1.9207	2.7551	2.0904
JU311	6.3905	4.334	1.8522	3.6447	2.5504
JU3125	5.2723	4.1375	1.9607	2.9397	2.2318
JU3127	5.367	4.0179	2.0197	2.7558	2.0935
JU3134	4.6295	3.5355	1.8675	2.6767	2.0442
JU3135	5.0479	4.6685	2.0526	2.5623	2.3526
JU3137	5.2294	4.3998	1.951	2.7102	2.2802
JU3140	4.6359	3.758	1.8627	2.6896	2.1588
JU323	5.7676	4.2666	1.9792	3.2506	2.2645
JU346	5.3921	3.4058	1.6578	3.2171	2.2028
JU360	4.4788	3.5919	1.9807	2.3603	1.9319
JU367	4.6793	3.1828	1.9099	2.5213	1.6958
JU393	5.2001	3.7925	1.9175	2.8629	2.1098
JU394	5.2133	3.8	2.0794	2.675	2.0646
JU397	4.7712	3.2781	1.7217	3.027	2.0574
JU406	5.3177	3.6295	1.7865	3.0905	2.0963
JU440	5.9572	3.3807	1.8199	3.4504	1.9814
JU561	4.9955	4.3959	2.1017	2.654	2.269
JU642	5.5719	4.4824	1.9467	3.1332	2.5125
JU751	4.2956	3.9068	2.1184	2.175	1.9549
JU774	5.3427	3.4843	1.7875	3.0894	2.0595
JU775	5.3763	3.6019	1.8729	3.0128	2.2019
JU778	6.0856	4.7746	1.8439	3.4295	2.7053
JU782	6.3271	4.026	2.1114	3.1985	2.0488
JU792	5.0135	4.2912	1.947	2.699	2.3102
JU830	5.3858	4.1579	1.8075	2.8901	2.4241
JU847	5.324	3.9906	1.841	2.9199	2.2293
KR314	4.0882	3.537	1.8031	2.3914	2.0207
LKC34	5.1813	4.2109	1.9075	2.9091	2.2726
LSJ1	5.5896	4.4779	1.8634	3.197	2.5788
MY1	5.0197	3.7833	1.8124	2.9094	2.0436
MY10	3.8214	3.4446	2.0031	2.1291	1.8769
MY16	5.7996	4.7339	2.0565	2.9704	2.4115
MY18	3.7516	2.8342	2.0358	2.1487	1.8243
MY2212	4.8259	3.6575	1.931	2.6791	2.0522
MY23	6.4691	4.9781	2.0736	3.4794	2.6501
MY2453	5.7019	4.7222	1.9665	3.0206	2.4517
MY2530	4.5451	3.9355	1.9017	2.5137	2.1766
MY2535	5.1177	4.2758	1.8817	2.8291	2.3637
MY2573	4.865	3.891	1.9553	2.5648	2.029
MY2693	6.1201	4.1963	1.937	3.4884	2.3287
MY2741	5.2397	4.7066	1.9997	2.7624	2.4795
MY679	4.8094	3.7833	1.9241	2.7552	2.2498
MY920	4.5066	2.0381	1.9582	2.7042	0.99331
N2	6.9479	3.7958	2.0231	3.6073	2.0732
NIC1	5.0611	3.7499	1.9448	2.7394	2.09
NIC1107	4.6532	3.9272	1.9051	2.6084	2.2679
NIC166	3.6739	2.3946	1.6912	1.9823	1.4237
NIC195	6.9058	4.1245	1.9643	3.7659	2.2008
NIC199	5.3841	3.765	1.8346	3.0885	2.2022
NIC2	5.2494	4.1294	1.901	2.848	2.3302
NIC207	4.2302	3.4571	1.8124	2.4981	2.0415
NIC231	4.8875	3.8123	1.9819	2.5544	2.0235
NIC236	5.0006	4.0965	1.8417	2.8872	2.3652
NIC242	4.8773	3.4966	1.8161	2.9673	2.0913
NIC251	4.4094	3.7699	1.9034	2.5713	2.2284
NIC252	4.9245	3.8755	1.8334	3.2998	2.3716
NIC255	4.5153	3.5575	1.9034	2.572	2.026
NIC256	5.8666	3.747	1.7982	3.2582	2.2084
NIC258	5.3436	3.813	1.9227	2.9556	2.1091
NIC259	6.0464	4.2124	1.9665	3.2998	2.2989
NIC260	5.563	4.8329	2.0041	2.8615	2.4859
NIC261	5.5654	3.995	1.9055	3.1723	2.3537
NIC262	4.4849	3.9643	2.1237	2.1989	1.9436
NIC265	4.8736	3.0638	1.6934	2.7243	1.7927
NIC266	6.6976	4.191	1.9358	3.6439	2.3187
NIC267	6.2528	5.0557	1.9651	3.2678	2.7213
NIC268	6.0331	4.8229	1.9412	3.3366	2.6747
NIC269	6.2657	3.5056	1.8758	3.5332	1.9801
NIC271	5.763	4.1149	2.0446	2.9269	2.0899
NIC272	4.1328	3.3199	1.8699	2.3594	1.8953
NIC274	4.9834	3.6472	1.8124	3.1328	2.2674
NIC275	4.0861	3.2643	1.7017	2.6715	2.0857
NIC276	5.4683	4.4349	1.988	3.0727	2.4099
NIC277	5.3722	4.0888	1.8175	3.0552	2.3282
NIC3	4.6597	3.5439	1.891	2.769	2.0769
NIC513	4.4104	3.803	1.8453	2.7152	2.2956
NIC514	5.1575	4.1545	1.8734	2.8899	2.263
NIC522	5.6338	4.5817	1.9719	2.9556	2.3631
NIC523	4.826	3.6315	1.8495	2.826	2.1458
PB303	4.925	3.4102	1.8041	3.0174	2.1501
PS2025	5.6698	3.2268	1.7802	3.4063	1.9476
PX179	5.1574	3.5658	1.7224	3.2467	2.2245
QG2075	3.5802	2.8886	1.6149	2.509	2.1074
QG536	5.7347	4.4345	2.0653	2.9347	2.2678
QG556	4.2711	3.5706	1.7402	2.5947	2.1691
QG557	5.2775	3.3956	1.796	3.1428	1.992
QW947	5.9857	3.7268	1.9734	3.21	2.1143
QX1212	4.4473	3.5767	1.9207	2.6706	2.1224
QX1233	6.1361	3.1581	1.8568	3.526	2.4706
QX1791	4.1593	3.3653	1.7227	2.6884	2.0131
QX1792	5.6995	4.5366	1.9487	3.2096	2.4733
QX1793	5.5214	4.4827	2.0431	2.8049	2.2772
QX1794	5.565	3.8556	1.8407	3.2195	2.1874
RC301	5.6553	4.2793	1.8865	3.1663	2.6089
WN2001	5.3177	4.4976	2.0941	2.6566	2.2497
WN2002	4.9377	3.9493	1.9287	2.8183	2.2655
WN2033	5.6654	4.4555	1.9358	3.008	2.5361
