strain	cluster	mw	sw	clusterNorm	mwNorm
AB1	3.1629	2.0772	1.8027	1.7546	1.3243
BRC20067	3.0304	1.9729	1.8292	1.9176	1.1354
CB4852	3.9585	1.8524	1.9582	2.2807	1.1445
CB4854	3.5913	2.5581	1.781	2.0118	1.5069
CB4856	3.568	2.6338	1.788	1.9472	1.5056
CB4932	3.1563	2.4861	1.7172	1.8002	1.4534
CX11254	3.1786	2.3357	1.6978	1.9182	1.3849
CX11262	4.3191	2.3894	1.7623	2.4509	1.4249
CX11264	2.6663	1.7882	1.5571	1.7542	1.2178
CX11271	3.8302	1.9897	1.5078	2.5373	1.406
CX11276	3.6688	2.474	1.8279	1.9758	1.4062
CX11285	3.1701	2.4597	1.6671	1.8965	1.4447
CX11292	3.6609	2.5225	1.8265	1.9578	1.349
CX11307	3.5019	1.9499	1.7392	2.0518	1.1687
CX11314	3.5908	2.5538	1.7739	1.9866	1.4643
CX11315	3.5188	2.236	1.5905	2.1993	1.4029
DL200	3.5491	3.0015	1.831	1.9384	1.7096
DL226	3.5808	2.9008	1.9346	1.8409	1.4897
DL238	3.4609	2.3929	1.836	1.9643	1.2667
ECA246	2.7408	1.1354	1.2125	2.2642	0.96774
ECA248	3.4233	2.9532	1.9431	1.7618	1.5199
ECA250	4.0162	2.8991	2.0397	2.472	1.5556
ECA251	3.4219	2.9025	1.7899	1.8585	1.5861
ECA252	6.3108	2.4752	1.9317	3.2525	1.2906
ECA259	4.0362	2.8615	1.8031	2.2393	1.5549
ECA348	3.6306	1.2564	1.7597	1.9688	0.74256
ECA349	2.6625	2.4752	1.5885	1.8716	1.5582
ECA36	3.5992	2.7515	1.7832	2.0325	1.4958
ECA363	3.5365	1.997	1.7358	1.9503	1.1743
ECA372	3.4595	2.8615	1.9914	1.7372	1.4402
ECA396	4.0996	2.7225	1.6902	2.4265	1.6105
ED3005	4.2986	2.6994	1.8858	2.2923	1.4354
ED3011	3.3573	2.8061	1.7127	1.8882	1.5488
ED3012	3.507	2.8571	1.731	1.9928	1.601
ED3017	3.6217	2.3011	1.7734	2.2044	1.4142
ED3040	4.2657	3.4208	1.8487	2.4056	1.8994
ED3046	2.8461	2.2128	1.7868	1.7118	1.3698
ED3048	4.6834	2.8889	1.8222	2.5133	1.57
ED3049	3.3976	2.7625	1.6202	2.0025	1.5306
ED3052	4.0066	2.0514	1.8934	2.1401	1.0834
ED3073	3.5446	2.6369	1.6673	2.1275	1.5028
ED3077	3.618	2.5591	1.7037	2.1106	1.5021
EG4347	3.5955	2.4011	1.7007	2.0649	1.4004
EG4349	4.6934	3.3383	1.8697	2.51	1.7875
EG4724	3.6917	2.4071	1.6012	2.1812	1.5033
EG4725	3.8301	2.4335	1.8212	2.0803	1.3566
EG4946	3.3955	2.8861	1.8987	1.7793	1.5182
GXW1	3.1819	2.4318	1.7617	1.7159	1.4523
JT11398	3.6409	3.0249	1.8368	2.1632	1.6558
JU1088	3.3385	2.4287	1.7078	2.0279	1.4622
JU1172	3.6494	2.6571	1.6634	2.1836	1.6216
JU1200	3.6996	2.4989	1.5883	2.1668	1.5754
JU1212	3.6321	2.2031	1.7687	2.1523	1.3358
JU1213	3.521	3.0007	1.8717	2.0073	1.5649
JU1242	3.4118	2.8368	1.8461	1.8479	1.5816
JU1246	3.1189	2.7199	1.9292	1.7012	1.4591
JU1395	3.2907	2.8083	1.8127	1.8323	1.564
JU1400	2.6798	1.6596	1.5605	1.6605	1.0774
JU1409	3.3797	2.5264	1.6829	2.0325	1.508
JU1440	3.3777	2.3562	1.7007	2.158	1.3965
JU1491	3.8862	2.8049	1.8992	2.1489	1.4769
JU1530	3.1985	2.6447	1.8281	1.8217	1.4925
