strain	cluster	mw	sw	clusterNorm	mwNorm
AB1	0.916	0.92312	0.98067	0.94788	0.9559
BRC20067	0.91212	0.9622	0.98031	0.94167	1.0066
CB4852	0.94343	0.96017	0.97774	0.9808	0.99873
CB4854	0.93589	0.97206	0.97848	0.96693	1.0064
CB4856	0.91819	0.9647	0.97549	0.95154	1.0024
CB4932	0.9018	0.96062	0.97968	0.93161	0.99739
CX11254	0.95169	0.96746	0.97921	0.98781	1.004
CX11262	0.92659	0.97011	0.97614	0.96661	1.0084
CX11264	0.90721	0.95423	0.97752	0.93966	0.99121
CX11271	0.9445	0.96687	0.97745	0.97635	1.0057
CX11276	0.93141	0.96609	0.97952	0.96661	0.99968
CX11285	0.94525	0.96689	0.97491	0.9847	1.0079
CX11292	0.92506	0.9571	0.9788	0.95624	0.98936
CX11307	0.94096	0.96008	0.9757	0.9862	1.0075
CX11314	0.92025	0.96681	0.97757	0.95194	1.0023
CX11315	0.94207	0.97207	0.97792	0.97808	1.0093
DL200	0.94894	0.95047	0.98126	0.98399	0.98382
DL226	0.89862	0.96323	0.97924	0.93113	0.99846
DL238	0.90307	0.9623	0.97542	0.94719	1.0047
ECA246	0.94253	0.94527	0.97131	0.99261	1.006
ECA248	0.90031	0.9622	0.977	0.94198	1.0012
ECA250	0.86855	0.96975	0.97799	0.90058	1.008
ECA251	0.90531	0.96338	0.97529	0.941	1.0001
ECA252	0.94755	0.95477	0.97526	1.0018	1.0135
ECA259	0.92984	0.96629	0.97485	0.96729	1.0064
ECA348	0.92264	0.95763	0.97897	0.95198	1.0013
ECA349	0.9084	0.95531	0.9798	0.93799	0.98642
ECA36	0.93513	0.9688	0.97569	0.97168	1.0056
ECA363	0.92598	0.96455	0.97556	0.96599	1.0085
ECA372	0.88586	0.9643	0.97899	0.92038	0.999
ECA396	0.95204	0.96461	0.97267	0.99902	1.0122
ED3005	0.92015	0.95577	0.98066	0.95027	0.98705
ED3011	0.89355	0.95769	0.97769	0.92832	0.99809
ED3012	0.91275	0.96592	0.98127	0.94244	0.99672
ED3017	0.9253	0.96722	0.97762	0.96276	1.0068
ED3040	0.90688	0.96292	0.98139	0.93542	0.99349
ED3046	0.8642	0.93693	0.98062	0.89664	0.96551
ED3048	0.92937	0.97077	0.97953	0.96053	1.0027
ED3049	0.92582	0.96087	0.98231	0.95218	0.98597
ED3052	0.92446	0.95062	0.9798	0.9539	0.99344
ED3073	0.94027	0.96821	0.97931	0.97338	1.0014
ED3077	0.89663	0.95626	0.97773	0.93002	0.99457
EG4347	0.96338	0.96042	0.98142	0.99305	0.99096
EG4349	0.96239	0.96575	0.98301	0.98886	0.9923
EG4724	0.93904	0.96759	0.98344	0.9676	0.99844
EG4725	0.96009	0.97191	0.97992	0.99453	1.008
EG4946	0.88684	0.95236	0.98037	0.91549	0.98312
GXW1	0.89886	0.94095	0.97752	0.93148	0.9751
JT11398	0.92274	0.95558	0.98	0.95765	0.98674
JU1088	0.90768	0.96096	0.9806	0.93916	0.99506
JU1172	0.92509	0.96793	0.97821	0.95876	1.0033
JU1200	0.92251	0.96294	0.97895	0.95602	0.99729
JU1212	0.94687	0.96976	0.9797	0.97924	1.003
JU1213	0.92206	0.96654	0.98046	0.95137	0.99727
JU1242	0.90974	0.96266	0.97797	0.94306	0.99893
JU1246	0.83518	0.94879	0.9807	0.86142	0.97863
JU1395	0.91884	0.9665	0.98147	0.94695	0.99549
JU1400	0.88554	0.96887	0.98109	0.91545	1.0018
JU1409	0.94265	0.97249	0.97951	0.9752	1.007
JU1440	0.87952	0.95127	0.97935	0.91522	0.986
JU1491	0.93971	0.96527	0.98133	0.96917	0.99553
JU1530	0.90078	0.96433	0.97933	0.93268	0.99847
JU1543	0.91127	0.96087	0.97991	0.93929	0.99135
JU1568	0.93074	0.97259	0.98227	0.95407	0.99697
JU1580	0.94197	0.96745	0.97704	0.98008	1.0066
