strain	cluster	mw	sw	clusterNorm	mwNorm
AB1	0.74706	0.86118	0.96699	0.77238	0.89058
BRC20067	0.84621	0.86126	0.95784	0.87389	0.94263
CB4852	0.88042	0.89944	0.96202	0.91488	0.93338
CB4854	0.81721	0.90024	0.96621	0.84428	0.93012
CB4856	0.7917	0.88281	0.96117	0.8223	0.92099
CB4932	0.73359	0.87677	0.96729	0.75814	0.90894
CX11254	0.856	0.88584	0.96343	0.88908	0.92087
CX11262	0.82953	0.89861	0.96195	0.86232	0.9356
CX11264	0.73033	0.85939	0.9627	0.75962	0.89201
CX11271	0.85396	0.90138	0.96237	0.88457	0.93573
CX11276	0.86391	0.90031	0.96359	0.89395	0.93434
CX11285	0.86268	0.89395	0.95839	0.89674	0.93211
CX11292	0.84504	0.90523	0.96729	0.87351	0.93573
CX11307	0.75836	0.86787	0.95709	0.79498	0.91155
CX11314	0.78933	0.87108	0.96399	0.81651	0.90537
CX11315	0.83622	0.90104	0.96315	0.86816	0.93551
DL200	0.803	0.83768	0.9661	0.83266	0.86708
DL226	0.74533	0.8792	0.96549	0.77236	0.91137
DL238	0.76242	0.88682	0.96069	0.79065	0.92669
ECA246	0.86532	0.89228	0.94976	0.91163	0.92784
ECA248	0.75471	0.84911	0.96106	0.78964	0.88352
ECA250	0.71442	0.85205	0.9643	0.74076	0.88347
ECA251	0.75467	0.86471	0.96032	0.78327	0.89724
ECA252	0.87507	0.89123	0.94573	0.92512	0.94901
ECA259	0.80738	0.88235	0.96016	0.8389	0.91896
ECA348	0.66429	0.84579	0.96741	0.68541	0.87428
ECA349	0.79106	0.85216	0.96846	0.81682	0.87905
ECA36	0.8011	0.88158	0.96001	0.83507	0.91891
ECA363	0.84112	0.89231	0.95985	0.87894	0.93088
ECA372	0.71217	0.86999	0.96527	0.73731	0.9039
ECA396	0.87977	0.88006	0.95295	0.92322	0.92352
ED3005	0.75643	0.86917	0.96832	0.78122	0.89763
ED3011	0.77836	0.89668	0.96205	0.81191	0.9329
ED3012	0.77636	0.86583	0.9685	0.80162	0.89397
ED3017	0.78772	0.89085	0.96072	0.81909	0.92735
ED3040	0.78188	0.84398	0.96978	0.80601	0.87052
ED3046	0.67296	0.7727	0.96711	0.69822	0.79627
ED3048	0.82448	0.89369	0.96693	0.8521	0.92364
ED3049	0.78979	0.87674	0.97011	0.81132	0.90375
ED3052	0.77329	0.89259	0.96769	0.79793	0.92239
ED3073	0.81619	0.88499	0.96683	0.84493	0.91881
ED3077	0.74195	0.88047	0.96329	0.77008	0.91576
EG4347	0.85734	0.89334	0.96996	0.88403	0.92085
EG4349	0.89411	0.90584	0.97325	0.9187	0.93075
EG4724	0.79801	0.91652	0.96911	0.82225	0.94784
EG4725	0.86053	0.91762	0.96384	0.89035	0.94942
EG4946	0.74376	0.83493	0.96872	0.76676	0.86104
GXW1	0.78001	0.8323	0.96264	0.80832	0.86251
JT11398	0.7913	0.86603	0.96657	0.82123	0.89427
JU1088	0.7729	0.84958	0.96644	0.79976	0.87973
JU1172	0.8065	0.88149	0.96511	0.83647	0.91412
JU1200	0.80821	0.87933	0.96556	0.83704	0.91068
JU1212	0.84984	0.91137	0.96732	0.88129	0.94179
JU1213	0.8196	0.89232	0.96856	0.84862	0.92334
JU1242	0.7693	0.86119	0.96468	0.79967	0.8943
JU1246	0.76217	0.85258	0.96951	0.78612	0.88035
JU1395	0.76563	0.87129	0.97054	0.78888	0.89742
JU1400	0.81119	0.91109	0.96722	0.83859	0.93876
JU1409	0.84018	0.90318	0.96597	0.87037	0.93374
JU1440	0.7474	0.8557	0.96325	0.77592	0.88991
JU1491	0.76889	0.86496	0.9674	0.7948	0.89075
JU1530	0.76672	0.84649	0.96623	0.79454	0.87715
JU1543	0.78204	0.85649	0.96656	0.80761	0.88366
JU1568	0.83303	0.91311	0.9744	0.85388	0.93602
JU1580	0.86858	0.88197	0.96112	0.90372	0.91547
JU1581	0.83365	0.87592	0.96023	0.86758	0.9122
JU1586	0.79924	0.89815	0.96495	0.82566	0.93005
JU1652	0.81329	0.89012	0.9685	0.8391	0.91695
JU1793	0.76815	0.86432	0.96602	0.79679	0.89301
JU1808	0.743	0.86196	0.96141	0.77353	0.89657
JU1896	0.8227	0.89822	0.96601	0.85285	0.92983
JU2001	0.70688	0.85476	0.96173	0.73166	0.89346
JU2007	0.773	0.88735	0.96747	0.7976	0.91765
JU2131	0.75823	0.8738	0.9645	0.78669	0.90446
JU2141	0.82065	0.88855	0.95779	0.85517	0.92724
JU2234	0.81585	0.87538	0.95692	0.85259	0.91438
JU2464	0.75346	0.83006	0.95444	0.78942	0.86999
JU2466	0.79516	0.87871	0.96496	0.82355	0.90984
