strain	cluster	mw	sw	clusterNorm	mwNorm
AB1	0.88383	0.88771	0.60897	1.7034	1.6667
BRC20067	0.81877	0.84693	0.61337	1.4955	1.5473
CB4852	0.71353	0.74454	0.52856	1.419	1.5251
CB4854	0.78861	0.80875	0.57396	1.5376	1.5767
CB4856	0.85761	0.82969	0.53294	1.7943	1.7135
CB4932	0.86212	0.83767	0.59091	1.6877	1.608
CX11254	0.7844	0.80055	0.55794	1.6023	1.6369
CX11262	0.83865	0.79981	0.55666	1.683	1.5839
CX11264	0.88728	0.85661	0.57563	1.7707	1.7385
CX11271	0.71784	0.79892	0.56757	1.466	1.5747
CX11276	0.80188	0.77515	0.57099	1.706	1.6492
CX11285	0.8029	0.77968	0.55594	1.6107	1.5815
CX11292	0.8362	0.79856	0.55834	1.6732	1.6467
CX11307	0.78574	0.83895	0.52825	1.6599	1.7689
CX11314	0.82531	0.82571	0.56988	1.6714	1.6479
CX11315	0.75401	0.81226	0.57384	1.4886	1.6035
DL200	0.80958	0.79545	0.56367	1.6292	1.6008
DL226	0.80072	0.81288	0.57423	1.5652	1.5894
DL238	0.86165	0.83142	0.55192	1.7804	1.6788
ECA246	0.66044	0.73436	0.56884	1.2886	1.3263
ECA248	0.87056	0.84514	0.54154	1.8549	1.7687
ECA250	0.86488	0.85026	0.54467	1.7826	1.7524
ECA251	0.8542	0.83235	0.5542	1.7834	1.6595
ECA252	0.52364	0.79387	0.54449	1.1162	1.6813
ECA259	0.80169	0.80102	0.53191	1.6534	1.6671
ECA348	0.64918	0.87	0.57004	1.3379	1.6654
ECA349	0.85805	0.86025	0.60828	1.564	1.5718
ECA36	0.78021	0.78112	0.53391	1.6554	1.6458
ECA363	0.62548	0.8076	0.55318	1.282	1.6394
ECA372	0.89935	0.84163	0.55204	1.823	1.706
ECA396	0.62585	0.74999	0.5321	1.3354	1.6003
ED3005	0.72108	0.80079	0.55453	1.4566	1.6165
ED3011	0.86082	0.80945	0.57092	1.6836	1.5969
ED3012	0.84226	0.82187	0.57072	1.6444	1.5981
ED3017	0.79874	0.78027	0.55152	1.5813	1.6053
ED3040	0.78656	0.78076	0.57197	1.5454	1.534
ED3046	0.9099	0.8803	0.58654	1.7468	1.7076
ED3048	0.80861	0.80303	0.57196	1.5816	1.5707
ED3049	0.84725	0.83262	0.61979	1.5863	1.5161
ED3052	0.80889	0.76843	0.56199	1.6225	1.5486
ED3073	0.79377	0.78652	0.59224	1.5636	1.5873
ED3077	0.85004	0.82466	0.58577	1.6657	1.6014
EG4347	0.83182	0.83701	0.60305	1.5827	1.6107
EG4349	0.74085	0.80215	0.60415	1.4059	1.5224
EG4724	0.80471	0.88238	0.59784	1.5319	1.6896
EG4725	0.76912	0.78905	0.56615	1.5589	1.5788
EG4946	0.85933	0.84513	0.56872	1.6889	1.6598
GXW1	0.87171	0.86633	0.58405	1.6379	1.5929
JT11398	0.82543	0.83609	0.56092	1.6762	1.6978
JU1088	0.86627	0.85139	0.58403	1.6523	1.6618
JU1172	0.74033	0.80193	0.57519	1.4431	1.538
JU1200	0.83802	0.82378	0.58533	1.6149	1.5854
JU1212	0.79717	0.81854	0.56482	1.5961	1.616
JU1213	0.76988	0.77409	0.57681	1.4808	1.4888
JU1242	0.84736	0.83253	0.54519	1.7455	1.7061
JU1246	0.89967	0.78945	0.56863	1.8295	1.6151
JU1395	0.83681	0.82857	0.59078	1.5979	1.5815
JU1400	0.87246	0.80536	0.58526	1.7126	1.581
JU1409	0.77625	0.7745	0.55346	1.5884	1.5848
JU1440	0.86799	0.84503	0.6167	1.6841	1.6339
JU1491	0.80868	0.80354	0.55683	1.6394	1.629
JU1530	0.90074	0.86638	0.5824	1.7594	1.6423
JU1543	0.89507	0.88768	0.57795	1.7638	1.731
JU1568	0.77454	0.81597	0.6134	1.4766	1.5559
JU1580	0.78583	0.77534	0.5369	1.6284	1.6186
JU1581	0.78141	0.78569	0.53077	1.6544	1.645
JU1586	0.7931	0.81871	0.55601	1.6096	1.6242
JU1652	0.87796	0.86238	0.59244	1.7046	1.6563
JU1793	0.83156	0.80509	0.59872	1.6472	1.6554
