strain	cluster	mw	sw	clusterNorm	mwNorm
AB1	0.74555	0.74714	0.52392	1.4294	1.3523
BRC20067	0.64718	0.64742	0.52768	1.1825	1.1833
CB4852	0.49737	0.52243	0.47602	0.99364	1.0776
CB4854	0.60517	0.62559	0.5065	1.18	1.2204
CB4856	0.69106	0.576	0.48118	1.4579	1.2233
CB4932	0.68455	0.66158	0.51358	1.3401	1.2882
CX11254	0.56415	0.56475	0.49368	1.1405	1.1518
CX11262	0.50012	0.52959	0.49831	0.99941	1.0344
CX11264	0.70021	0.65139	0.49757	1.341	1.2955
CX11271	0.50045	0.57639	0.49698	1.0221	1.1459
CX11276	0.5907	0.59466	0.48064	1.2567	1.2372
CX11285	0.63708	0.57092	0.49577	1.278	1.1333
CX11292	0.62187	0.67278	0.49976	1.2823	1.3441
CX11307	0.62463	0.64192	0.4681	1.3205	1.3286
CX11314	0.67173	0.61976	0.50229	1.3406	1.2309
CX11315	0.53773	0.56333	0.50659	1.0618	1.1122
DL200	0.62495	0.55438	0.49194	1.2577	1.1295
DL226	0.60654	0.63677	0.50858	1.1852	1.2609
DL238	0.67085	0.62972	0.48673	1.3912	1.2809
ECA246	0.54832	0.5807	0.51714	1.0718	1.1217
ECA248	0.71557	0.69588	0.47479	1.5247	1.4819
ECA250	0.6333	0.60278	0.48519	1.3052	1.2423
ECA251	0.69531	0.60759	0.49441	1.4411	1.2289
ECA252	0.34687	0.51044	0.46899	0.7392	1.1193
ECA259	0.57956	0.51146	0.48098	1.1973	1.0646
ECA348	0.47886	0.69887	0.50313	0.98686	1.3378
ECA349	0.674	0.66486	0.54675	1.2271	1.2055
ECA36	0.58773	0.5442	0.47664	1.2416	1.1418
ECA363	0.5191	0.66097	0.49238	1.0537	1.3433
ECA372	0.76704	0.61132	0.49334	1.5548	1.2202
ECA396	0.43611	0.4401	0.46866	0.93056	0.93908
ED3005	0.49886	0.58622	0.49588	1.0078	1.1847
ED3011	0.68442	0.64311	0.5069	1.337	1.2421
ED3012	0.6506	0.56007	0.5075	1.2658	1.088
ED3017	0.58096	0.49598	0.49718	1.1767	1.0313
ED3040	0.59814	0.56349	0.50428	1.175	1.1069
ED3046	0.76072	0.70074	0.5182	1.4604	1.3593
