strain	cluster	mw	sw	clusterNorm	mwNorm
AB1	45.5918	62.9176	150.6108	0.527	1.3164
BRC20067	53.2594	53.5029	105.9998	0.99809	1.2532
CB4852	60.9048	72.6258	149.8692	0.79251	0.99166
CB4854	59.1661	81.8525	211.1532	0.48598	0.66359
CB4856	63.2813	108.0373	192.3179	0.47465	0.81406
CB4932	54.9879	57.0602	186.7898	0.53216	0.75484
CX11254	64.5979	85.9991	167.6108	0.65474	0.90627
CX11262	100.0279	102.3628	176.5113	0.88654	1.0143
CX11264	45.7228	66.1582	152.8623	0.55484	0.85305
CX11271	66.5635	92.329	179.2262	0.58614	0.94421
CX11276	62.3146	85.7566	167.291	0.71151	0.97289
CX11285	72.9122	123.4113	185.3843	0.57497	0.95744
CX11292	57.6125	69.6135	181.7538	0.45988	0.57043
CX11307	63.4049	107.1474	161.0193	0.60808	0.89378
CX11314	55.037	95.4596	187.1383	0.51101	0.78676
CX11315	80.6517	114.2371	194.6471	0.63672	0.90419
DL200	48.849	66.6517	158.3762	0.94343	1.038
DL226	58.653	92.6705	207.6812	0.51983	0.74022
DL238	61.7257	76.5436	208.08	0.47203	0.70071
ECA246	58.8222	62.5369	84.7975	0.79357	1.117
ECA248	52.866	65.9783	168.1609	0.51766	0.64605
ECA250	71.9388	79.0451	191.7817	0.67084	0.73711
ECA251	55.6693	81.26	191.0451	0.5584	0.83265
ECA252	62.0133	45.178	47.6371	4.2482	3.4251
ECA259	75.5443	137.2642	228.4708	0.47644	0.89244
ECA348	61.9641	97.4682	201.5669	0.38949	0.85068
ECA349	47.2801	72.9098	174.9095	0.58341	0.8904
ECA36	72.1176	145.5241	223.8491	0.48005	0.96841
ECA363	65.872	111.5549	212.1999	0.44627	0.77003
ECA372	62.6904	93.6942	181.4628	0.53742	0.83542
ECA396	65.8041	123.8429	191.9007	0.71876	1.3446
ED3005	76.1955	84.1463	194.2845	0.66502	0.74423
ED3011	56.6119	66.7544	183.3728	0.56553	0.73748
ED3012	64.7615	102.7656	178.3568	0.55476	0.88328
ED3017	66.3628	108.9793	189.641	0.704	1.1117
ED3040	64.0839	88.2742	211.4055	0.49102	0.6803
ED3046	42.4379	37.9626	107.9681	1.2672	1.2287
ED3048	68.4503	106.2179	182.842	0.78579	1.0447
