strain	cluster	mw	sw	clusterNorm	mwNorm
AB1	18.4459	21.2134	86.5113	0.21821	0.47338
BRC20067	22.6631	22.3217	42.5797	0.41736	0.64737
CB4852	27.3756	22.7401	85.5295	0.25423	0.34227
CB4854	25.3516	27.5515	124.8854	0.21225	0.23432
CB4856	25.663	37.0567	140.8314	0.18823	0.30081
CB4932	23.5169	18.9831	95.7905	0.21847	0.27366
CX11254	23.2384	35.2149	101.5308	0.22838	0.32925
CX11262	40.9547	47.4424	112.83	0.36298	0.40565
CX11264	19.277	23.5783	82.8069	0.22855	0.30606
CX11271	25.9038	25.9098	109.6568	0.2281	0.30392
CX11276	26.044	43.2251	89.2009	0.3402	0.48458
CX11285	35.4637	34.6724	112.6439	0.29718	0.34898
CX11292	24.0847	26.6999	125.2767	0.19225	0.23825
CX11307	29.334	44.5145	104.027	0.27424	0.37132
CX11314	24.7473	26.0624	126.4829	0.21384	0.2743
CX11315	25.1129	37.4875	124.7209	0.20179	0.29604
DL200	20.1637	24.4224	49.5619	0.34004	0.37049
DL226	29.4303	33.3029	121.4085	0.23035	0.27647
DL238	24.5827	21.4318	124.1902	0.17494	0.19599
ECA246	38.1757	34.9504	59.3684	0.52569	0.6882
ECA248	20.1466	23.4181	102.1257	0.20521	0.22931
ECA250	25.4859	25.0715	107.2364	0.23766	0.2338
ECA251	22.7738	26.5878	95.6293	0.22554	0.25909
ECA252	15.7381	15.3148	14.7743	1.0799	1.0386
ECA259	34.7633	47.5865	160.0626	0.21626	0.30998
ECA348	29.7146	31.441	150.4808	0.18678	0.5418
ECA349	19.7047	23.5345	82.5613	0.26657	0.29715
ECA36	32.9535	45.101	156.0538	0.21258	0.29967
ECA363	36.9027	41.1492	138.8882	0.25676	0.29432
ECA372	28.4572	34.4721	97.0582	0.20491	0.31387
ECA396	30.8384	35.5856	93.4154	0.342	0.38191
ED3005	32.3922	30.0705	119.3357	0.28602	0.2669
ED3011	25.885	25.585	97.6518	0.26577	0.28262
ED3012	27.8448	37.9416	118.5976	0.23349	0.32709
ED3017	27.4305	37.7836	106.1153	0.2966	0.39841
ED3040	28.2994	28.7914	126.5002	0.21707	0.22815
ED3046	15.1927	12.7113	30.2844	0.4643	0.41142
ED3048	30.2976	35.7236	112.7317	0.32785	0.37408
ED3049	24.9737	25.7619	90.5636	0.24173	0.275
ED3052	28.1368	46.9293	120.0946	0.23422	0.39898
ED3073	22.8538	19.7281	69.0433	0.33072	0.34918
ED3077	24.0912	24.285	70.4387	0.36367	0.34477
EG4347	18.0996	22.4344	88.8878	0.1901	0.23768
EG4349	22.8813	24.6605	79.8245	0.28733	0.30922
EG4724	17.3358	18.6095	64.2285	0.29507	0.31597
EG4725	25.1032	23.4	92.3801	0.34569	0.31665
EG4946	21.0664	22.8305	138.1947	0.15829	0.19787
GXW1	22.9524	25.3368	80.0216	0.29953	0.29249
JT11398	24.7775	30.5249	104.3184	0.20795	0.25914
JU1088	23.2545	25.3455	69.3395	0.34083	0.3903
JU1172	25.3316	42.0417	106.4011	0.25724	0.40416
JU1200	26.635	27.5277	107.2954	0.2436	0.31165
JU1212	25.1075	22.789	88.4162	0.24265	0.24177
JU1213	29.1055	32.7107	120.8606	0.24082	0.24722
JU1242	22.4829	27.1648	109.4045	0.19635	0.23916
JU1246	16.8406	26.8516	111.3832	0.14898	0.22725
JU1395	22.7833	23.7102	117.8016	0.21064	0.23359
JU1400	63.965	51.4133	65.5869	0.94897	0.80994
JU1409	29.1954	38.7303	141.2731	0.21805	0.30263
JU1440	18.8846	17.7595	40.5443	1.0061	0.45216
JU1491	25.9543	25.5065	84.3501	0.3077	0.32244
JU1530	23.2374	33.2507	126.8022	0.1961	0.27224
JU1543	20.7922	25.1465	84.6581	0.23143	0.25749
