strain	median
AB1	-0.54703
BRC20067	-1.3731
CB4852	-1.1504
CB4854	-2.5843
CB4856	-2.4989
CB4932	-1.9436
CX11254	-0.98735
CX11262	-0.23702
CX11264	-0.60338
CX11271	-3.2941
CX11276	-1.0398
CX11285	-1.867
CX11292	-2.6571
CX11307	-1.7594
CX11314	-1.1491
CX11315	-0.87805
DL200	-0.66254
DL226	-1.0232
DL238	-0.97148
ECA246	-0.76521
ECA248	-3.2931
ECA250	-1.9943
ECA251	-1.5955
ECA252	-0.42671
ECA259	-1.3344
ECA348	1.1168
ECA349	-1.0164
ECA36	-6.8232
ECA363	-1.8585
ECA372	-1.5689
ECA396	-2.5057
ED3005	-1.4296
ED3011	-2.0258
ED3012	-2.4806
ED3017	-1.2423
ED3040	-2.2278
ED3046	-1.0591
ED3048	-2.517
ED3049	-1.6907
ED3052	-2.5931
ED3073	-0.091494
ED3077	-2.4563
EG4347	-1.6834
EG4349	-0.93415
EG4724	-1.8164
EG4725	-1.371
EG4946	-1.4799
GXW1	-3.0536
JT11398	-1.0717
JU1088	-1.3057
JU1172	-3.12
JU1200	-1.9845
JU1212	-1.8431
JU1213	-2.6881
JU1242	-2.332
JU1246	-4.1108
JU1395	-2.0009
JU1400	-0.81735
JU1409	-2.1609
JU1440	-1.2199
JU1491	-1.5996
JU1530	-0.51272
JU1543	-1.2672
JU1568	-0.27498
JU1580	-1.9022
JU1581	-1.8495
JU1586	-2.6493
JU1652	-1.2933
JU1793	-0.82122
JU1808	-1.6375
JU1896	-2.4273
JU2001	-1.7095
JU2007	-1.8229
JU2131	-1.3632
JU2141	0.73431
JU2234	0.29049
JU2464	-1.4262
JU2466	-1.2593
JU2513	-2.2405
JU2519	-1.4613
JU2522	-1.3221
JU2526	-2.5947
JU2534	-0.54216
JU2565	-0.90926
JU2566	-1.8365
JU2578	-4.1742
JU258	-1.6606
JU2587	-1.5164
JU2593	-2.2221
JU2600	0.071817
JU2800	-3.3283
JU2862	-2.9621
JU2866	-1.2214
JU2878	-6.2358
JU2879	-2.0264
JU2906	-0.88059
JU310	-1.7451
JU311	-0.90667
JU3125	-0.49862
JU3127	-1.7822
JU3134	-3.0094
JU3135	-1.6142
JU3137	-0.79192
JU3140	-0.64292
JU323	-1.1778
JU346	-1.4728
JU360	-3.0986
JU367	-0.76289
JU393	-0.60082
JU394	-3.0154
JU397	-1.3779
JU406	-1.4576
JU440	-1.4932
JU561	-2.0131
JU642	-2.7555
JU751	0.18337
JU774	-1.9569
JU775	-0.77091
JU778	-2.2788
JU782	-0.73743
JU792	-0.28623
JU830	-0.773
JU847	-1.4419
KR314	0.27683
LKC34	-3.1957
LSJ1	-0.47004
MY1	-1.5488
MY10	-0.96611
MY16	-0.97234
MY18	-1.8984
MY2212	-2.6732
MY23	-2.0268
MY2453	0.15066
MY2530	-1.6171
MY2535	-2.1363
MY2573	-1.5913
MY2693	-0.94951
MY2741	-1.7249
MY679	-2.1562
MY920	-2.4086
N2	-0.22621
NIC1	-1.8309
NIC1107	-0.55787
NIC166	-2.116
NIC195	-2.8008
NIC199	-1.9595
NIC2	-2.4464
NIC207	-2.514
NIC231	-2.147
NIC236	-2.8171
NIC242	-1.5506
NIC251	-2.2556
NIC252	-2.1936
NIC255	-1.8819
NIC256	-2.0242
NIC258	-1.2474
NIC259	-3.0252
NIC260	-1.0746
NIC261	-2.175
NIC262	-1.4835
NIC265	-1.7609
NIC266	-1.836
NIC267	-3.7776
NIC268	-2.7203
NIC269	-1.2214
NIC271	-0.94346
NIC272	-2.4032
NIC274	-1.7315
NIC275	-1.4702
NIC276	-3.7805
NIC277	-3.2494
NIC3	-0.82288
NIC513	-4.0059
NIC514	-2.0032
NIC522	-0.93794
NIC523	-1.3773
PB303	-1.1722
PS2025	-1.1364
PX179	-2.3551
QG2075	-2.7252
QG536	-2.4431
QG556	-1.1298
QG557	-2.2134
QW947	-2.5116
QX1212	-0.72464
QX1233	-2.2448
QX1791	-1.4402
QX1792	-1.8585
QX1793	-1.2226
QX1794	-1.699
RC301	-1.8618
WN2001	-1.6549
WN2002	-1.5509
WN2033	-1.6388
XZ1513	-0.92817
XZ1514	0.0053864
XZ1516	-0.029921
