strain	median
AB1	-0.59071
BRC20067	-0.1249
CB4852	-0.36553
CB4854	-0.65618
CB4856	-0.54619
CB4932	-0.16168
CX11254	-0.45874
CX11262	-0.41297
CX11264	-0.76329
CX11271	-0.71542
CX11276	-0.6544
CX11285	-0.45208
CX11292	-0.91889
CX11307	-0.70227
CX11314	-0.36437
CX11315	-0.61936
DL200	0.052512
DL226	-0.59807
DL238	-0.17286
ECA246	-0.39242
ECA248	-0.72491
ECA250	-0.374
ECA251	-0.36585
ECA252	-0.18988
ECA259	-0.89062
ECA348	-0.20261
ECA349	-0.29629
ECA36	-0.52054
ECA363	-0.54984
ECA372	-0.46529
ECA396	-0.75092
ED3005	-0.56671
ED3011	-0.44445
ED3012	-0.64825
ED3017	-1.0038
ED3040	-0.29996
ED3046	-0.59118
ED3048	-0.67559
ED3049	-0.36236
ED3052	-0.76278
ED3073	-0.1281
ED3077	-0.36924
EG4347	-0.46471
EG4349	-0.70571
EG4724	-0.22666
EG4725	-0.53073
EG4946	-0.78576
GXW1	-0.69503
JT11398	-0.19964
JU1088	-0.63641
JU1172	-0.73664
JU1200	-0.42617
JU1212	-0.7004
JU1213	-0.39476
JU1242	-0.56547
JU1246	-0.49005
JU1395	-0.62007
JU1400	-0.4244
JU1409	-0.23385
JU1440	-0.27486
JU1491	-0.70087
JU1530	-0.77156
JU1543	-0.1978
JU1568	-0.16999
JU1580	-0.49549
JU1581	-0.60527
JU1586	-0.69941
JU1652	-0.30764
JU1793	-0.89566
JU1808	-0.75915
JU1896	-0.39385
JU2001	-0.53692
JU2007	-0.27545
JU2131	-0.55696
JU2141	-0.48042
JU2234	-0.21409
JU2464	-0.22171
JU2466	-0.16463
JU2513	-0.94725
JU2519	-0.157
JU2522	-0.67464
JU2526	-0.50445
JU2534	-0.63504
JU2565	-0.36759
JU2566	-0.066566
JU2578	-1.3495
JU258	-0.19245
JU2587	-0.38405
JU2593	-0.45425
JU2600	-0.33634
JU2800	-1.1257
JU2862	-1.1105
JU2866	-0.92256
JU2878	-0.37654
JU2879	-0.63971
JU2906	-0.98229
JU310	-0.17538
JU311	-0.55024
JU3125	-0.048113
JU3127	-0.51986
JU3134	-0.9882
JU3135	-0.42718
JU3137	-0.80857
JU3140	-0.13013
JU323	-0.42071
JU346	-0.066739
JU360	-1.216
JU367	-0.28252
JU393	-0.489
JU394	-0.35721
JU397	-0.79147
JU406	-0.37377
JU440	-0.46266
JU561	-0.40153
JU642	-0.71875
JU751	0.16283
JU774	-0.34996
JU775	-0.4126
JU778	-0.55589
JU782	-0.3857
JU792	-0.30758
JU830	-0.6737
JU847	-0.35683
KR314	-0.15665
LKC34	-0.5995
LSJ1	0.0072658
MY1	-0.41133
MY10	-0.78477
MY16	-0.26898
MY18	-0.52312
MY2212	-1.2364
MY23	-0.32495
MY2453	-0.45357
MY2530	-0.36086
MY2535	-0.77626
MY2573	-0.5013
MY2693	-0.37921
MY2741	-0.56248
MY679	-0.46712
MY920	-0.81462
N2	-0.031981
NIC1	-0.51768
NIC1107	-0.4195
NIC166	-0.28776
NIC195	-0.7185
NIC199	-0.45313
NIC2	-0.71899
NIC207	0.018728
NIC231	-0.72577
NIC236	-0.59062
NIC242	-0.36503
NIC251	-0.43664
NIC252	-0.24962
NIC255	-0.62829
NIC256	-0.70801
NIC258	-0.097859
NIC259	-0.16527
NIC260	-0.21827
NIC261	-0.46651
NIC262	-0.48096
NIC265	-0.54942
NIC266	-0.25401
NIC267	-0.79117
NIC268	-0.13882
NIC269	-0.067413
NIC271	-0.3247
NIC272	-0.48158
NIC274	-0.37985
NIC275	-0.45394
NIC276	-0.77929
NIC277	-0.71614
NIC3	-0.31235
NIC513	-0.44574
NIC514	-0.30162
NIC522	-0.67893
NIC523	-0.25046
PB303	-0.38022
PS2025	0.010365
PX179	-0.56632
QG2075	-0.29116
QG536	-0.51184
QG556	-0.58865
QG557	-0.65316
QW947	-0.65665
QX1212	-0.23615
QX1233	-0.52752
QX1791	-0.48082
QX1792	-0.47488
QX1793	-0.26238
QX1794	-0.25285
RC301	-0.3997
WN2001	-0.37896
WN2002	-0.31667
WN2033	-0.11132
XZ1513	-0.24154
XZ1514	0.17937
XZ1516	-0.20761
