strain	median
AB1	-0.0083047
BRC20067	-0.012836
CB4852	-0.0067238
CB4854	-0.019872
CB4856	0.00057192
CB4932	-0.021853
CX11254	-0.0037687
CX11262	0.010675
CX11264	0.0049836
CX11271	-0.0060058
CX11276	-0.0069173
CX11285	2.5341e-05
CX11292	-0.018228
CX11307	0.00093223
CX11314	-0.011835
CX11315	-0.003433
DL200	0.0038149
DL226	0.0053831
DL238	-0.0013078
ECA246	-0.010087
ECA248	-0.022555
ECA250	-0.0056985
ECA251	-0.01831
ECA252	-0.009405
ECA259	0.0060247
ECA348	0.0020905
ECA349	-0.0099578
ECA36	0.0061695
ECA363	0.0042049
ECA372	-0.0052414
ECA396	-0.0029158
ED3005	-0.020853
ED3011	-0.0031487
ED3012	-0.0073728
ED3017	-0.0032163
ED3040	-0.016221
ED3046	-0.018244
ED3048	-0.0079533
ED3049	-0.0085663
ED3052	-0.010656
ED3073	-0.018022
ED3077	-0.018201
EG4347	-0.01889
EG4349	-0.017596
EG4724	-0.016472
EG4725	-0.0071957
EG4946	-0.0126
GXW1	-0.013423
JT11398	-0.026547
JU1088	-0.017846
JU1172	-0.0018926
JU1200	-0.0056681
JU1212	-0.01088
JU1213	-0.019272
JU1242	-0.014929
JU1246	-0.0026062
JU1395	-0.017309
JU1400	-0.012125
JU1409	-0.0043242
JU1440	-0.017787
JU1491	-0.014151
JU1530	-0.011288
JU1543	-0.0031227
JU1568	-0.014019
JU1580	-0.0039977
JU1581	-0.0017285
JU1586	-0.009145
JU1652	0.0030172
JU1793	-0.00033188
JU1808	-0.011842
JU1896	-0.010171
JU2001	-0.0091455
JU2007	-0.0097305
JU2131	-0.0078857
JU2141	-0.0039434
JU2234	0.0018403
JU2464	-0.023834
JU2466	-0.013949
JU2513	-0.015983
JU2519	0.0035978
JU2522	-0.0077627
JU2526	-0.0055231
JU2534	-0.0023773
JU2565	-0.004222
JU2566	-0.0078696
JU2578	-0.030784
JU258	-0.002084
JU2587	-0.014082
JU2593	-0.0052609
JU2600	0.00091589
JU2800	-0.0078019
JU2862	-0.0070305
JU2866	0.013177
JU2878	-0.0078239
JU2879	0.010939
JU2906	0.0015774
JU310	-0.012165
JU311	-0.00219
JU3125	0.0025603
JU3127	-0.0071403
JU3134	-0.016551
JU3135	-0.0046148
JU3137	-0.0010245
JU3140	-0.015357
JU323	-0.013742
JU346	-0.0045416
JU360	-0.0061018
JU367	-0.011974
JU393	-0.0086644
JU394	-0.017952
JU397	0.0060219
JU406	-0.015779
JU440	-0.0051242
JU561	-0.0035496
JU642	0.0034215
JU751	0.0023872
JU774	0.0029154
JU775	-0.012394
JU778	-0.0056138
JU782	-0.013822
JU792	0.0027486
JU830	-0.013982
JU847	-1.4912e-05
KR314	-0.0031638
LKC34	-0.014482
LSJ1	-0.0020695
MY1	-0.01383
MY10	0.0007115
MY16	9.5345e-05
MY18	-0.0049671
MY2212	-0.012851
MY23	-0.003281
MY2453	-0.0020242
MY2530	-0.0072673
MY2535	-0.0063538
MY2573	-0.010887
MY2693	-0.0098038
MY2741	-0.009844
MY679	-0.010173
MY920	-0.01019
N2	-0.0076784
NIC1	-0.0085647
NIC1107	0.0001106
NIC166	-0.0065039
NIC195	0.0056601
NIC199	0.0013299
NIC2	-0.014789
NIC207	-0.0055059
NIC231	-0.0021937
NIC236	-0.0086914
NIC242	-0.019628
NIC251	-0.011814
NIC252	-0.0060941
NIC255	-0.0017083
NIC256	-0.011214
NIC258	0.0016465
NIC259	0.001846
NIC260	-0.0055853
NIC261	-0.00018463
NIC262	-0.0011751
NIC265	-0.014729
NIC266	-0.0056939
NIC267	-0.021577
NIC268	0.0045096
NIC269	0.0032763
NIC271	-0.0062097
NIC272	-0.018999
NIC274	-0.0039657
NIC275	-0.0090756
NIC276	-0.014225
NIC277	-0.0044393
NIC3	-0.0056749
NIC513	-0.0052933
NIC514	-0.0032691
NIC522	-0.012614
NIC523	-0.015401
PB303	-0.0047867
PS2025	0.0042346
PX179	-0.0090966
QG2075	-0.0025808
QG536	-0.007562
QG556	0.0070726
QG557	0.0027561
QW947	-0.013936
QX1212	-0.011517
QX1233	-0.0064719
QX1791	0.0029007
QX1792	-0.010846
QX1793	-0.019625
QX1794	-0.020325
RC301	-0.012749
WN2001	-0.0075088
WN2002	-0.0054076
WN2033	0.00095144
XZ1513	0.0037767
XZ1514	-0.0031112
XZ1516	0.0038961
