strain	median
AB1	-0.10254
BRC20067	-0.1806
CB4852	0.0040478
CB4854	-0.17319
CB4856	-0.14245
CB4932	-0.21638
CX11254	-0.037394
CX11262	-0.053947
CX11264	-0.076765
CX11271	-0.12043
CX11276	-0.095099
CX11285	-0.13224
CX11292	-0.17371
CX11307	-0.076511
CX11314	-0.12523
CX11315	-0.047377
DL200	-0.16806
DL226	-0.17126
DL238	-0.10521
ECA246	-0.098535
ECA248	-0.11451
ECA250	-0.15145
ECA251	-0.16096
ECA252	-0.084781
ECA259	-0.082812
ECA348	0.075433
ECA349	-0.080506
ECA36	-0.15809
ECA363	-0.12995
ECA372	-0.12336
ECA396	-0.16814
ED3005	-0.14099
ED3011	-0.13399
ED3012	-0.14521
ED3017	-0.15877
ED3040	-0.22365
ED3046	-0.1725
ED3048	-0.15396
ED3049	-0.1005
ED3052	-0.15416
ED3073	-0.14388
ED3077	-0.25801
EG4347	-0.21723
EG4349	-0.17595
EG4724	-0.13998
EG4725	-0.1353
EG4946	-0.16059
GXW1	-0.25192
JT11398	-0.15201
JU1088	-0.10766
JU1172	-0.086234
JU1200	-0.1455
JU1212	-0.11233
JU1213	-0.17145
JU1242	-0.12573
JU1246	-0.17178
JU1395	-0.14566
JU1400	-0.043804
JU1409	-0.081321
JU1440	-0.20859
JU1491	-0.13293
JU1530	-0.10636
JU1543	-0.16596
JU1568	-0.18121
JU1580	-0.14321
JU1581	-0.12431
JU1586	-0.15985
JU1652	-0.079308
JU1793	-0.1004
JU1808	-0.18173
JU1896	-0.14273
JU2001	-0.17774
JU2007	-0.16387
JU2131	-0.13059
JU2141	-0.039882
JU2234	-0.1299
JU2464	-0.16151
JU2466	-0.22867
JU2513	-0.1286
JU2519	-0.20565
JU2522	-0.15708
JU2526	-0.2308
JU2534	-0.13909
JU2565	-0.10032
JU2566	-0.099441
JU2578	-0.15263
JU258	-0.13781
JU2587	-0.23455
JU2593	-0.14772
JU2600	-0.10882
JU2800	-0.15876
JU2862	-0.14027
JU2866	-0.051863
JU2878	-0.18572
JU2879	-0.15512
JU2906	-0.082246
JU310	-0.15171
JU311	-0.081501
JU3125	-0.10643
JU3127	-0.041897
JU3134	-0.16568
JU3135	-0.22642
JU3137	-0.11672
JU3140	-0.054316
JU323	-0.14036
JU346	-0.11847
JU360	-0.13557
JU367	-0.13999
JU393	-0.15407
JU394	-0.16309
JU397	-0.11918
JU406	-0.11931
JU440	-0.08958
JU561	-0.1825
JU642	-0.13707
JU751	-0.18069
JU774	-0.064388
JU775	-0.13358
JU778	-0.17505
JU782	-0.17011
JU792	-0.093237
JU830	-0.21163
JU847	-0.1548
KR314	-0.13175
LKC34	-0.21698
LSJ1	-0.11316
MY1	-0.15438
MY10	-0.13079
MY16	-0.23826
MY18	-0.1919
MY2212	-0.11228
MY23	-0.1264
MY2453	-0.13173
MY2530	-0.20227
MY2535	-0.083339
MY2573	-0.1009
MY2693	-0.10168
MY2741	-0.11815
MY679	-0.048425
MY920	0.0039253
N2	-0.025013
NIC1	-0.22668
NIC1107	-0.00048804
NIC166	-0.14893
NIC195	-0.15279
NIC199	-0.060312
NIC2	-0.1592
NIC207	-0.1249
NIC231	-0.15796
NIC236	-0.17168
NIC242	-0.16299
NIC251	-0.2029
NIC252	-0.15055
NIC255	-0.16337
NIC256	-0.22283
NIC258	-0.15577
NIC259	-0.18392
NIC260	-0.12783
NIC261	-0.094244
NIC262	-0.10885
NIC265	-0.16753
NIC266	0.0011823
NIC267	-0.14762
NIC268	-0.1921
NIC269	-0.07615
NIC271	-0.08904
NIC272	-0.22422
NIC274	-0.069212
NIC275	-0.10489
NIC276	-0.18538
NIC277	-0.15463
NIC3	-0.20508
NIC513	-0.17893
NIC514	-0.11583
NIC522	-0.16348
NIC523	-0.097095
PB303	-0.075306
PS2025	-0.066452
PX179	-0.098044
QG2075	-0.12358
QG536	-0.18668
QG556	-0.063863
QG557	-0.083732
QW947	-0.060444
QX1212	-0.13671
QX1233	-0.12898
QX1791	-0.078897
QX1792	-0.16108
QX1793	-0.10056
QX1794	-0.11398
RC301	-0.1889
WN2001	-0.19136
WN2002	-0.15054
WN2033	-0.12488
XZ1513	0.006175
XZ1514	0.035607
XZ1516	-0.1198
