strain	median
AB1	0.003981
BRC20067	0.0076851
CB4852	0.0065265
CB4854	0.0096701
CB4856	0.0065983
CB4932	0.0052657
CX11254	0.0019979
CX11262	0.0024554
CX11264	0.0058372
CX11271	0.0070184
CX11276	0.0078183
CX11285	0.0056311
CX11292	0.0062584
CX11307	0.0039931
CX11314	0.0068364
CX11315	0.0042419
DL200	0.0061576
DL226	0.0069453
DL238	0.0074009
ECA246	0.003997
ECA248	0.0077403
ECA250	0.0098289
ECA251	0.0099009
ECA252	0.0057628
ECA259	0.0070517
ECA348	-0.0020742
ECA349	0.0037659
ECA36	0.0090788
ECA363	0.0058725
ECA372	0.0085419
ECA396	0.008236
ED3005	0.0089862
ED3011	0.0070993
ED3012	0.0089455
ED3017	0.010201
ED3040	0.011121
ED3046	0.0052866
ED3048	0.011231
ED3049	0.0088665
ED3052	0.013128
ED3073	0.0065828
ED3077	0.0099722
EG4347	0.0098164
EG4349	0.0041084
EG4724	0.0037442
EG4725	0.0066485
EG4946	0.0039732
GXW1	0.006911
JT11398	0.0083058
JU1088	0.0089973
JU1172	0.0040228
JU1200	0.0079355
JU1212	0.0063306
JU1213	0.0088417
JU1242	0.0064051
JU1246	0.008962
JU1395	0.0057662
JU1400	0.0040271
JU1409	0.0082163
JU1440	0.0051304
JU1491	0.0083829
JU1530	0.0067436
JU1543	0.0038616
JU1568	0.0069771
JU1580	0.0053042
JU1581	0.012218
JU1586	0.0082525
JU1652	0.0040121
JU1793	0.0023143
JU1808	0.0046111
JU1896	0.0045624
JU2001	0.0031198
JU2007	0.0070076
JU2131	0.0043793
JU2141	0.005928
JU2234	0.0059653
JU2464	0.0036588
JU2466	0.0074019
JU2513	0.0094732
JU2519	0.0058857
JU2522	0.0061069
JU2526	0.010773
JU2534	0.0056655
JU2565	0.0050628
JU2566	0.0050406
JU2578	0.0057905
JU258	0.0067005
JU2587	0.0053594
JU2593	0.0083119
JU2600	0.0092761
JU2800	0.0064328
JU2862	0.0083467
JU2866	0.0039063
JU2878	0.011448
JU2879	0.0099497
JU2906	0.005372
JU310	0.0011308
JU311	0.0087321
JU3125	0.0096186
JU3127	0.0042106
JU3134	0.0059889
JU3135	0.0080089
JU3137	0.0054144
JU3140	0.0050258
JU323	0.0080129
JU346	0.0054105
JU360	0.010193
JU367	0.007642
JU393	0.0091648
JU394	0.0059527
JU397	0.0045322
JU406	0.0072163
JU440	0.005371
JU561	0.0093476
JU642	0.0075101
JU751	0.0072923
JU774	0.0085172
JU775	0.007001
JU778	0.0076373
JU782	0.0090827
JU792	0.0062642
JU830	0.0072597
JU847	0.0071365
KR314	0.0068231
LKC34	0.0082101
LSJ1	0.005874
MY1	0.0075129
MY10	0.0010393
MY16	0.013149
MY18	0.0073367
MY2212	0.0034626
MY23	0.013664
MY2453	0.0073366
MY2530	0.0042052
MY2535	0.0069647
MY2573	0.0032025
MY2693	0.0053295
MY2741	0.0066049
MY679	0.0031567
MY920	0.0037093
N2	0.0059646
NIC1	0.0075326
NIC1107	0.0014156
NIC166	0.0087905
NIC195	0.01585
NIC199	0.0066545
NIC2	0.014524
NIC207	0.010759
NIC231	0.0091379
NIC236	0.011259
NIC242	0.010475
NIC251	0.0062437
NIC252	0.011034
NIC255	0.0069383
NIC256	0.010739
NIC258	0.0070513
NIC259	0.012115
NIC260	0.0048351
NIC261	0.0094659
NIC262	0.004816
NIC265	0.006257
NIC266	0.0080295
NIC267	0.0091113
NIC268	0.013273
NIC269	0.0069882
NIC271	0.0088462
NIC272	0.0065833
NIC274	0.0065513
NIC275	0.0033673
NIC276	0.010583
NIC277	0.011496
NIC3	0.0086654
NIC513	0.0057199
NIC514	0.0068311
NIC522	0.0082846
NIC523	0.0066671
PB303	0.0054815
PS2025	0.002155
PX179	0.0047232
QG2075	0.0021463
QG536	0.011974
QG556	0.0047218
QG557	0.0055285
QW947	0.0093963
QX1212	0.0029
QX1233	0.0051285
QX1791	0.0073276
QX1792	0.0070991
QX1793	0.0024395
QX1794	0.0079822
RC301	0.0065016
WN2001	0.010333
WN2002	0.0058115
WN2033	0.0088756
XZ1513	0.0016094
XZ1514	7.5749e-05
XZ1516	0.0070493
