strain	median
AB1	-10.38
BRC20067	-13.92
CB4852	-7.56
CB4854	-12.6
CB4856	-16.16
CB4932	-14.94
CX11254	-10.4
CX11262	-8.84
CX11264	-27.88
CX11271	-8.84
CX11276	-8.96
CX11285	-12.52
CX11292	-3.96
CX11307	-19.94
CX11314	-7.72
CX11315	-16.56
DL200	-26.18
DL226	-26.9
DL238	-13.15
ECA246	-40.66
ECA248	-3.1
ECA250	-7.36
ECA251	-7.28
ECA252	-26.96
ECA259	-23.4
ECA348	-38
ECA349	-19.5
ECA36	-33.02
ECA363	-11.92
ECA372	-16.12
ECA396	-11.44
ED3005	-14.68
ED3011	-36.76
ED3012	-20.16
ED3017	-10.96
ED3040	-4.03
ED3046	-7.92
ED3048	-7.02
ED3049	-3.24
ED3052	-10.04
ED3073	-9.08
ED3077	-16.88
EG4347	-14.68
EG4349	-6.16
EG4724	-27.4
EG4725	-8.89
EG4946	-8.96
GXW1	-51.46
JT11398	-6.76
JU1088	-6.12
JU1172	-37.4
JU1200	-9.72
JU1212	-6.88
JU1213	-12.92
JU1242	-8.3
JU1246	-20.52
JU1395	-16.68
JU1400	-8.36
JU1409	-6.2
JU1440	-10.74
JU1491	-6.76
JU1530	-9.98
JU1543	-15.56
JU1568	-10.12
JU1580	-8.8
JU1581	-9.12
JU1586	-4.7
JU1652	-21.2
JU1793	-16.74
JU1808	-17.02
JU1896	-15.34
JU2001	-11.08
JU2007	-3.28
JU2131	-12.86
JU2141	-15.68
JU2234	-13.9
JU2464	-6.94
JU2466	-11.52
JU2513	-10.16
JU2519	-30.9
JU2522	-10.18
JU2526	-8.42
JU2534	-13.84
JU2565	-13.5
JU2566	-32.84
JU2578	-13.68
JU258	-15.77
JU2587	-6.76
JU2593	-24.08
JU2600	-20.72
JU2800	-9
JU2862	-11
JU2866	-56.04
JU2878	-9.72
JU2879	-18.12
JU2906	-14.4
JU310	-9.24
JU311	-32.37
JU3125	-44.04
JU3127	-9.58
JU3134	-16.92
JU3135	-17.98
JU3137	-23.2
JU3140	-27.36
JU323	-8.54
JU346	-10.32
JU360	-13.56
JU367	-1.78
JU393	-11.76
JU394	-3.6
JU397	-28.98
JU406	-18.76
JU440	-11.96
JU561	-10.26
JU642	-30.2
JU751	-11.14
JU774	-16.28
JU775	-11.54
JU778	-12.54
JU782	-2.68
JU792	-8.36
JU830	-10.36
JU847	-27
KR314	-6
LKC34	-10.76
LSJ1	-4.9
MY1	-23.24
MY10	-21.52
MY16	-17.32
MY18	-17.58
MY2212	-8.44
MY23	-19.14
MY2453	-13.38
MY2530	-19.36
MY2535	-9.48
MY2573	-20.08
MY2693	-14.66
MY2741	-5.64
MY679	-25.7
MY920	-14.16
N2	-8.54
NIC1	-13.88
NIC1107	-31.56
NIC166	-28.42
NIC195	-20.2
NIC199	-7.24
NIC2	-6.4
NIC207	-18.08
NIC231	-7.84
NIC236	-43.12
NIC242	-12.8
NIC251	-5.28
NIC252	-6.98
NIC255	-9.68
NIC256	-4.25
NIC258	-5.8
NIC259	-14.58
NIC260	-21.18
NIC261	-1.72
NIC262	-3.22
NIC265	-5.68
NIC266	-10.3
NIC267	-39.08
NIC268	-23.8
NIC269	-16.68
NIC271	-10.4
NIC272	-5.64
NIC274	-14.56
NIC275	-10.51
NIC276	-6.28
NIC277	-8.13
NIC3	-16.56
NIC513	-14.12
NIC514	-7.42
NIC522	-10.33
NIC523	-10.88
PB303	-11.6
PS2025	-11.3
PX179	-19.58
QG2075	-4.79
QG536	-35.58
QG556	-16.28
QG557	-23.48
QW947	-23.36
QX1212	-12.78
QX1233	-17.96
QX1791	-17.02
QX1792	-8.32
QX1793	-12.28
QX1794	-8.6
RC301	-9.48
WN2001	-5.58
WN2002	-5.98
WN2033	-8.58
XZ1513	-51.86
XZ1514	-19.58
XZ1516	-12.56
