strain	median
AB1	1354.386
BRC20067	1165.391
CB4852	1069.117
CB4854	905.269
CB4856	510.1219
CB4932	955.9798
CX11254	396.9849
CX11262	84.8529
CX11264	496.5685
CX11271	352.1321
CX11276	954.386
CX11285	257.4874
CX11292	1229.5332
CX11307	121.0051
CX11314	937.4011
CX11315	582.8426
DL200	1140.2438
DL226	849.5332
DL238	824.7665
ECA246	411.6295
ECA248	1535.8072
ECA250	719.8276
ECA251	1116.8123
ECA252	1283.259
ECA259	548.7006
ECA348	342.8427
ECA349	956.396
ECA36	67.2792
ECA363	144.8528
ECA372	1143.4671
ECA396	104.2641
ED3005	1196.9849
ED3011	948.1117
ED3012	901.2489
ED3017	889.117
ED3040	1316.8986
ED3046	1604.0916
ED3048	929.8277
ED3049	620.4163
ED3052	992.9229
ED3073	800.4163
ED3077	1204.6802
EG4347	1291.9597
EG4349	1558.2338
EG4724	816.985
EG4725	772.046
EG4946	1043.6752
GXW1	1084.6805
JT11398	1379.2388
JU1088	847.2792
JU1172	425.2692
JU1200	709.117
JU1212	486.2741
JU1213	1239.2387
JU1242	967.1066
JU1246	1431.5434
JU1395	978.8225
JU1400	325.2692
JU1409	687.6955
JU1440	1112.5484
JU1491	1097.4013
JU1530	950.9546
JU1543	992.5484
JU1568	1086.5179
JU1580	498.4062
JU1581	786.6907
JU1586	962.2539
JU1652	291.3351
JU1793	222.6862
JU1808	1384.6802
JU1896	832.5482
JU2001	583.259
JU2007	1116.3962
JU2131	1042.2539
JU2141	626.2743
JU2234	606.0304
JU2464	912.1321
JU2466	866.1018
JU2513	873.9697
JU2519	840.4161
JU2522	613.1371
JU2526	1152.9646
JU2534	749.117
JU2565	681.4212
JU2566	647.6955
JU2578	1313.3809
JU258	688.7006
JU2587	1297.8174
JU2593	1395.3912
JU2600	593.5535
JU2800	1009.117
JU2862	747.6956
JU2866	494.5584
JU2878	938.4062
JU2879	784.2641
JU2906	360.8327
JU310	864.2641
JU311	946.8987
JU3125	441.8378
JU3127	489.7057
JU3134	690.1219
JU3135	1163.6752
JU3137	864.3473
JU3140	1160.8325
JU323	1028.1117
JU346	1074.9748
JU360	913.9696
JU367	1204.6805
JU393	1234.386
JU394	1183.259
JU397	441.8376
JU406	911.1272
JU440	160
JU561	1051.9597
JU642	281.4089
JU751	928.1117
JU774	613.5533
JU775	977.3149
JU778	895.3911
JU782	1157.8174
JU792	911.5433
JU830	1839.6552
JU847	673.5533
KR314	1042.8426
LKC34	1112.3759
LSJ1	588.7006
MY1	1058.8223
MY10	415.9798
MY16	1160.8327
MY18	235.73
MY2212	425.269
MY23	1004.0559
MY2453	1302.2539
MY2530	961.8375
MY2535	787.6956
MY2573	693.9699
MY2693	613.5535
MY2741	1199.4113
MY679	506.2743
MY920	224.8529
N2	1161.8376
NIC1	1080.8325
NIC1107	654.5584
NIC166	961.2488
NIC195	832.5484
NIC199	622.254
NIC2	1035.9799
NIC207	600.8325
NIC231	1009.5332
NIC236	1030.538
NIC242	987.1068
NIC251	1065.269
NIC252	1017.9037
NIC255	667.2792
NIC256	1007.1067
NIC258	442.4265
NIC259	998.4062
NIC260	1039.8277
NIC261	924.6803
NIC262	227.6956
NIC265	1142.2539
NIC266	635.9798
NIC267	1288.3199
NIC268	1017.4013
NIC269	280.8325
NIC271	1073.3809
NIC272	1006.6904
NIC274	686.6904
NIC275	854.7667
NIC276	1142.8427
NIC277	884.4723
NIC3	699.8276
NIC513	533.1371
NIC514	504.8528
NIC522	1154.4723
NIC523	763.259
PB303	720.4163
PS2025	55.5635
PX179	471.7157
QG2075	693.259
QG536	1077.4013
QG556	-2.4265
QG557	92.7208
QW947	872.6702
QX1212	1169.5332
QX1233	961.8376
QX1791	514.5584
QX1792	1157.4013
QX1793	1003.8477
QX1794	871.1269
RC301	937.4011
WN2001	1194.8022
WN2002	1113.3809
WN2033	885.2692
XZ1513	235.1471
XZ1514	147.2792
XZ1516	371.127
