strain	median
AB1	1147.1068
BRC20067	938.1119
CB4852	176.1523
CB4854	520.6245
CB4856	689.6194
CB4932	854.5586
CX11254	877.4011
CX11262	15.6496
CX11264	380.4163
CX11271	243.8477
CX11276	368.2841
CX11285	440.6245
CX11292	764.2641
CX11307	276.5685
CX11314	650.33
CX11315	975.3909
DL200	962.254
DL226	711.127
DL238	361.5076
ECA246	688.1981
ECA248	1231.5433
ECA250	761.6653
ECA251	780.8327
ECA252	273.1371
ECA259	1005.0966
ECA348	696.3962
ECA349	1148.5281
ECA36	893.381
ECA363	134.6447
ECA372	1132.7995
ECA396	-27.868
ED3005	669.7057
ED3011	1115.9799
ED3012	1150.5383
ED3017	680.8325
ED3040	445.5634
ED3046	890.1218
ED3048	1074.4721
ED3049	373.1372
ED3052	497.99
ED3073	905.0967
ED3077	1357.8174
EG4347	943.6752
EG4349	1072.9646
EG4724	361.2489
EG4725	429.2031
EG4946	791.9597
GXW1	667.1068
JT11398	748.198
JU1088	815.9799
JU1172	717.99
JU1200	832.9645
JU1212	228.2841
JU1213	1202.2539
JU1242	762.8427
JU1246	1167.1066
JU1395	766.6907
JU1400	446.6547
JU1409	441.0051
JU1440	352.132
JU1491	865.6856
JU1530	718.4062
JU1543	892.2541
JU1568	548.5283
JU1580	432.5484
JU1581	803.259
JU1586	510.7106
JU1652	687.4013
JU1793	468.7006
JU1808	1040.0356
JU1896	560.8327
JU2001	-6.8629
JU2007	838.4064
JU2131	409.7057
JU2141	911.5433
JU2234	722.254
JU2464	491.1269
JU2466	295.5635
JU2513	730.1219
JU2519	481.4212
JU2522	495.9798
JU2526	868.7007
JU2534	776.8124
JU2565	281.4214
JU2566	852.5482
JU2578	583.8478
JU258	800.33
JU2587	857.5735
JU2593	930.5382
JU2600	879.4113
JU2800	798.8226
JU2862	1004.6803
JU2866	976.3962
JU2878	580.8325
JU2879	857.5735
JU2906	782.254
JU310	535.5635
JU311	1127.6955
JU3125	1151.5433
JU3127	638.4064
JU3134	989.117
JU3135	1082.2539
JU3137	804.2639
JU3140	843.259
JU323	1022.254
JU346	483.259
JU360	1095.3909
JU367	556.9847
JU393	522.8427
JU394	487.4873
JU397	690.7108
JU406	760.8327
JU440	1263.6752
JU561	615.061
JU642	927.1068
JU751	482.8427
JU774	1157.8174
JU775	712.5483
JU778	-137.5737
JU782	786.2741
JU792	1034.5584
JU830	990.1221
JU847	767.1068
KR314	671.1269
LKC34	898.4064
LSJ1	788.4413
MY1	717.5735
MY10	117.1573
MY16	973.5535
MY18	317.99
MY2212	391.1269
MY23	1218.8225
MY2453	1106.6905
MY2530	741.8378
MY2535	672.5484
MY2573	647.2791
MY2693	791.5433
MY2741	647.2792
MY679	436.9849
MY920	306.4467
N2	132.4264
NIC1	611.127
NIC1107	642.4265
NIC166	793.5533
NIC195	1095.3909
NIC199	737.8174
NIC2	737.4013
NIC207	654.5584
NIC231	749.7057
NIC236	961.8378
NIC242	878.8226
NIC251	603.0151
NIC252	965.391
NIC255	264.8528
NIC256	685.7716
NIC258	78.5786
NIC259	-213.3452
NIC260	1066.1018
NIC261	600
NIC262	250.1219
NIC265	464.2641
NIC266	437.9898
NIC267	534.099
NIC268	960.8325
NIC269	1112.5482
NIC271	839.8276
NIC272	604.472
NIC274	1013.5533
NIC275	822.5483
NIC276	842.0458
NIC277	805.6855
NIC3	472.5484
NIC513	495.9798
NIC514	849.117
NIC522	859.7845
NIC523	652.5484
PB303	1074.386
PS2025	447.2792
PX179	804.6803
QG2075	158.4924
QG536	895.9798
QG556	628.1119
QG557	462.8427
QW947	547.9898
QX1212	1039.8276
QX1233	957.8175
QX1791	66.066
QX1792	923.259
QX1793	852.5482
QX1794	691.127
RC301	459.4112
WN2001	720.8325
WN2002	920.8325
WN2033	355.9798
XZ1513	823.259
XZ1514	451.1269
XZ1516	803.2591
