strain	median
AB1	100.3932
BRC20067	58.198
CB4852	136.4674
CB4854	5.897
CB4856	133.0508
CB4932	150.9791
CX11254	160.6538
CX11262	176.8597
CX11264	93.9359
CX11271	95.1093
CX11276	52.1574
CX11285	8.0029
CX11292	137.7358
CX11307	151.619
CX11314	80.2111
CX11315	165.3288
DL200	240.2028
DL226	231.5351
DL238	107.8034
ECA246	108.0253
ECA248	106.5092
ECA250	91.658
ECA251	59.1002
ECA252	66.1639
ECA259	225.2918
ECA348	28.732
ECA349	195.9816
ECA36	80.8052
ECA363	70.6845
ECA372	142.1288
ECA396	-95.1927
ED3005	85.3501
ED3011	179.47
ED3012	175.6838
ED3017	123.216
ED3040	-36.7216
ED3046	177.2305
ED3048	194.2588
ED3049	263.4345
ED3052	82.5165
ED3073	128.8384
ED3077	208.6839
EG4347	166.5781
EG4349	144.5848
EG4724	153.7654
EG4725	107.9544
EG4946	53.1693
GXW1	162.4497
JT11398	81.62
JU1088	154.337
JU1172	131.7369
JU1200	149.0553
JU1212	141.1808
JU1213	137.9632
JU1242	79.1921
JU1246	191.7491
JU1395	86.2683
JU1400	91.8498
JU1409	87.1375
JU1440	67.2293
JU1491	137.0409
JU1530	162.8992
JU1543	127.7597
JU1568	84.8339
JU1580	96.9276
JU1581	51.7297
JU1586	81.4213
JU1652	196.6702
JU1793	12.6474
JU1808	203.3657
JU1896	73.2006
JU2001	25.8522
JU2007	87.9073
JU2131	123.3679
JU2141	37.1754
JU2234	93.4814
JU2464	107.3157
JU2466	147.1545
JU2513	108.3998
JU2519	108.9515
JU2522	83.2226
JU2526	129.3186
JU2534	226.1553
JU2565	78.0734
JU2566	72.0135
JU2578	148.7732
JU258	99.3999
JU2587	53.1074
JU2593	210.602
JU2600	59.784
JU2800	126.5584
JU2862	-54.4344
JU2866	128.2709
JU2878	72.0107
JU2879	97.0945
JU2906	180.9399
JU310	60.1626
JU311	94.5853
JU3125	262.1507
JU3127	131.8982
JU3134	212.6534
JU3135	167.2987
JU3137	137.8225
JU3140	142.1618
JU323	41.788
JU346	76.2657
JU360	9.4514
JU367	124.3559
JU393	91.8277
JU394	12.7606
JU397	63.7041
JU406	124.4275
JU440	58.8345
JU561	165.9918
JU642	42.1987
JU751	40.8538
JU774	110.1488
JU775	109.9987
JU778	76.6488
JU782	130.4959
JU792	109.6899
JU830	222.0739
JU847	180.4518
KR314	222.2844
LKC34	-27.3086
LSJ1	99.061
MY1	145.1532
MY10	97.1854
MY16	210.2479
MY18	-18.395
MY2212	-9.9315
MY23	226.1612
MY2453	34.6577
MY2530	90.402
MY2535	121.2211
MY2573	111.0463
MY2693	184.4991
MY2741	255.304
MY679	125.6652
MY920	124.0173
N2	95.5949
NIC1	113.2512
NIC1107	148.0757
NIC166	54.5868
NIC195	223.1804
NIC199	154.7223
NIC2	125.595
NIC207	92.4053
NIC231	172.6904
NIC236	89.1246
NIC242	78.6294
NIC251	140.6245
NIC252	170.1774
NIC255	113.5873
NIC256	27.3772
NIC258	15.6118
NIC259	-92.0879
NIC260	245.6173
NIC261	-116.9794
NIC262	110.5091
NIC265	155.0378
NIC266	238.7761
NIC267	179.6671
NIC268	229.5764
NIC269	252.3383
NIC271	153.1435
NIC272	225.7163
NIC274	153.8224
NIC275	75.4324
NIC276	112.2957
NIC277	83.6112
NIC3	41.4468
NIC513	-9.3935
NIC514	51.2852
NIC522	113.4245
NIC523	108.2034
PB303	186.4168
PS2025	152.501
PX179	195.5028
QG2075	76.6677
QG536	76.9207
QG556	176.4105
QG557	177.807
QW947	267.278
QX1212	153.0068
QX1233	-9.634
QX1791	-2.6723
QX1792	146.1238
QX1793	138.4104
QX1794	106.2757
RC301	97.3105
WN2001	-9.2709
WN2002	117.1982
WN2033	154.0308
XZ1513	209.3912
XZ1514	104.1619
XZ1516	98.0722
