strain	median
AB1	-0.010354
BRC20067	-0.0059101
CB4852	-0.00046372
CB4854	-0.0061889
CB4856	-0.0063256
CB4932	-0.011128
CX11254	0.00093043
CX11262	-0.0021944
CX11264	-0.0033796
CX11271	-0.0087967
CX11276	-0.0072178
CX11285	-0.0056775
CX11292	-0.0064166
CX11307	-0.010416
CX11314	-0.0077368
CX11315	-0.0061968
DL200	-0.0045679
DL226	-0.0054862
DL238	-0.0072454
ECA246	-0.0058238
ECA248	-0.0055471
ECA250	-0.0058517
ECA251	-0.0071919
ECA252	-0.0061361
ECA259	-0.0056528
ECA348	-0.0047849
ECA349	-0.0052837
ECA36	-0.0068209
ECA363	-0.0070761
ECA372	-0.0069243
ECA396	-0.0055307
ED3005	-0.010384
ED3011	-0.0062799
ED3012	-0.005886
ED3017	-0.0040197
ED3040	-0.0060011
ED3046	-0.0093605
ED3048	-0.0069293
ED3049	-0.0026439
ED3052	-0.0061995
ED3073	-0.007091
ED3077	-0.0087159
EG4347	-0.010247
EG4349	-0.0057672
EG4724	-0.0059327
EG4725	-0.0079756
EG4946	-0.0060348
GXW1	-0.0082465
JT11398	-0.0095876
JU1088	-0.0047747
JU1172	-0.0019237
JU1200	-0.0045408
JU1212	-0.0071727
JU1213	-0.0071004
JU1242	-0.0072249
JU1246	-0.0028217
JU1395	-0.0068484
JU1400	-0.0027707
JU1409	-0.0016114
JU1440	-0.0087049
JU1491	-0.0097526
JU1530	-0.0064237
JU1543	-0.010267
JU1568	-0.0098566
JU1580	-0.0030949
JU1581	-0.0067948
JU1586	-0.006456
JU1652	-0.0053138
JU1793	-0.0029348
JU1808	-0.0034428
JU1896	-0.005013
JU2001	-0.0099445
JU2007	-0.0037322
JU2131	-0.0082441
JU2141	-0.0057663
JU2234	-0.002795
JU2464	-0.013802
JU2466	-0.0081895
JU2513	-0.0043992
JU2519	-0.0083118
JU2522	-0.0071423
JU2526	-0.0082141
JU2534	-0.0089407
JU2565	-0.0047498
JU2566	-0.0020611
JU2578	-0.0076489
JU258	-0.006223
JU2587	-0.013112
JU2593	-0.0074015
JU2600	-0.0062786
JU2800	-0.0089625
JU2862	-0.0033246
JU2866	-0.0036281
JU2878	-0.010236
JU2879	-0.0066506
JU2906	-0.0029786
JU310	-0.005833
JU311	-0.0027082
JU3125	-0.0033564
JU3127	-0.0083072
JU3134	-0.0097231
JU3135	-0.0059217
JU3137	-0.0066158
JU3140	0.00086141
JU323	-0.0057209
JU346	-0.0039164
JU360	-0.0045835
JU367	-0.0027515
JU393	-0.008421
JU394	-0.010605
JU397	-0.00052196
JU406	-0.0056202
JU440	0.0032384
JU561	-0.0064763
JU642	-0.0069067
JU751	-0.0048669
JU774	-0.0037938
JU775	-0.0076072
JU778	-0.0040527
JU782	-0.0049284
JU792	-0.0034463
JU830	-0.011039
JU847	-0.0084239
KR314	-0.0065685
LKC34	-0.0068981
LSJ1	-0.0022984
MY1	-0.0069707
MY10	-0.0055398
MY16	-0.0059147
MY18	-0.0073919
MY2212	-0.0048685
MY23	-0.0034865
MY2453	-0.0042827
MY2530	-0.0071981
MY2535	-0.0051105
MY2573	-0.0041906
MY2693	-0.0045257
MY2741	-0.0069853
MY679	-0.0043383
MY920	-0.0053298
N2	-0.0060124
NIC1	-0.01122
NIC1107	-0.0059645
NIC166	-0.0057976
NIC195	-0.0048411
NIC199	-0.0048353
NIC2	-0.0048416
NIC207	-0.0037183
NIC231	-0.0079171
NIC236	-0.0056144
NIC242	-0.0067737
NIC251	-0.0042137
NIC252	-0.010665
NIC255	-0.005668
NIC256	-0.0066491
NIC258	-0.0042761
NIC259	-0.0070937
NIC260	-0.0018914
NIC261	-0.0046205
NIC262	-0.00069991
NIC265	-0.0095094
NIC266	-0.003508
NIC267	-0.0040124
NIC268	-0.0066603
NIC269	-0.0046916
NIC271	-0.0049535
NIC272	-0.0053931
NIC274	-0.007434
NIC275	-0.0049414
NIC276	-0.0038182
NIC277	-0.0072147
NIC3	-0.0097274
NIC513	-0.0080425
NIC514	-0.00405
NIC522	-0.0030123
NIC523	-0.0070726
PB303	-0.0062787
PS2025	-0.0034987
PX179	-0.0063095
QG2075	-0.0071062
QG536	-0.0082834
QG556	-0.0083376
QG557	-0.0074485
QW947	-0.0029427
QX1212	-0.0025967
QX1233	-0.010267
QX1791	-0.0064571
QX1792	-0.006532
QX1793	-0.0061088
QX1794	-0.006262
RC301	-0.0081834
WN2001	-0.0090091
WN2002	-0.0049139
WN2033	-0.0067009
XZ1513	-0.0025455
XZ1514	-0.0047543
XZ1516	-0.0069426
