strain	median
AB1	-0.012062
BRC20067	0.00073616
CB4852	-0.0049423
CB4854	-0.010388
CB4856	-0.0072058
CB4932	-0.015648
CX11254	-0.0098221
CX11262	-0.0074227
CX11264	-0.0075723
CX11271	-0.011771
CX11276	0.0013663
CX11285	-0.0019326
CX11292	-0.013516
CX11307	-0.00209
CX11314	-0.010303
CX11315	-0.010955
DL200	-0.0064157
DL226	-0.0087804
DL238	-0.0054762
ECA246	-0.0013507
ECA248	-0.013215
ECA250	-0.012119
ECA251	-0.0062323
ECA252	-0.0061261
ECA259	-0.0099356
ECA348	-0.0076689
ECA349	-0.012088
ECA36	-0.0021548
ECA363	-0.0063883
ECA372	-0.010733
ECA396	0.0040266
ED3005	-0.0062004
ED3011	-0.0075845
ED3012	-0.0083441
ED3017	-0.0052057
ED3040	-0.011848
ED3046	-0.0073016
ED3048	-0.0076425
ED3049	0.0078843
ED3052	-0.0083842
ED3073	-0.0051624
ED3077	-0.0097804
EG4347	-0.0090812
EG4349	-0.0058272
EG4724	-0.0034926
EG4725	-0.0056808
EG4946	-0.0081916
GXW1	-0.016975
JT11398	-0.01832
JU1088	-0.006378
JU1172	-0.0093719
JU1200	-0.0078092
JU1212	-0.0095354
JU1213	-0.013057
JU1242	-0.011517
JU1246	-0.00037668
JU1395	-0.012829
JU1400	-0.0054514
JU1409	-0.0033876
JU1440	0.0032755
JU1491	-0.01256
JU1530	0.00047034
JU1543	-0.013252
JU1568	-0.0062203
JU1580	-0.0012864
JU1581	-0.012518
JU1586	-0.0031811
JU1652	-0.0013986
JU1793	-0.0072554
JU1808	-0.013658
JU1896	-0.0068042
JU2001	-0.00047057
JU2007	-0.0103
JU2131	-0.0082707
JU2141	-0.0037195
JU2234	0.0033626
JU2464	-0.014296
JU2466	-0.0108
JU2513	-0.0044191
JU2519	-0.0081543
JU2522	-0.0037092
JU2526	-0.010889
JU2534	-0.0074726
JU2565	-0.0056742
JU2566	-0.0037927
JU2578	-0.0045089
JU258	-0.0040096
JU2587	-0.011977
JU2593	-0.010724
JU2600	-0.0059119
JU2800	-0.01344
JU2862	-0.0055871
JU2866	-0.0036905
JU2878	-0.011455
JU2879	-0.0072191
JU2906	0.00057411
JU310	-0.011937
JU311	0.0029908
JU3125	-0.0063455
JU3127	-0.0065385
JU3134	-0.0117
JU3135	-0.0099144
JU3137	-0.011551
JU3140	-0.0056593
JU323	-0.010449
JU346	-0.0052558
JU360	-0.0057847
JU367	-0.012914
JU393	-0.00057467
JU394	-0.0097844
JU397	-0.0061877
JU406	-0.0047789
JU440	0.0063347
JU561	-0.010694
JU642	-0.0046401
JU751	-0.0078138
JU774	-0.0029514
JU775	-0.0071786
JU778	-0.014407
JU782	-0.0012177
JU792	-0.006323
JU830	-0.0092412
JU847	-0.0027537
KR314	-0.00021044
LKC34	-0.0078697
LSJ1	-0.0069731
MY1	-0.009219
MY10	-0.0020379
MY16	-0.0051264
MY18	-0.0061179
MY2212	-0.0094205
MY23	-0.0085174
MY2453	-0.0046468
MY2530	-0.0092824
MY2535	-0.014383
MY2573	-0.0036625
MY2693	-0.007857
MY2741	0.00020859
MY679	-0.0016991
MY920	-0.0064251
N2	-0.0020873
NIC1	-0.0085215
NIC1107	-0.002759
NIC166	-0.0043756
NIC195	-0.0080365
NIC199	-0.011518
NIC2	-0.0039961
NIC207	-0.0011886
NIC231	0.012036
NIC236	-0.010695
NIC242	0.0023289
NIC251	-0.006799
NIC252	-0.018641
NIC255	-0.0098864
NIC256	-0.002996
NIC258	-0.0017178
NIC259	-0.0040042
NIC260	-0.0014128
NIC261	-0.0098831
NIC262	-0.0020842
NIC265	-0.0061385
NIC266	-0.0051455
NIC267	-0.0053278
NIC268	-0.0079472
NIC269	-0.0038747
NIC271	-0.01481
NIC272	-0.010909
NIC274	-0.011995
NIC275	-0.007264
NIC276	-0.0092758
NIC277	-0.0060339
NIC3	-0.010265
NIC513	-0.0034702
NIC514	-0.0076457
NIC522	-0.0091075
NIC523	-0.0065807
PB303	-0.0073248
PS2025	-0.001854
PX179	-0.0061127
QG2075	-0.005582
QG536	-0.0036523
QG556	-0.0072364
QG557	-0.0049874
QW947	0.008022
QX1212	-0.0012341
QX1233	-0.014462
QX1791	-0.010744
QX1792	-0.00559
QX1793	-0.01394
QX1794	-0.010045
RC301	-0.010786
WN2001	-0.0054596
WN2002	-0.0062891
WN2033	-0.0075048
XZ1513	-0.0029016
XZ1514	-0.0034231
XZ1516	-0.0067555
