strain	median
AB1	-0.09956
BRC20067	-0.10518
CB4852	-0.014504
CB4854	-0.15883
CB4856	-0.1402
CB4932	-0.13332
CX11254	0.018158
CX11262	-0.048418
CX11264	-0.083504
CX11271	-0.12835
CX11276	-0.089608
CX11285	-0.090935
CX11292	-0.14302
CX11307	-0.051526
CX11314	-0.1411
CX11315	-0.09212
DL200	-0.14139
DL226	-0.17748
DL238	-0.080798
ECA246	-0.040151
ECA248	-0.1444
ECA250	-0.14863
ECA251	-0.12019
ECA252	-0.037482
ECA259	-0.11283
ECA348	-0.051396
ECA349	-0.12457
ECA36	-0.12051
ECA363	-0.12309
ECA372	-0.089946
ECA396	-0.072164
ED3005	-0.10602
ED3011	-0.080066
ED3012	-0.17834
ED3017	-0.073735
ED3040	-0.15575
ED3046	-0.15267
ED3048	-0.16198
ED3049	-0.055698
ED3052	-0.13463
ED3073	-0.1524
ED3077	-0.16974
EG4347	-0.17137
EG4349	-0.13613
EG4724	-0.14993
EG4725	-0.13587
EG4946	-0.10215
GXW1	-0.18326
JT11398	-0.12125
JU1088	-0.1099
JU1172	-0.068083
JU1200	-0.11074
JU1212	-0.095291
JU1213	-0.19955
JU1242	-0.17333
JU1246	-0.18321
JU1395	-0.1735
JU1400	-0.075554
JU1409	-0.10201
JU1440	-0.10239
JU1491	-0.13131
JU1530	-0.15029
JU1543	-0.13884
JU1568	-0.11388
JU1580	-0.09605
JU1581	-0.098703
JU1586	-0.1261
JU1652	-0.11766
JU1793	-0.1001
JU1808	-0.094027
JU1896	-0.11539
JU2001	-0.080259
JU2007	-0.15038
JU2131	-0.11835
JU2141	-0.029859
JU2234	-0.041057
JU2464	-0.11039
JU2466	-0.19271
JU2513	-0.12016
JU2519	-0.14162
JU2522	-0.10455
JU2526	-0.20967
JU2534	-0.125
JU2565	-0.10478
JU2566	-0.025847
JU2578	-0.12609
JU258	-0.08202
JU2587	-0.16198
JU2593	-0.23784
JU2600	-0.11779
JU2800	-0.1181
JU2862	-0.083197
JU2866	-0.053751
JU2878	-0.14505
JU2879	-0.11774
JU2906	-0.028295
JU310	-0.14775
JU311	-0.030227
JU3125	-0.11353
JU3127	-0.086803
JU3134	-0.15614
JU3135	-0.20928
JU3137	-0.16553
JU3140	-0.049154
JU323	-0.10349
JU346	-0.085461
JU360	-0.098036
JU367	-0.077196
JU393	-0.11962
JU394	-0.12525
JU397	-0.070473
JU406	-0.11009
JU440	-0.015329
JU561	-0.14384
JU642	-0.14262
JU751	-0.084392
JU774	0.0023851
JU775	-0.13853
JU778	-0.06219
JU782	-0.11235
JU792	-0.057074
JU830	-0.084461
JU847	-0.17562
KR314	-0.083305
LKC34	-0.16835
LSJ1	-0.12077
MY1	-0.14592
MY10	-0.090211
MY16	-0.17207
MY18	-0.22131
MY2212	-0.17022
MY23	-0.19393
MY2453	-0.069797
MY2530	-0.17919
MY2535	-0.087834
MY2573	-0.10917
MY2693	-0.13382
MY2741	-0.11585
MY679	-0.098359
MY920	-0.056609
N2	-0.090267
NIC1	-0.14569
NIC1107	-0.10198
NIC166	-0.13842
NIC195	-0.15243
NIC199	-0.089953
NIC2	-0.13092
NIC207	-0.083441
NIC231	-0.060197
NIC236	-0.17731
NIC242	-0.11799
NIC251	-0.083239
NIC252	-0.077371
NIC255	-0.12552
NIC256	-0.12215
NIC258	-0.121
NIC259	-0.11496
NIC260	-0.13207
NIC261	-0.10459
NIC262	-0.017161
NIC265	-0.19984
NIC266	-0.098999
NIC267	-0.11324
NIC268	-0.15655
NIC269	-0.098923
NIC271	-0.11487
NIC272	-0.1952
NIC274	-0.10877
NIC275	-0.11753
NIC276	-0.16893
NIC277	-0.15087
NIC3	-0.095473
NIC513	-0.11231
NIC514	-0.10492
NIC522	-0.13486
NIC523	-0.07997
PB303	-0.10871
PS2025	-0.052294
PX179	-0.14978
QG2075	-0.0911
QG536	-0.12026
QG556	-0.10861
QG557	-0.11702
QW947	-0.058298
QX1212	-0.11776
QX1233	-0.11544
QX1791	-0.11365
QX1792	-0.17032
QX1793	-0.10424
QX1794	-0.11443
RC301	-0.16642
WN2001	-0.17726
WN2002	-0.10722
WN2033	-0.10602
XZ1513	-0.040109
XZ1514	-0.0043328
XZ1516	-0.066722
