strain	median
AB1	0.11437
BRC20067	0.11787
CB4852	0.027525
CB4854	0.10236
CB4856	0.063321
CB4932	0.16843
CX11254	0.093602
CX11262	-0.0043821
CX11264	0.023022
CX11271	0.036732
CX11276	0.082431
CX11285	0.025062
CX11292	0.11033
CX11307	0.034057
CX11314	0.064516
CX11315	0.058987
DL200	0.11974
DL226	0.10108
DL238	0.077536
ECA246	0.034269
ECA248	0.15972
ECA250	0.06542
ECA251	0.11066
ECA252	0.026226
ECA259	0.056697
ECA348	0.0099712
ECA349	0.064027
ECA36	0.044509
ECA363	0.053501
ECA372	0.08475
ECA396	0.042834
ED3005	0.16335
ED3011	0.068583
ED3012	0.087062
ED3017	0.086696
ED3040	0.16786
ED3046	0.19508
ED3048	0.096999
ED3049	0.016268
ED3052	0.091952
ED3073	0.083335
ED3077	0.12643
EG4347	0.16757
EG4349	0.13287
EG4724	0.12547
EG4725	0.11063
EG4946	0.11728
GXW1	0.11527
JT11398	0.11754
JU1088	0.087348
JU1172	0.0052869
JU1200	0.05874
JU1212	0.080289
JU1213	0.14124
JU1242	0.072608
JU1246	0.10407
JU1395	0.10706
JU1400	0.043354
JU1409	0.075166
JU1440	0.10384
JU1491	0.1457
JU1530	0.059738
JU1543	0.16452
JU1568	0.14378
JU1580	0.074504
JU1581	0.037632
JU1586	0.12533
JU1652	0.087018
JU1793	0.037639
JU1808	0.10279
JU1896	0.11763
JU2001	0.11316
JU2007	0.12027
JU2131	0.14983
JU2141	0.080321
JU2234	0.042741
JU2464	0.077281
JU2466	0.1354
JU2513	0.069562
JU2519	0.14772
JU2522	0.10297
JU2526	0.14716
JU2534	0.055767
JU2565	0.044687
JU2566	0.051394
JU2578	0.12824
JU258	0.079401
JU2587	0.21947
JU2593	0.14252
JU2600	0.034792
JU2800	0.046157
JU2862	0.083823
JU2866	0.034283
JU2878	0.079117
JU2879	0.052713
JU2906	0.011763
JU310	0.15538
JU311	0.059497
JU3125	0.077473
JU3127	0.014283
JU3134	0.089683
JU3135	0.16423
JU3137	0.1007
JU3140	0.097686
JU323	0.12753
JU346	0.12226
JU360	0.034762
JU367	0.14929
JU393	0.16797
JU394	0.15692
JU397	0.062283
JU406	0.076611
JU440	0.034803
JU561	0.13501
JU642	0.084807
JU751	0.14831
JU774	0.044044
JU775	0.070015
JU778	0.15277
JU782	0.14767
JU792	0.11505
JU830	0.16089
JU847	0.10358
KR314	0.17959
LKC34	0.133
LSJ1	0.083528
MY1	0.1379
MY10	0.038174
MY16	0.10649
MY18	0.10569
MY2212	0.081799
MY23	0.085326
MY2453	0.086768
MY2530	0.14873
MY2535	0.05805
MY2573	0.097437
MY2693	0.11633
MY2741	0.077106
MY679	0.067226
MY920	0.028981
N2	0.063435
NIC1	0.13731
NIC1107	-0.0022235
NIC166	0.08073
NIC195	0.058025
NIC199	0.04937
NIC2	0.11214
NIC207	0.044496
NIC231	0.095114
NIC236	0.11235
NIC242	0.11703
NIC251	0.10862
NIC252	0.044954
NIC255	0.092801
NIC256	0.10051
NIC258	0.015909
NIC259	0.063641
NIC260	0.080386
NIC261	0.055116
NIC262	0.048668
NIC265	0.19942
NIC266	0.060814
NIC267	0.11611
NIC268	0.084863
NIC269	0.063371
NIC271	0.17346
NIC272	0.16872
NIC274	0.066847
NIC275	0.043858
NIC276	0.082531
NIC277	0.087993
NIC3	0.079234
NIC513	0.087224
NIC514	0.063311
NIC522	0.1582
NIC523	0.045989
PB303	0.037675
PS2025	0.022778
PX179	0.072193
QG2075	0.075976
QG536	0.12457
QG556	0.030385
QG557	0.044351
QW947	0.015828
QX1212	0.114
QX1233	0.083633
QX1791	0.042251
QX1792	0.13381
QX1793	0.11093
QX1794	0.063066
RC301	0.090099
WN2001	0.085456
WN2002	0.085191
WN2033	0.13172
XZ1513	0.043746
XZ1514	-0.0044443
XZ1516	0.037816
