strain	median
AB1	139700
BRC20067	82150
CB4852	51450
CB4854	89200
CB4856	40650
CB4932	138350
CX11254	27600
CX11262	2750
CX11264	45250
CX11271	18600
CX11276	51900
CX11285	16200
CX11292	92700
CX11307	22050
CX11314	73075
CX11315	36500
DL200	59050
DL226	89650
DL238	57325
ECA246	38775
ECA248	186400
ECA250	39250
ECA251	83350
ECA252	63250
ECA259	37600
ECA348	18550
ECA349	76350
ECA36	22900
ECA363	27550
ECA372	68025
ECA396	8800
ED3005	94750
ED3011	52950
ED3012	46250
ED3017	45500
ED3040	93575
ED3046	214500
ED3048	50475
ED3049	7300
ED3052	51895
ED3073	78000
ED3077	117100
EG4347	94050
EG4349	122850
EG4724	78300
EG4725	70350
EG4946	78800
GXW1	183550
JT11398	156397.5
JU1088	82500
JU1172	32450
JU1200	59100
JU1212	40950
JU1213	107000
JU1242	79000
JU1246	61200
JU1395	77100
JU1400	35700
JU1409	22050
JU1440	99500
JU1491	76600
JU1530	83150
JU1543	92000
JU1568	130800
JU1580	41200
JU1581	43100
JU1586	70300
JU1652	41125
JU1793	33300
JU1808	189800
JU1896	77750
JU2001	35350
JU2007	99900
JU2131	91050
JU2141	36550
JU2234	52350
JU2464	125100
JU2466	93400
JU2513	51250
JU2519	92850
JU2522	52200
JU2526	99800
JU2534	55850
JU2565	50350
JU2566	42150
JU2578	148800
JU258	38725
JU2587	137850
JU2593	87500
JU2600	44750
JU2800	79550
JU2862	47250
JU2866	35850
JU2878	56025
JU2879	43600
JU2906	33150
JU310	109100
JU311	46550
JU3125	43300
JU3127	57550
JU3134	57250
JU3135	127900
JU3137	55400
JU3140	78100
JU323	58450
JU346	70800
JU360	51400
JU367	68200
JU393	121345
JU394	88150
JU397	38000
JU406	73900
JU440	9900
JU561	89550
JU642	33450
JU751	121550
JU774	35700
JU775	70675
JU778	57850
JU782	81850
JU792	50500
JU830	123450
JU847	38850
KR314	83200
LKC34	95750
LSJ1	33950
MY1	80050
MY10	43550
MY16	78050
MY18	41250
MY2212	41300
MY23	51250
MY2453	132050
MY2530	100400
MY2535	50900
MY2573	51650
MY2693	44950
MY2741	109450
MY679	41950
MY920	24850
N2	50775
NIC1	144300
NIC1107	22950
NIC166	67100
NIC195	45150
NIC199	37300
NIC2	52000
NIC207	44500
NIC231	95900
NIC236	67400
NIC242	61850
NIC251	109800
NIC252	49900
NIC255	42850
NIC256	79550
NIC258	48300
NIC259	52850
NIC260	65400
NIC261	53805
NIC262	21600
NIC265	91600
NIC266	37450
NIC267	96250
NIC268	58150
NIC269	13250
NIC271	69200
NIC272	80400
NIC274	43050
NIC275	69825
NIC276	99200
NIC277	56725
NIC3	49700
NIC513	49825
NIC514	38950
NIC522	82800
NIC523	42400
PB303	46350
PS2025	4650
PX179	33650
QG2075	29212.5
QG536	57850
QG556	21050
QG557	6250
QW947	41150
QX1212	89550
QX1233	81150
QX1791	24900
QX1792	99350
QX1793	89800
QX1794	52750
RC301	90140
WN2001	84650
WN2002	62850
WN2033	86100
XZ1513	33875
XZ1514	13300
XZ1516	45450
