strain	median
AB1	149150
BRC20067	77381.25
CB4852	79750
CB4854	44987.5
CB4856	65325
CB4932	82450
CX11254	30800
CX11262	-2250
CX11264	49500
CX11271	35637.5
CX11276	53987.5
CX11285	25425
CX11292	162100
CX11307	38062.5
CX11314	83575
CX11315	63200
DL200	176400
DL226	98650
DL238	86425
ECA246	68450
ECA248	138375
ECA250	120512.5
ECA251	69350
ECA252	51600
ECA259	7250
ECA348	99400
ECA349	98050
ECA36	50700
ECA363	14000
ECA372	56725
ECA396	35087.5
ED3005	53100
ED3011	75950
ED3012	132687.5
ED3017	54900
ED3040	147025
ED3046	151125
ED3048	72662.5
ED3049	84800
ED3052	40300
ED3073	97650
ED3077	164200
EG4347	90100
EG4349	110725
EG4724	50650
EG4725	41575
EG4946	116850
GXW1	158000
JT11398	167912.5
JU1088	93275
JU1172	25250
JU1200	83800
JU1212	66150
JU1213	120900
JU1242	76500
JU1246	89475
JU1395	66487.5
JU1400	55500
JU1409	45325
JU1440	140050
JU1491	66800
JU1530	108250
JU1543	175400
JU1568	102450
JU1580	74850
JU1581	17250
JU1586	57850
JU1652	66625
JU1793	48350
JU1808	181800
JU1896	102750
JU2001	34600
JU2007	81550
JU2131	93900
JU2141	30950
JU2234	137150
JU2464	81950
JU2466	130350
JU2513	72075
JU2519	84400
JU2522	28075
JU2526	58800
JU2534	114200
JU2565	114550
JU2566	34250
JU2578	201650
JU258	70425
JU2587	70500
JU2593	90875
JU2600	25500
JU2800	97650
JU2862	99287.5
JU2866	99262.5
JU2878	54750
JU2879	119000
JU2906	157600
JU310	67350
JU311	91220
JU3125	79750
JU3127	77200
JU3134	144650
JU3135	141900
JU3137	85050
JU3140	74750
JU323	48950
JU346	55450
JU360	-2850
JU367	121900
JU393	92700
JU394	53837.5
JU397	37450
JU406	46850
JU440	19500
JU561	108900
JU642	33500
JU751	67875
JU774	69100
JU775	45550
JU778	42100
JU782	65850
JU792	69825
JU830	212600
JU847	54950
KR314	77850
LKC34	77350
LSJ1	39700
MY1	68500
MY10	150800
MY16	88500
MY18	55150
MY2212	68600
MY23	104875
MY2453	112300
MY2530	83900
MY2535	90850
MY2573	75050
MY2693	114700
MY2741	131900
MY679	59150
MY920	47450
N2	46775
NIC1	86000
NIC1107	79450
NIC166	66737.5
NIC195	42737.5
NIC199	8775
NIC2	66650
NIC207	39837.5
NIC231	94650
NIC236	91750
NIC242	55550
NIC251	73500
NIC252	82650
NIC255	79559.375
NIC256	47925
NIC258	8100
NIC259	64700
NIC260	93200
NIC261	-10037.5
NIC262	21950
NIC265	90875
NIC266	51500
NIC267	125225
NIC268	96000
NIC269	39350
NIC271	55200
NIC272	135962.5
NIC274	25300
NIC275	100200
NIC276	131662.5
NIC277	60537.5
NIC3	64650
NIC513	69900
NIC514	123050
NIC522	59625
NIC523	27800
PB303	136200
PS2025	46200
PX179	86350
QG2075	52950
QG536	73800
QG556	100800
QG557	27100
QW947	61675
QX1212	72200
QX1233	68750
QX1791	36875
QX1792	113812.5
QX1793	84800
QX1794	76700
RC301	72075
WN2001	133950
WN2002	81800
WN2033	81787.5
XZ1513	67800
XZ1514	51562.5
XZ1516	87500
