strain	median
AB1	280.6465
BRC20067	203.8097
CB4852	108.9408
CB4854	155.9074
CB4856	84.2459
CB4932	253.5328
CX11254	75.239
CX11262	27.8253
CX11264	128.6918
CX11271	48.4849
CX11276	120.4191
CX11285	41.8465
CX11292	230.3037
CX11307	32.0615
CX11314	168.7382
CX11315	74.5082
DL200	143.1761
DL226	189.5497
DL238	149.5189
ECA246	71.6796
ECA248	313.0357
ECA250	103.6714
ECA251	160.9969
ECA252	138.1493
ECA259	76.466
ECA348	64.1325
ECA349	149.8242
ECA36	43.8469
ECA363	35.138
ECA372	154.3285
ECA396	42.9875
ED3005	225.1172
ED3011	141.3119
ED3012	133.5065
ED3017	134.9441
ED3040	242.329
ED3046	342.3615
ED3048	174.1131
ED3049	105.4779
ED3052	147.0197
ED3073	152.4372
ED3077	261.6843
EG4347	190.6013
EG4349	301.5667
EG4724	147.4056
EG4725	115.6295
EG4946	173.96
GXW1	297.1902
JT11398	264.0895
JU1088	172.1544
JU1172	69.6741
JU1200	126.8991
JU1212	72.4331
JU1213	236.0665
JU1242	180.4236
JU1246	136.877
JU1395	181.9928
JU1400	71.301
JU1409	58.0477
JU1440	189.7623
JU1491	177.8635
JU1530	195.4384
JU1543	213.3228
JU1568	262.5724
JU1580	67.5944
JU1581	103.933
JU1586	176.143
JU1652	62.336
JU1793	53.6306
JU1808	299.9893
JU1896	131.6273
JU2001	80.789
JU2007	229.3046
JU2131	186.7336
JU2141	81.126
JU2234	99.1294
JU2464	199.675
JU2466	178.632
JU2513	133.0872
JU2519	163.1018
JU2522	85.862
JU2526	207.5735
JU2534	140.5759
JU2565	139.1435
JU2566	115.7363
JU2578	286.3364
JU258	89.7592
JU2587	239.8851
JU2593	222.1571
JU2600	70.9755
JU2800	214.6447
JU2862	123.4138
JU2866	80.4436
JU2878	129.4612
JU2879	96.5907
JU2906	54.0818
JU310	193.8732
JU311	137.5166
JU3125	75.5306
JU3127	90.5882
JU3134	124.4698
JU3135	220.1156
JU3137	147.3573
JU3140	198.5527
JU323	150.0953
JU346	182.401
JU360	113.7994
JU367	206.7238
JU393	238.0945
JU394	213.6365
JU397	80.7778
JU406	178.0627
JU440	55.4883
JU561	201.7989
JU642	59.8407
JU751	207.5352
JU774	82.6042
JU775	183.0516
JU778	177.174
JU782	154.2142
JU792	120.0332
JU830	298.4537
JU847	120.9081
KR314	198.7764
LKC34	247.3312
LSJ1	73.1095
MY1	163.4762
MY10	91.6378
MY16	190.1811
MY18	70.1854
MY2212	80.8878
MY23	143.0379
MY2453	217.6796
MY2530	164.8072
MY2535	113.3729
MY2573	101.9896
MY2693	91.7206
MY2741	190.8257
MY679	55.1512
MY920	28.5085
N2	125.1047
NIC1	190.7926
NIC1107	125.9377
NIC166	169.2683
NIC195	102.5376
NIC199	70.5678
NIC2	159.5182
NIC207	72.3701
NIC231	151.7915
NIC236	196.9276
NIC242	142.8351
NIC251	184.303
NIC252	139.2919
NIC255	107.8311
NIC256	168.0811
NIC258	69.5848
NIC259	103.8661
NIC260	123.5857
NIC261	129.3662
NIC262	32.9622
NIC265	193.1774
NIC266	66.3908
NIC267	246.4504
NIC268	104.3026
NIC269	63.1162
NIC271	173.7788
NIC272	165.6271
NIC274	94.0276
NIC275	136.1371
NIC276	235.0758
NIC277	159.0016
NIC3	99.7649
NIC513	129.63
NIC514	63.1049
NIC522	207.4906
NIC523	109.9855
PB303	142.0218
PS2025	27.2565
PX179	80.3363
QG2075	118.27
QG536	159.9869
QG556	43.6704
QG557	55.0669
QW947	123.8464
QX1212	172.9351
QX1233	191.1326
QX1791	54.2721
QX1792	201.6387
QX1793	156.8288
QX1794	120.8536
RC301	194.9484
WN2001	193.2534
WN2002	172.8303
WN2033	189.8123
XZ1513	64.9833
XZ1514	38.3691
XZ1516	44.141
