strain	median
AB1	256.3084
BRC20067	169.9737
CB4852	66.0494
CB4854	141.5822
CB4856	102.9773
CB4932	224.2177
CX11254	125.8868
CX11262	83.802
CX11264	139.89
CX11271	80.6071
CX11276	110.5088
CX11285	89.9867
CX11292	145.5943
CX11307	41.1551
CX11314	173.3539
CX11315	182.5573
DL200	186.3488
DL226	222.612
DL238	72.3922
ECA246	100.3922
ECA248	254.1518
ECA250	200.129
ECA251	179.813
ECA252	54.7461
ECA259	169.4391
ECA348	129.0455
ECA349	185.4387
ECA36	85.335
ECA363	36.7469
ECA372	177.3286
ECA396	7.7307
ED3005	131.6632
ED3011	183.6831
ED3012	209.8171
ED3017	131.0198
ED3040	127.5803
ED3046	234.0958
ED3048	184.3044
ED3049	98.2077
ED3052	142.0306
ED3073	155.9402
ED3077	144.4551
EG4347	145.3798
EG4349	192.1455
EG4724	85.1758
EG4725	101.6932
EG4946	155.2157
GXW1	246.6044
JT11398	215.6455
JU1088	172.4337
JU1172	123.8416
JU1200	182.1572
JU1212	71.4314
JU1213	230.5354
JU1242	178.1871
JU1246	201.0309
JU1395	165.0355
JU1400	110.8461
JU1409	101.4743
JU1440	57.4907
JU1491	171.2784
JU1530	163.5627
JU1543	214.4156
JU1568	152.3872
JU1580	77.9561
JU1581	124.0415
JU1586	136.1823
JU1652	150.7319
JU1793	106.4914
JU1808	269.5937
JU1896	141.8214
JU2001	24.2596
JU2007	165.7684
JU2131	129.0906
JU2141	118.0038
JU2234	124.7783
JU2464	136.5535
JU2466	94.5466
JU2513	136.314
JU2519	127.4038
JU2522	66.8101
JU2526	198.62
JU2534	187.2204
JU2565	64.0052
JU2566	173.6059
JU2578	134.3503
JU258	143.4511
JU2587	177.68
JU2593	250.1052
JU2600	128.9451
JU2800	173.0625
JU2862	210.7176
JU2866	197.9408
JU2878	150.8519
JU2879	141.9684
JU2906	156.6297
JU310	140.1561
JU311	166.0582
JU3125	218.6627
JU3127	128.0417
JU3134	219.0617
JU3135	229.4678
JU3137	188.6153
JU3140	184.7336
JU323	178.9111
JU346	135.574
JU360	171.1568
JU367	117.5416
JU393	127.276
JU394	119.3606
JU397	141.3123
JU406	158.6505
JU440	170.837
JU561	162.9643
JU642	162.7656
JU751	115.1158
JU774	172.7755
JU775	141.1152
JU778	159.6985
JU782	147.9058
JU792	161.9217
JU830	173.249
JU847	152.1062
KR314	123.9625
LKC34	181.4928
LSJ1	102.3472
MY1	108.2524
MY10	61.5455
MY16	172.8786
MY18	101.2802
MY2212	133.8421
MY23	227.4711
MY2453	232.0994
MY2530	159.209
MY2535	143.8685
MY2573	129.6463
MY2693	174.5677
MY2741	129.7229
MY679	78.4929
MY920	55.385
N2	39.6454
NIC1	133.2999
NIC1107	159.6837
NIC166	156.9119
NIC195	163.8147
NIC199	105.2279
NIC2	35.0363
NIC207	64.5284
NIC231	111.03
NIC236	195.8989
NIC242	129.211
NIC251	95.5757
NIC252	182.6149
NIC255	45.2407
NIC256	67.4766
NIC258	17.8777
NIC259	68.5645
NIC260	167.4953
NIC261	58.9216
NIC262	47.348
NIC265	127.3784
NIC266	72.6734
NIC267	149.831
NIC268	147.6113
NIC269	135.8201
NIC271	182.8194
NIC272	182.1795
NIC274	121.554
NIC275	160.226
NIC276	220.3079
NIC277	142.3666
NIC3	76.989
NIC513	150.9914
NIC514	130.7768
NIC522	163.9077
NIC523	148.4448
PB303	177.4297
PS2025	91.0072
PX179	163.4901
QG2075	112.5701
QG536	120.9451
QG556	172.482
QG557	79.2482
QW947	99.6838
QX1212	152.2129
QX1233	192.4037
QX1791	70.3796
QX1792	153.575
QX1793	197.4938
QX1794	157.9312
RC301	117.1442
WN2001	147.7483
WN2002	138.147
WN2033	95.5412
XZ1513	201.1027
XZ1514	86.152
XZ1516	116.5013
