strain	median
AB1	0.094196
BRC20067	0.087932
CB4852	-0.037351
CB4854	0.043569
CB4856	0.080908
CB4932	0.097393
CX11254	-0.124
CX11262	-0.052481
CX11264	0.076806
CX11271	-0.20993
CX11276	-0.067007
CX11285	-0.010419
CX11292	0.11676
CX11307	0.0091871
CX11314	-0.0025786
CX11315	0.028632
DL200	0.16974
DL226	0.19237
DL238	0.074588
ECA246	-0.14402
ECA248	0.10467
ECA250	0.070617
ECA251	0.095406
ECA252	0.026996
ECA259	0.11474
ECA348	0.17374
ECA349	0.11615
ECA36	0.11626
ECA363	0.093232
ECA372	0.050261
ECA396	-0.20232
ED3005	-0.032806
ED3011	0.010772
ED3012	-0.019791
ED3017	-0.10906
ED3040	0.071237
ED3046	0.20023
ED3048	0.1221
ED3049	0.10714
ED3052	-0.049618
ED3073	0.085822
ED3077	0.19038
EG4347	0.13284
EG4349	0.14707
EG4724	0.13283
EG4725	0.049568
EG4946	0.025087
GXW1	0.15962
JT11398	0.09356
JU1088	-0.029241
JU1172	-0.015571
JU1200	0.097238
JU1212	0.067923
JU1213	0.05822
JU1242	0.14103
JU1246	0.11993
JU1395	0.11392
JU1400	0.038385
JU1409	0.013559
JU1440	0.01206
JU1491	0.098575
JU1530	0.10248
JU1543	0.11357
JU1568	0.052724
JU1580	0.048001
JU1581	-0.042473
JU1586	0.047385
JU1652	0.11487
JU1793	-0.080725
JU1808	0.2165
JU1896	0.098208
JU2001	0.09146
JU2007	0.10942
JU2131	0.093827
JU2141	-0.21689
JU2234	0.013846
JU2464	0.19535
JU2466	0.1673
JU2513	-0.00085124
JU2519	0.23453
JU2522	-0.04214
JU2526	0.16713
JU2534	0.15953
JU2565	0.11577
JU2566	-0.056222
JU2578	0.078058
JU258	-0.012542
JU2587	0.09537
JU2593	0.044179
JU2600	0.01511
JU2800	0.18735
JU2862	-0.19043
JU2866	-0.13726
JU2878	0.079816
JU2879	0.014002
JU2906	0.072357
JU310	0.1092
JU311	-0.072634
JU3125	0.18059
JU3127	0.14705
JU3134	0.14473
JU3135	0.15384
JU3137	0.13351
JU3140	0.031819
JU323	0.06026
JU346	0.10155
JU360	-0.12814
JU367	0.062592
JU393	0.076312
JU394	0.10556
JU397	-0.068767
JU406	0.075716
JU440	-0.21021
JU561	0.18784
JU642	-0.084302
JU751	0.049898
JU774	-0.12916
JU775	0.11754
JU778	0.12759
JU782	0.062571
JU792	-0.035328
JU830	0.061191
JU847	0.036283
KR314	0.089764
LKC34	0.011382
LSJ1	-0.16685
MY1	0.037495
MY10	0.031932
MY16	0.12626
MY18	-0.028204
MY2212	0.093703
MY23	0.092546
MY2453	-0.12005
MY2530	0.1765
MY2535	0.1038
MY2573	0.070177
MY2693	0.13537
MY2741	0.14919
MY679	0.12691
MY920	0.051231
N2	0.021527
NIC1	0.005354
NIC1107	0.10678
NIC166	-0.15525
NIC195	0.13843
NIC199	-0.081221
NIC2	-0.029494
NIC207	0.026138
NIC231	-0.013225
NIC236	0.00021637
NIC242	-0.087587
NIC251	0.068796
NIC252	0.018806
NIC255	0.11443
NIC256	-0.076001
NIC258	0.014084
NIC259	-0.04825
NIC260	0.060707
NIC261	0.0037326
NIC262	1.7688e-05
NIC265	0.098612
NIC266	-0.066088
NIC267	0.10656
NIC268	0.0051268
NIC269	-0.019492
NIC271	0.048815
NIC272	0.17894
NIC274	0.079343
NIC275	0.10883
NIC276	0.11238
NIC277	0.092431
NIC3	-0.024771
NIC513	-0.024481
NIC514	-0.068409
NIC522	0.067383
NIC523	0.072225
PB303	0.23277
PS2025	-0.034977
PX179	0.06193
QG2075	0.070609
QG536	0.013038
QG556	-0.13312
QG557	-0.089692
QW947	-0.010107
QX1212	0.13358
QX1233	0.077811
QX1791	0.028813
QX1792	0.10235
QX1793	0.085449
QX1794	-0.047364
RC301	0.15573
WN2001	-0.092952
WN2002	-0.022031
WN2033	0.059854
XZ1513	-0.040659
XZ1514	-0.080763
XZ1516	-0.05722
