strain	median
AB1	-0.00042818
BRC20067	-0.0024626
CB4852	-0.0076135
CB4854	-0.0057848
CB4856	-0.0034315
CB4932	-0.0086956
CX11254	-0.0038558
CX11262	-0.0011763
CX11264	-0.0010893
CX11271	-0.0083731
CX11276	-0.00025468
CX11285	-0.00068691
CX11292	-0.0044169
CX11307	-0.0073598
CX11314	-0.0043047
CX11315	-0.0050331
DL200	-0.0028645
DL226	-0.0063219
DL238	-0.0051956
ECA246	-0.0057816
ECA248	-0.0052766
ECA250	-0.0021029
ECA251	-0.0082885
ECA252	-0.00051348
ECA259	-0.0054132
ECA348	-0.0027399
ECA349	-0.00035583
ECA36	-0.0076094
ECA363	0.001652
ECA372	-0.0097408
ECA396	-0.0033502
ED3005	-0.0084685
ED3011	-0.00381
ED3012	-0.0046455
ED3017	-0.0025731
ED3040	-0.0050755
ED3046	-0.0017496
ED3048	-0.0061728
ED3049	-0.0035926
ED3052	-0.0048146
ED3073	-0.0082297
ED3077	-0.003943
EG4347	-0.0056125
EG4349	-0.007739
EG4724	-0.00054923
EG4725	-0.0044804
EG4946	-0.0147
GXW1	-0.0075278
JT11398	-0.0025139
JU1088	-0.0014647
JU1172	-0.0056471
JU1200	-0.0038365
JU1212	-0.0059749
JU1213	-0.007156
JU1242	-0.0048469
JU1246	-0.0051407
JU1395	-0.0025606
JU1400	-0.0047793
JU1409	-0.0087036
JU1440	-0.0022834
JU1491	-0.0081716
JU1530	-0.0070684
JU1543	-0.00229
JU1568	-0.0013805
JU1580	-0.0051304
JU1581	-0.0053415
JU1586	-0.0035205
JU1652	-0.0062114
JU1793	-0.0017008
JU1808	-0.0019238
JU1896	-0.0037086
JU2001	-0.0054651
JU2007	-0.0034655
JU2131	-0.0054687
JU2141	-0.0035825
JU2234	-0.003933
JU2464	-0.014283
JU2466	-0.0064929
JU2513	-0.0041831
JU2519	-0.0036049
JU2522	-0.0011955
JU2526	-0.0040299
JU2534	-0.0034719
JU2565	-0.0012407
JU2566	-0.006211
JU2578	-0.001445
JU258	-0.0025365
JU2587	-0.0058477
JU2593	-0.010807
JU2600	-0.0021768
JU2800	-0.0062833
JU2862	-0.00021996
JU2866	-0.0039249
JU2878	-0.0068526
JU2879	-0.0048926
JU2906	0.0027485
JU310	-0.0024993
JU311	-0.0056428
JU3125	-0.0060195
JU3127	-0.0058855
JU3134	-0.0090447
JU3135	-0.0055415
JU3137	-0.0046951
JU3140	-0.00257
JU323	-0.0050451
JU346	-0.0027271
JU360	-0.0027526
JU367	-0.0051865
JU393	-0.0019491
JU394	-0.0053933
JU397	-0.0017419
JU406	-0.0067542
JU440	-0.0047417
JU561	-0.0040652
JU642	-0.0052148
JU751	-0.0027221
JU774	-0.0016204
JU775	-0.0069192
JU778	-0.0031469
JU782	-0.0018789
JU792	-0.0071516
JU830	-0.0002082
JU847	-0.0028234
KR314	-0.0021133
LKC34	-0.0062242
LSJ1	-0.0042677
MY1	-0.0073419
MY10	-0.00099946
MY16	-0.0038025
MY18	-0.0018948
MY2212	-0.005982
MY23	-0.00455
MY2453	-0.0087671
MY2530	-0.0078645
MY2535	-0.0076384
MY2573	-0.0039895
MY2693	-0.0048197
MY2741	-0.0050674
MY679	-0.004522
MY920	-0.0051836
N2	-0.001619
NIC1	-0.0018228
NIC1107	-0.0053098
NIC166	-0.0041207
NIC195	-0.0047133
NIC199	-0.0042732
NIC2	-0.0070265
NIC207	-0.0062673
NIC231	-0.0084397
NIC236	-0.0082177
NIC242	-0.0049889
NIC251	-0.0010469
NIC252	-0.0025024
NIC255	-0.00080477
NIC256	-0.0042461
NIC258	-0.0015248
NIC259	-0.0042315
NIC260	-0.0078282
NIC261	-0.0039561
NIC262	-0.0041599
NIC265	-0.014724
NIC266	-0.010247
NIC267	-0.0033704
NIC268	-0.0023298
NIC269	-0.0075835
NIC271	-0.010279
NIC272	-0.0067316
NIC274	0.00030854
NIC275	-0.0041122
NIC276	-0.0095711
NIC277	-0.0042024
NIC3	-0.0032901
NIC513	-0.0096354
NIC514	-0.0032631
NIC522	-0.0063217
NIC523	-0.0033273
PB303	-0.0033295
PS2025	-0.0046434
PX179	-0.0058759
QG2075	-0.0058124
QG536	-0.0029345
QG556	-0.0051349
QG557	-0.0038573
QW947	-0.0036311
QX1212	-0.008305
QX1233	-0.0010468
QX1791	-0.0011829
QX1792	-0.0080585
QX1793	-0.007674
QX1794	-0.0083728
RC301	-0.00054073
WN2001	-0.0017138
WN2002	-0.0062178
WN2033	-0.005355
XZ1513	-0.0052523
XZ1514	-0.00071013
XZ1516	0.00099639
