strain	median
AB1	30.3735
BRC20067	11.9353
CB4852	29.9532
CB4854	58.7648
CB4856	83.0705
CB4932	19.8892
CX11254	35.5987
CX11262	77.2304
CX11264	11.2112
CX11271	144.7248
CX11276	43.9731
CX11285	174.9794
CX11292	93.0461
CX11307	42.591
CX11314	66.3141
CX11315	27.59
DL200	48.9457
DL226	37.342
DL238	0.7646
ECA246	35.538
ECA248	73.0989
ECA250	64.8837
ECA251	116.4148
ECA252	13.1626
ECA259	102.4332
ECA348	-76.5141
ECA349	7.2766
ECA36	222.0508
ECA363	85.1193
ECA372	0.43613
ECA396	161.3746
ED3005	4.8309
ED3011	30.6516
ED3012	101.9581
ED3017	121.4085
ED3040	76.8875
ED3046	4.941
ED3048	64.9115
ED3049	96.8276
ED3052	68.1
ED3073	31.6187
ED3077	68.7002
EG4347	54.271
EG4349	-3.9331
EG4724	51.9898
EG4725	42.5073
EG4946	16.0883
GXW1	82.5775
JT11398	83.82
JU1088	60.7211
JU1172	147.6729
JU1200	31.0349
JU1212	117.1743
JU1213	72.3535
JU1242	65.7201
JU1246	137.4371
JU1395	44.7705
JU1400	14.7699
JU1409	156.4834
JU1440	6.083
JU1491	10.5515
JU1530	63.2146
JU1543	-11.7437
JU1568	-14.0728
JU1580	38.0135
JU1581	140.2659
JU1586	117.6907
JU1652	29.6933
JU1793	43.4253
JU1808	34.758
JU1896	97.0188
JU2001	103.3962
JU2007	3.1281
JU2131	22.38
JU2141	34.4912
JU2234	-5.6855
JU2464	34.119
JU2466	55.7168
JU2513	82.0638
JU2519	46.8936
JU2522	68.7816
JU2526	95.6771
JU2534	59.994
JU2565	34.1117
JU2566	78.3273
JU2578	116.918
JU258	21.1436
JU2587	22.871
JU2593	59.7271
JU2600	21.6693
JU2800	156.8157
JU2862	128.8259
JU2866	6.5467
JU2878	168.5513
JU2879	119.8204
JU2906	15.5478
JU310	39.0494
JU311	75.7679
JU3125	-25.9154
JU3127	116.8163
JU3134	109.2668
JU3135	116.3909
JU3137	44.3485
JU3140	113.6782
JU323	15.4105
JU346	28.7708
JU360	139.6614
JU367	56.7238
JU393	102.6768
JU394	46.9155
JU397	125.9499
JU406	27.5869
JU440	85.6666
JU561	59.5961
JU642	70.4521
JU751	65.1597
JU774	66.527
JU775	38.6053
JU778	60.0795
JU782	28.0959
JU792	-41.2029
JU830	43.4441
JU847	45.8103
KR314	-25.7423
LKC34	90.7579
LSJ1	57.9805
MY1	5.3588
MY10	-0.9693
MY16	4.135
MY18	127.9199
MY2212	131.9387
MY23	69.3492
MY2453	-30.9492
MY2530	56.0266
MY2535	81.0362
MY2573	-1.5312
MY2693	37.6574
MY2741	43.0896
MY679	-11.1213
MY920	64.4061
N2	-5.6291
NIC1	53.7972
NIC1107	-33.2781
NIC166	73.061
NIC195	64.4656
NIC199	84.6243
NIC2	40.9356
NIC207	38.4976
NIC231	136.0633
NIC236	54.7083
NIC242	66.6912
NIC251	76.3183
NIC252	174.8096
NIC255	62.5087
NIC256	77.7461
NIC258	28.4535
NIC259	117.8475
NIC260	-58.1809
NIC261	117.4825
NIC262	66.4586
NIC265	56.3626
NIC266	74.4898
NIC267	104.1353
NIC268	184.5864
NIC269	21.1882
NIC271	86.9186
NIC272	81.7228
NIC274	51.6706
NIC275	45.6236
NIC276	71.3795
NIC277	108.3365
NIC3	27.6354
NIC513	113.7057
NIC514	85.3199
NIC522	60.7413
NIC523	40.2726
PB303	-27.2448
PS2025	36.5276
PX179	92.8393
QG2075	81.4878
QG536	115.521
QG556	39.8389
QG557	78.1597
QW947	33.2963
QX1212	-15.6445
QX1233	80.3105
QX1791	67.0356
QX1792	54.355
QX1793	77.2504
QX1794	39.8607
RC301	40.3223
WN2001	60.9415
WN2002	1.2152
WN2033	12.1678
XZ1513	-7.6593
XZ1514	-10.3338
XZ1516	84.5687
