strain	median
AB1	-0.1558
BRC20067	-0.27351
CB4852	-0.48772
CB4854	-0.48735
CB4856	-0.57047
CB4932	-0.22339
CX11254	-0.57306
CX11262	-0.64348
CX11264	-0.36268
CX11271	-0.55536
CX11276	-0.18948
CX11285	-1.0482
CX11292	-0.36754
CX11307	-0.11796
CX11314	-0.020007
CX11315	-0.3926
DL200	0.022356
DL226	-0.51681
DL238	-0.1063
ECA246	-0.34334
ECA248	-0.78086
ECA250	-0.39043
ECA251	-0.45886
ECA252	-0.041625
ECA259	-0.78718
ECA348	0.29684
ECA349	-0.39891
ECA36	-0.92216
ECA363	0.11497
ECA372	-0.4363
ECA396	-1.73
ED3005	-0.27315
ED3011	-0.5474
ED3012	-0.25318
ED3017	-0.51467
ED3040	-0.51778
ED3046	-0.015664
ED3048	-0.50115
ED3049	-0.23608
ED3052	-0.69175
ED3073	-0.21308
ED3077	-0.3147
EG4347	-0.43397
EG4349	-0.14718
EG4724	0.038777
EG4725	-0.062506
EG4946	-0.3967
GXW1	-0.45009
JT11398	-0.20919
JU1088	-0.28696
JU1172	-0.84514
JU1200	-0.18654
JU1212	-0.67594
JU1213	-0.78554
JU1242	-0.14465
JU1246	-0.52559
JU1395	0.054642
JU1400	-0.13246
JU1409	-0.97325
JU1440	-0.63645
JU1491	-0.33449
JU1530	-0.45128
JU1543	-0.08635
JU1568	0.1011
JU1580	-0.32536
JU1581	-0.55184
JU1586	-0.6525
JU1652	-0.27242
JU1793	-0.43106
JU1808	-0.24522
JU1896	-0.43763
JU2001	-0.37422
JU2007	-0.31232
JU2131	-0.126
JU2141	-0.6063
JU2234	-0.58645
JU2464	-0.23295
JU2466	-0.28966
JU2513	-0.6044
JU2519	-0.07533
JU2522	-0.52697
JU2526	-0.82332
JU2534	-0.46304
JU2565	-0.24799
JU2566	-0.71242
JU2578	-0.14901
JU258	-0.52153
JU2587	0.021811
JU2593	-0.1323
JU2600	-0.41945
JU2800	-0.35703
JU2862	-0.47013
JU2866	-0.61477
JU2878	-0.23905
JU2879	-0.52217
JU2906	0.29066
JU310	-0.046362
JU311	-0.4203
JU3125	-0.11271
JU3127	-0.35761
JU3134	-0.71404
JU3135	-0.46855
JU3137	-0.44046
JU3140	-0.48239
JU323	-0.24882
JU346	-0.11795
JU360	-0.64157
JU367	-0.50344
JU393	-0.30188
JU394	-0.42181
JU397	-0.34066
JU406	-0.23073
JU440	-0.48931
JU561	-0.33898
JU642	-0.53881
JU751	-0.29825
JU774	-0.48423
JU775	-0.45444
JU778	-0.29081
JU782	-0.2617
JU792	-0.57687
JU830	-0.17545
JU847	-0.57191
KR314	0.011692
LKC34	-0.28521
LSJ1	-0.12572
MY1	-0.23013
MY10	-0.13228
MY16	-0.3491
MY18	-0.32979
MY2212	-0.27128
MY23	-0.57664
MY2453	-0.43537
MY2530	-0.20343
MY2535	-0.58538
MY2573	-0.42005
MY2693	-0.11238
MY2741	-0.31329
MY679	0.11029
MY920	-0.45778
N2	0.21831
NIC1	-0.63233
NIC1107	-0.41371
NIC166	-0.36359
NIC195	-0.39266
NIC199	-0.40787
NIC2	-0.48594
NIC207	-0.52136
NIC231	-0.30857
NIC236	-0.53158
NIC242	-0.48543
NIC251	-0.17449
NIC252	-1.0588
NIC255	-0.4352
NIC256	-0.57224
NIC258	0.013877
NIC259	-0.68797
NIC260	-0.065639
NIC261	-0.50633
NIC262	-0.64712
NIC265	-0.3162
NIC266	-0.20354
NIC267	-0.053671
NIC268	-0.64087
NIC269	-0.25017
NIC271	-0.41901
NIC272	-0.17527
NIC274	-0.4643
NIC275	-0.42672
NIC276	-0.19681
NIC277	-0.55507
NIC3	-0.28133
NIC513	-0.47518
NIC514	-0.19154
NIC522	-0.47712
NIC523	-0.09405
PB303	-0.21484
PS2025	-0.2557
PX179	-0.43225
QG2075	-0.2906
QG536	-0.63625
QG556	-0.11127
QG557	-0.66296
QW947	-0.5354
QX1212	-0.098909
QX1233	-0.074665
QX1791	-0.43686
QX1792	-0.43873
QX1793	-0.61295
QX1794	-0.37078
RC301	-0.35113
WN2001	-0.73482
WN2002	-0.52521
WN2033	-0.37352
XZ1513	-0.07833
XZ1514	0.38483
XZ1516	-0.18036
