strain	median
AB1	-30.0096
BRC20067	3.9015
CB4852	-7.2926
CB4854	-55.1366
CB4856	-70.3624
CB4932	-19.1956
CX11254	-15.8413
CX11262	-68.1671
CX11264	8.8598
CX11271	-110.4508
CX11276	-38.0826
CX11285	-123.3504
CX11292	-84.5315
CX11307	-1.0281
CX11314	-71.5446
CX11315	-18.1943
DL200	-27.7195
DL226	-15.637
DL238	19.2997
ECA246	-8.4286
ECA248	-53.9011
ECA250	-39.1048
ECA251	-66.6857
ECA252	-5.8482
ECA259	-46.0194
ECA348	83.7789
ECA349	23.0943
ECA36	-137.3374
ECA363	-76.448
ECA372	9.4686
ECA396	-111.8489
ED3005	-14.8091
ED3011	-26.726
ED3012	-87.6714
ED3017	-79.8201
ED3040	-81.0001
ED3046	-20.6403
ED3048	-53.4347
ED3049	-90.5391
ED3052	-74.4254
ED3073	-14.5071
ED3077	-58.7434
EG4347	-50.7284
EG4349	5.7262
EG4724	-51.0725
EG4725	-38.3983
EG4946	-16.3361
GXW1	-55.1155
JT11398	-61.1031
JU1088	-58.1992
JU1172	-117.5276
JU1200	-33.6258
JU1212	-87.7491
JU1213	-45.1904
JU1242	-42.5929
JU1246	-100.9389
JU1395	-44.6074
JU1400	-6.6391
JU1409	-116.0359
JU1440	8.6518
JU1491	-8.4053
JU1530	-38.4785
JU1543	4.9203
JU1568	33.5849
JU1580	-45.649
JU1581	-106.4343
JU1586	-107.2155
JU1652	-32.4797
JU1793	-46.9205
JU1808	-27.7116
JU1896	-56.4009
JU2001	-74.2794
JU2007	-12.0753
JU2131	-12.1229
JU2141	-11.2215
JU2234	9.1237
JU2464	-38.9394
JU2466	-37.9493
JU2513	-96.3655
JU2519	-13.8344
JU2522	-37.1507
JU2526	-51.9016
JU2534	-40.6253
JU2565	-42.0889
JU2566	-62.4729
JU2578	-102.4165
JU258	-30.0404
JU2587	11.9337
JU2593	-5.5419
JU2600	-44.9782
JU2800	-91.7428
JU2862	-111.8592
JU2866	-0.79907
JU2878	-134.5109
JU2879	-71.0473
JU2906	-20.6717
JU310	-23.3636
JU311	-61.3064
JU3125	33.029
JU3127	-61.1025
JU3134	-77.7121
JU3135	-102.3009
JU3137	-22.7759
JU3140	-67.7291
JU323	-2.4596
JU346	-8.7158
JU360	-118.2435
JU367	-28.2985
JU393	-74.5612
JU394	-33.2986
JU397	-77.8857
JU406	-12.7361
JU440	-70.0221
JU561	-43.613
JU642	-48.7509
JU751	-51.8714
JU774	-45.5336
JU775	-14.1328
JU778	-46.5776
JU782	-7.0672
JU792	21.3433
JU830	-8.2409
JU847	-45.7219
KR314	15.2051
LKC34	-78.1378
LSJ1	-18.4352
MY1	2.7069
MY10	-4.3724
MY16	-23.2057
MY18	-132.5905
MY2212	-97.9965
MY23	-61.9673
MY2453	32.8887
MY2530	-33.5469
MY2535	-50.2661
MY2573	1.21
MY2693	-20.9478
MY2741	-26.6644
MY679	14.8753
MY920	-38.8048
N2	1.414
NIC1	-48.4338
NIC1107	27.4241
NIC166	-76.9284
NIC195	-54.1985
NIC199	-26.1153
NIC2	-43.9204
NIC207	-36.2867
NIC231	-95.3717
NIC236	-44.0126
NIC242	-51.7844
NIC251	-68.4632
NIC252	-90.6613
NIC255	-46.1587
NIC256	-59.9433
NIC258	-23.9145
NIC259	-115.4143
NIC260	42.9821
NIC261	-120.7659
NIC262	-38.924
NIC265	-33.7484
NIC266	-59.0096
NIC267	-106.2799
NIC268	-110.8985
NIC269	-17.9096
NIC271	-71.2093
NIC272	-28.5746
NIC274	-43.5327
NIC275	-39.717
NIC276	-48.4865
NIC277	-107.4412
NIC3	-32.2105
NIC513	-92.3031
NIC514	-49.2559
NIC522	-35.3954
NIC523	-41.1318
PB303	32.7728
PS2025	-4.4888
PX179	-64.6057
QG2075	-43.5059
QG536	-91.4642
QG556	-35.4115
QG557	-45.6619
QW947	-42.0446
QX1212	21.6877
QX1233	-61.506
QX1791	-26.7
QX1792	-43.4129
QX1793	-37.4996
QX1794	-33.0667
RC301	-44.8796
WN2001	-71.5112
WN2002	5.8334
WN2033	-27.2909
XZ1513	36.1062
XZ1514	19.7058
XZ1516	-55.6887
