strain	median
AB1	0.1205
BRC20067	0.44993
CB4852	0.59061
CB4854	0.64733
CB4856	1.3144
CB4932	0.24903
CX11254	0.98602
CX11262	1.2073
CX11264	0.51635
CX11271	0.45405
CX11276	0.75961
CX11285	2.6148
CX11292	0.65242
CX11307	0.24372
CX11314	-0.11928
CX11315	0.92147
DL200	0.39084
DL226	0.98138
DL238	0.16382
ECA246	0.75684
ECA248	1.7081
ECA250	0.49821
ECA251	0.82246
ECA252	-0.082101
ECA259	1.5868
ECA348	-0.88984
ECA349	0.56201
ECA36	2.5852
ECA363	-0.44258
ECA372	0.94129
ECA396	3.9476
ED3005	0.022103
ED3011	0.88804
ED3012	0.39296
ED3017	1.3665
ED3040	0.79974
ED3046	0.52229
ED3048	1.1106
ED3049	0.87917
ED3052	1.0077
ED3073	0.60188
ED3077	1.1415
EG4347	0.88152
EG4349	0.38075
EG4724	0.13953
EG4725	0.67845
EG4946	0.47548
GXW1	1.4081
JT11398	0.25874
JU1088	1.1805
JU1172	1.7661
JU1200	0.41315
JU1212	0.91058
JU1213	1.7142
JU1242	-0.095336
JU1246	0.95996
JU1395	0.0065336
JU1400	0.61264
JU1409	2.3389
JU1440	0.99561
JU1491	0.66731
JU1530	0.48453
JU1543	-0.18612
JU1568	-0.48267
JU1580	0.71373
JU1581	1.7157
JU1586	0.78252
JU1652	0.64964
JU1793	1.3246
JU1808	1.0287
JU1896	0.64205
JU2001	0.60463
JU2007	0.64812
JU2131	0.18948
JU2141	1.4115
JU2234	1.5711
JU2464	0.52511
JU2466	0.54868
JU2513	1.2645
JU2519	0.50978
JU2522	0.71888
JU2526	1.0363
JU2534	0.92915
JU2565	0.51156
JU2566	0.53899
JU2578	0.85191
JU258	0.81971
JU2587	0.30184
JU2593	0.10771
JU2600	0.72976
JU2800	1.2664
JU2862	1.5963
JU2866	1.7887
JU2878	0.83281
JU2879	1.3437
JU2906	-0.74
JU310	-0.15766
JU311	0.63039
JU3125	0.011081
JU3127	0.46481
JU3134	1.3328
JU3135	1.5267
JU3137	1.0591
JU3140	1.4983
JU323	0.40627
JU346	-0.14139
JU360	2.0386
JU367	0.97902
JU393	1.1198
JU394	0.54183
JU397	1.5285
JU406	0.56008
JU440	0.57557
JU561	0.4644
JU642	1.0584
JU751	1.0497
JU774	1.0231
JU775	0.44743
JU778	0.84695
JU782	0.24075
JU792	1.2184
JU830	-0.17908
JU847	1.0451
KR314	-0.35277
LKC34	0.67948
LSJ1	0.55512
MY1	0.13712
MY10	0.20006
MY16	0.54128
MY18	1.5603
MY2212	0.64478
MY23	1.1141
MY2453	0.79301
MY2530	0.55095
MY2535	0.68549
MY2573	0.78192
MY2693	0.55737
MY2741	0.41367
MY679	0.3449
MY920	1.2117
N2	-0.31631
NIC1	0.91988
NIC1107	0.6906
NIC166	0.86166
NIC195	0.74037
NIC199	0.63872
NIC2	0.83606
NIC207	0.92722
NIC231	0.82075
NIC236	1.0896
NIC242	1.0587
NIC251	0.47935
NIC252	2.6672
NIC255	0.78506
NIC256	1.1067
NIC258	-0.11223
NIC259	1.3712
NIC260	-0.13129
NIC261	0.92875
NIC262	1.2121
NIC265	0.42787
NIC266	0.41018
NIC267	-0.016652
NIC268	1.8462
NIC269	1.3502
NIC271	0.49758
NIC272	-0.136
NIC274	0.71492
NIC275	0.61891
NIC276	0.37217
NIC277	1.1463
NIC3	0.64993
NIC513	0.90973
NIC514	0.21482
NIC522	0.80673
NIC523	-0.013098
PB303	0.081368
PS2025	0.90961
PX179	0.6232
QG2075	0.85866
QG536	1.345
QG556	0.60009
QG557	1.1693
QW947	0.81536
QX1212	-0.038527
QX1233	-0.33452
QX1791	0.81539
QX1792	1.0504
QX1793	0.5478
QX1794	0.091984
RC301	0.53545
WN2001	1.683
WN2002	1.4147
WN2033	0.87955
XZ1513	0.30505
XZ1514	-0.50029
XZ1516	0.51375
