strain	median
AB1	-0.56036
BRC20067	-1.1191
CB4852	-1.1112
CB4854	-1.0695
CB4856	-1.676
CB4932	-0.70373
CX11254	-1.1755
CX11262	-2.2194
CX11264	-1.005
CX11271	-0.89476
CX11276	-1.8611
CX11285	-2.8578
CX11292	-1.033
CX11307	-0.75544
CX11314	-0.52002
CX11315	-1.5487
DL200	-0.659
DL226	-1.6513
DL238	0.07587
ECA246	-0.67246
ECA248	-2.025
ECA250	-0.38728
ECA251	-1.4349
ECA252	0.14035
ECA259	-1.9564
ECA348	0.6229
ECA349	-1.243
ECA36	-2.5746
ECA363	-0.29375
ECA372	-1.6385
ECA396	-4.4536
ED3005	-0.73436
ED3011	-1.6808
ED3012	-0.74984
ED3017	-1.695
ED3040	-1.5119
ED3046	-0.58799
ED3048	-1.5665
ED3049	-1.0581
ED3052	-1.417
ED3073	-0.6014
ED3077	-1.6947
EG4347	-1.2709
EG4349	-0.61462
EG4724	-0.42364
EG4725	-1.0118
EG4946	-0.70497
GXW1	-1.4957
JT11398	-0.50163
JU1088	-1.2387
JU1172	-2.297
JU1200	-0.72254
JU1212	-1.2408
JU1213	-2.391
JU1242	-0.55309
JU1246	-1.1776
JU1395	-0.27185
JU1400	-0.646
JU1409	-3.1357
JU1440	-1.1604
JU1491	-0.88565
JU1530	-1.1496
JU1543	-0.26029
JU1568	0.30922
JU1580	-1.1316
JU1581	-2.6207
JU1586	-1.2433
JU1652	-1.4173
JU1793	-1.6353
JU1808	-1.3521
JU1896	-1.1571
JU2001	-0.9788
JU2007	-0.86783
JU2131	-0.60262
JU2141	-1.7915
JU2234	-1.2159
JU2464	-0.63234
JU2466	-0.74312
JU2513	-1.9603
JU2519	-0.65523
JU2522	-1.1478
JU2526	-2.2848
JU2534	-0.88602
JU2565	-0.76258
JU2566	-0.91461
JU2578	-1.1287
JU258	-1.2638
JU2587	-0.53017
JU2593	-0.43149
JU2600	-1.656
JU2800	-1.539
JU2862	-2.6844
JU2866	-2.1108
JU2878	-1.4802
JU2879	-1.3638
JU2906	0.034479
JU310	-0.17215
JU311	-1.2342
JU3125	-0.63535
JU3127	-0.79064
JU3134	-1.7524
JU3135	-1.6758
JU3137	-1.2943
JU3140	-1.6601
JU323	-1.1607
JU346	-0.15614
JU360	-3.4016
JU367	-1.2361
JU393	-1.3282
JU394	-0.77713
JU397	-1.517
JU406	-0.75099
JU440	-1.3153
JU561	-0.73265
JU642	-1.6573
JU751	-2.4421
JU774	-1.3806
JU775	-0.9926
JU778	-0.91124
JU782	-0.6826
JU792	-1.5512
JU830	-0.75234
JU847	-1.8412
KR314	-0.033987
LKC34	-1.0949
LSJ1	-0.74496
MY1	-0.32953
MY10	-0.8061
MY16	-0.71705
MY18	-2.2752
MY2212	-1.3615
MY23	-2.0262
MY2453	-0.7871
MY2530	-0.87493
MY2535	-0.84924
MY2573	-1.2777
MY2693	-0.43439
MY2741	-1.1416
MY679	-0.39748
MY920	-1.9819
N2	0.3176
NIC1	-1.225
NIC1107	-1.2702
NIC166	-1.4119
NIC195	-2.0797
NIC199	-1.4306
NIC2	-1.7424
NIC207	-1.6105
NIC231	-1.4849
NIC236	-1.6077
NIC242	-1.2912
NIC251	-1.2827
NIC252	-2.815
NIC255	-1.6163
NIC256	-1.6107
NIC258	-0.066841
NIC259	-1.9291
NIC260	-0.44287
NIC261	-1.2657
NIC262	-1.8908
NIC265	-0.49087
NIC266	-0.8604
NIC267	-0.66946
NIC268	-2.5141
NIC269	-1.3418
NIC271	-1.2565
NIC272	-0.56995
NIC274	-1.0564
NIC275	-0.75257
NIC276	-1.3287
NIC277	-1.9758
NIC3	-1.0099
NIC513	-1.3028
NIC514	-0.97047
NIC522	-0.83245
NIC523	-0.10827
PB303	-0.79746
PS2025	-1.486
PX179	-1.2024
QG2075	-1.2519
QG536	-1.9868
QG556	-0.86582
QG557	-1.6994
QW947	-1.573
QX1212	-0.39706
QX1233	-0.33159
QX1791	-0.97738
QX1792	-1.6015
QX1793	-0.94817
QX1794	-0.57495
RC301	-1.0807
WN2001	-1.6427
WN2002	-1.6631
WN2033	-1.3955
XZ1513	-0.56463
XZ1514	0.13222
XZ1516	-0.22337
