strain	median
AB1	-54.9173
BRC20067	-23.0167
CB4852	-22.748
CB4854	-36.612
CB4856	-15.1653
CB4932	-32.1698
CX11254	-18.3058
CX11262	0
CX11264	-18.3058
CX11271	-21.4462
CX11276	-29.0294
CX11285	-11.374
CX11292	-25.8884
CX11307	-15.1646
CX11314	-18.3058
CX11315	-13.8645
DL200	-18.3058
DL226	-29.0289
DL238	-18.306
ECA246	-11.3735
ECA248	-29.0294
ECA250	-15.1653
ECA251	-10.7226
ECA252	-7.5822
ECA259	-15.1649
ECA348	-7.5827
ECA349	-18.3058
ECA36	-18.3058
ECA363	-7.5827
ECA372	-27.4587
ECA396	-3.1404
ED3005	-59.3591
ED3011	-18.3063
ED3012	-21.4467
ED3017	-18.3058
ED3040	-29.0291
ED3046	-44.1942
ED3048	-27.4589
ED3049	-4.4417
ED3052	-27.1893
ED3073	-25.888
ED3077	-39.753
EG4347	-36.6116
EG4349	-36.6116
EG4724	-25.8889
EG4725	-18.9564
EG4946	-25.8889
GXW1	-30.3302
JT11398	-38.8324
JU1088	-18.3058
JU1172	-3.1404
JU1200	-29.0289
JU1212	-7.5827
JU1213	-25.8884
JU1242	-25.8884
JU1246	-18.3058
JU1395	-30.3302
JU1400	-3.1404
JU1409	-22.7475
JU1440	-29.0294
JU1491	-18.3058
JU1530	-10.7226
JU1543	-25.8884
JU1568	-54.9173
JU1580	-10.7236
JU1581	-22.747
JU1586	-25.8884
JU1652	-29.0289
JU1793	-9.1531
JU1808	-63.8008
JU1896	-22.748
JU2001	-7.5827
JU2007	-29.0289
JU2131	-36.6116
JU2141	-10.7236
JU2234	-18.3058
JU2464	-29.0289
JU2466	-21.4462
JU2513	-15.1644
JU2519	-29.0298
JU2522	-18.3058
JU2526	-21.4462
JU2534	-21.4467
JU2565	-21.4467
JU2566	-18.3058
JU2578	-41.0538
JU258	-14.5147
JU2587	-41.0528
JU2593	-25.8889
JU2600	-18.3058
JU2800	-32.1698
JU2862	-29.0289
JU2866	-25.888
JU2878	-22.0971
JU2879	-18.3058
JU2906	4.4417
JU310	-29.0294
JU311	-16.0849
JU3125	-15.1653
JU3127	-15.1653
JU3134	-25.8884
JU3135	-33.4711
JU3137	-18.3058
JU3140	-7.5827
JU323	-25.888
JU346	-18.3058
JU360	-17.0045
JU367	-10.7236
JU393	-36.6116
JU394	-36.6116
JU397	-18.3063
JU406	-25.888
JU440	-3.1414
JU561	-41.0533
JU642	-18.3058
JU751	-41.0538
JU774	-15.1649
JU775	-18.3055
JU778	-36.6116
JU782	-29.0289
JU792	-22.7475
JU830	-44.1942
JU847	-18.3058
KR314	-47.3347
LKC34	-29.0289
LSJ1	-18.3053
MY1	-18.3058
MY10	-3.1409
MY16	-33.4706
MY18	-18.3058
MY2212	-7.5822
MY23	-18.3063
MY2453	-37.9124
MY2530	-33.4711
MY2535	-7.5827
MY2573	-10.7234
MY2693	-15.1649
MY2741	-25.888
MY679	-18.3058
MY920	-15.1653
N2	-15.1649
NIC1	-33.4706
NIC1107	-7.5825
NIC166	-18.306
NIC195	-29.0289
NIC199	-18.3067
NIC2	-29.0294
NIC207	-18.3058
NIC231	-29.0294
NIC236	-21.4467
NIC242	-25.8884
NIC251	-47.3347
NIC252	-44.194
NIC255	-22.747
NIC256	-28.1096
NIC258	-7.5827
NIC259	-22.747
NIC260	-25.8884
NIC261	-12.0244
NIC262	-10.7236
NIC265	-25.8884
NIC266	-13.864
NIC267	-29.0291
NIC268	-29.0289
NIC269	-10.7231
NIC271	-10.7231
NIC272	-29.0294
NIC274	-18.3058
NIC275	-21.4469
NIC276	-22.748
NIC277	-27.4587
NIC3	-18.306
NIC513	-18.3063
NIC514	-18.3058
NIC522	-27.4589
NIC523	-18.3058
PB303	-25.8884
PS2025	-7.5822
PX179	-7.5827
QG2075	-3.7916
QG536	-21.4467
QG556	-10.7231
QG557	-13.864
QW947	-25.8882
QX1212	-25.8884
QX1233	-29.0294
QX1791	-15.1644
QX1792	-36.612
QX1793	-7.5827
QX1794	-15.1649
RC301	-29.0294
WN2001	-21.4462
WN2002	-22.7475
WN2033	-36.6116
XZ1513	-18.3058
XZ1514	-7.5822
XZ1516	-10.7231
