strain	median
AB1	17.0821
BRC20067	13.5761
CB4852	23.9802
CB4854	9.4857
CB4856	13.008
CB4932	16.0131
CX11254	17.6855
CX11262	4.2779
CX11264	1.3309
CX11271	7.32
CX11276	6.6625
CX11285	-3.9251
CX11292	8.0155
CX11307	11.6017
CX11314	14.1755
CX11315	18.4074
DL200	1.2913
DL226	13.5712
DL238	17.5018
ECA246	13.0455
ECA248	6.892
ECA250	11.5012
ECA251	5.9953
ECA252	3.3705
ECA259	14.2095
ECA348	17.163
ECA349	17.568
ECA36	8.3946
ECA363	-2.7161
ECA372	13.8471
ECA396	-0.41437
ED3005	15.8265
ED3011	19.2971
ED3012	13.4823
ED3017	12.2948
ED3040	10.6703
ED3046	13.9146
ED3048	14.2829
ED3049	6.9865
ED3052	9.983
ED3073	13.3714
ED3077	13.4408
EG4347	21.2623
EG4349	16.1646
EG4724	14.9014
EG4725	8.0983
EG4946	16.9941
GXW1	9.1096
JT11398	12.8226
JU1088	11.0179
JU1172	10.4977
JU1200	12.9904
JU1212	14.8021
JU1213	13.0864
JU1242	10.3962
JU1246	3.6299
JU1395	13.5944
JU1400	1.3803
JU1409	18.5446
JU1440	12.2741
JU1491	12.5939
JU1530	14.2233
JU1543	-0.32881
JU1568	18.4879
JU1580	0.4699
JU1581	14.7895
JU1586	10.0538
JU1652	20.2698
JU1793	0.047374
JU1808	8.3282
JU1896	14.224
JU2001	1.6279
JU2007	8.9829
JU2131	13.1201
JU2141	14.1871
JU2234	10.2381
JU2464	6.8322
JU2466	10.0236
JU2513	7.605
JU2519	13.2493
JU2522	8.2276
JU2526	18.6737
JU2534	13.949
JU2565	2.5441
JU2566	18.0754
JU2578	3.5954
JU258	11.3633
JU2587	12.2027
JU2593	16.401
JU2600	7.7234
JU2800	19.5439
JU2862	7.989
JU2866	14.9057
JU2878	12.4215
JU2879	13.2759
JU2906	5.3824
JU310	13.0901
JU311	22.5342
JU3125	16.1659
JU3127	6.8567
JU3134	14.281
JU3135	14.7365
JU3137	9.2862
JU3140	15.6588
JU323	15.5491
JU346	18.3432
JU360	15.5713
JU367	14.7727
JU393	4.9045
JU394	6.607
JU397	13.4849
JU406	8.9973
JU440	16.5652
JU561	17.4532
JU642	12.2544
JU751	-4.9119
JU774	14.0454
JU775	9.4971
JU778	16.1213
JU782	9.518
JU792	21.3454
JU830	8.3896
JU847	13.3205
KR314	16.723
LKC34	9.095
LSJ1	7.1156
MY1	16.3424
MY10	-1.0622
MY16	12.1626
MY18	9.9047
MY2212	9.7899
MY23	17.2054
MY2453	11.819
MY2530	4.2602
MY2535	9.1268
MY2573	12.2964
MY2693	12.1369
MY2741	15.2182
MY679	12.9611
MY920	12.2418
N2	3.8683
NIC1	8.3377
NIC1107	7.8312
NIC166	16.3048
NIC195	17.6671
NIC199	12.2878
NIC2	13.9061
NIC207	17.1224
NIC231	8.19
NIC236	12.577
NIC242	14.3279
NIC251	-2.3656
NIC252	12.9059
NIC255	7.0428
NIC256	9.3361
NIC258	1.8013
NIC259	8.6496
NIC260	25.3143
NIC261	6.5922
NIC262	-1.2091
NIC265	7.066
NIC266	15.7274
NIC267	3.1461
NIC268	16.362
NIC269	13.1841
NIC271	11.9299
NIC272	0.33991
NIC274	19.3003
NIC275	11.9314
NIC276	17.268
NIC277	15.1239
NIC3	9.3727
NIC513	6.9457
NIC514	11.7244
NIC522	8.8038
NIC523	7.781
PB303	18.5461
PS2025	10.2802
PX179	9.6771
QG2075	-3.7888
QG536	5.3094
QG556	4.823
QG557	17.7155
QW947	12.8835
QX1212	14.2593
QX1233	11.9915
QX1791	8.2657
QX1792	9.6451
QX1793	12.8169
QX1794	13.6199
RC301	9.6627
WN2001	4.8957
WN2002	16.1968
WN2033	7.0516
XZ1513	26.3989
XZ1514	1.2858
XZ1516	-0.86987
