strain	median
AB1	0.014371
BRC20067	0.012665
CB4852	0.011354
CB4854	0.010173
CB4856	0.0087271
CB4932	0.015696
CX11254	0.0031179
CX11262	0.004648
CX11264	0.0081317
CX11271	0.017095
CX11276	0.0082902
CX11285	0.01297
CX11292	0.011682
CX11307	0.011814
CX11314	0.012896
CX11315	0.013116
DL200	0.012874
DL226	0.012039
DL238	0.01231
ECA246	0.0075778
ECA248	0.0052805
ECA250	0.010514
ECA251	0.01107
ECA252	0.0078318
ECA259	0.009585
ECA348	0.012506
ECA349	0.010948
ECA36	0.012124
ECA363	0.012515
ECA372	0.010563
ECA396	0.0083512
ED3005	0.014034
ED3011	0.0096318
ED3012	0.012291
ED3017	0.0063297
ED3040	0.0095201
ED3046	0.013291
ED3048	0.015305
ED3049	0.0081387
ED3052	0.010361
ED3073	0.011623
ED3077	0.015965
EG4347	0.010112
EG4349	0.0065283
EG4724	0.0075249
EG4725	0.0088395
EG4946	0.014524
GXW1	0.018697
JT11398	0.018778
JU1088	0.011234
JU1172	0.0049172
JU1200	0.0094552
JU1212	0.015348
JU1213	0.013523
JU1242	0.015985
JU1246	0.0054429
JU1395	0.0095079
JU1400	0.0060374
JU1409	0.015451
JU1440	0.012384
JU1491	0.011601
JU1530	0.01296
JU1543	0.013885
JU1568	0.011069
JU1580	0.0052603
JU1581	0.014082
JU1586	0.011178
JU1652	0.010316
JU1793	0.0038584
JU1808	0.0077955
JU1896	0.0085239
JU2001	0.014691
JU2007	0.0089727
JU2131	0.014254
JU2141	0.008209
JU2234	-2.1774e-05
JU2464	0.016316
JU2466	0.014
JU2513	0.00772
JU2519	0.012906
JU2522	0.0092802
JU2526	0.012281
JU2534	0.016612
JU2565	0.0054974
JU2566	0.0051878
JU2578	0.010721
JU258	0.0087356
JU2587	0.013979
JU2593	0.0069791
JU2600	0.0098333
JU2800	0.016572
JU2862	0.0075751
JU2866	0.0054874
JU2878	0.014243
JU2879	0.012564
JU2906	0.0082609
JU310	0.010181
JU311	0.011966
JU3125	0.0081387
JU3127	0.0099138
JU3134	0.016438
JU3135	0.01181
JU3137	0.012409
JU3140	0.0027686
JU323	0.011976
JU346	0.0079269
JU360	0.0095507
JU367	0.012932
JU393	0.012254
JU394	0.013135
JU397	0.0071218
JU406	0.0070092
JU440	0.0025116
JU561	0.0095632
JU642	0.013713
JU751	0.0078387
JU774	0.0065468
JU775	0.011232
JU778	0.020205
JU782	0.0056583
JU792	0.0092526
JU830	0.012591
JU847	0.011135
KR314	0.009395
LKC34	0.010745
LSJ1	0.0044838
MY1	0.010577
MY10	0.0060703
MY16	0.010858
MY18	0.0078153
MY2212	0.011165
MY23	0.012325
MY2453	0.0044011
MY2530	0.0096083
MY2535	0.0075243
MY2573	0.0097423
MY2693	0.010909
MY2741	0.013782
MY679	0.0060141
MY920	0.011136
N2	0.0041775
NIC1	0.010351
NIC1107	0.0076449
NIC166	0.01164
NIC195	0.013045
NIC199	0.010931
NIC2	0.0093371
NIC207	0.0079397
NIC231	0.0071957
NIC236	0.012264
NIC242	0.012398
NIC251	0.0074638
NIC252	0.017865
NIC255	0.012528
NIC256	0.010603
NIC258	0.0022306
NIC259	0.0085868
NIC260	0.0092613
NIC261	0.0085048
NIC262	0.0011088
NIC265	0.012548
NIC266	0.0088773
NIC267	0.011628
NIC268	0.010036
NIC269	0.0081087
NIC271	0.011387
NIC272	0.009449
NIC274	0.0096089
NIC275	0.010346
NIC276	0.011626
NIC277	0.016383
NIC3	0.010953
NIC513	0.014827
NIC514	0.0086809
NIC522	0.0071356
NIC523	0.00912
PB303	0.014518
PS2025	0.0079669
PX179	0.010485
QG2075	0.005015
QG536	0.0083538
QG556	0.013492
QG557	0.017525
QW947	0.012284
QX1212	0.006566
QX1233	0.012982
QX1791	0.011471
QX1792	0.0087828
QX1793	0.0055189
QX1794	0.013935
RC301	0.012538
WN2001	0.013216
WN2002	0.010834
WN2033	0.013176
XZ1513	0.0080985
XZ1514	0.011266
XZ1516	0.0092369
