strain	median
AB1	0.0011354
BRC20067	-0.0059012
CB4852	-0.0033951
CB4854	-0.0039599
CB4856	-0.0063069
CB4932	-0.0057516
CX11254	-0.0038968
CX11262	-0.0022369
CX11264	-0.0016415
CX11271	-0.012076
CX11276	-0.0038212
CX11285	-0.0075904
CX11292	-0.0042476
CX11307	-0.0123
CX11314	-0.0076251
CX11315	-0.007487
DL200	-0.004462
DL226	-0.0042606
DL238	-0.011698
ECA246	-0.003894
ECA248	0.00077764
ECA250	-0.0064152
ECA251	-0.0028361
ECA252	-0.0081855
ECA259	-0.0073183
ECA348	-0.0091472
ECA349	-0.0043316
ECA36	-0.0097942
ECA363	-0.006484
ECA372	-0.0052737
ECA396	-0.0068347
ED3005	-0.0040318
ED3011	-0.0082402
ED3012	-0.0063583
ED3017	-0.0032881
ED3040	-0.0018774
ED3046	-0.002509
ED3048	-0.0073869
ED3049	-0.0030354
ED3052	-0.0046904
ED3073	-0.0052947
ED3077	-0.0079465
EG4347	-0.0063216
EG4349	-0.0015448
EG4724	-0.0023325
EG4725	-0.0045333
EG4946	-0.006011
GXW1	-0.012244
JT11398	-0.0056408
JU1088	-0.0052694
JU1172	-0.0059147
JU1200	-0.0069023
JU1212	-0.009388
JU1213	-0.0055295
JU1242	-0.0076337
JU1246	-9.4064e-06
JU1395	-0.0035942
JU1400	-0.0023215
JU1409	-0.0085418
JU1440	-0.0043433
JU1491	-0.0075378
JU1530	-0.0042698
JU1543	-0.003767
JU1568	-0.00073282
JU1580	-0.0032931
JU1581	-0.0087214
JU1586	-0.0042209
JU1652	-0.0071723
JU1793	-0.0023113
JU1808	0.0025774
JU1896	-0.0048785
JU2001	-0.0072131
JU2007	-0.0035977
JU2131	-0.0062621
JU2141	-0.0053679
JU2234	-0.0022508
JU2464	-0.0054553
JU2466	-0.0062467
JU2513	-0.0026453
JU2519	-0.0070099
JU2522	-0.0079478
JU2526	-0.011788
JU2534	-0.010524
JU2565	0.0028222
JU2566	-0.0046063
JU2578	-0.00076469
JU258	-0.0050797
JU2587	-0.0096514
JU2593	-0.0034998
JU2600	-0.0063246
JU2800	-0.011589
JU2862	-0.0068485
JU2866	-0.0049292
JU2878	-0.0067473
JU2879	-0.0071621
JU2906	-0.0079553
JU310	-0.0071565
JU311	-0.0057476
JU3125	-0.0034456
JU3127	-0.0094897
JU3134	-0.0089355
JU3135	-0.0027211
JU3137	-0.0041155
JU3140	0.0017015
JU323	-0.0055141
JU346	-0.0033342
JU360	-0.0046939
JU367	-0.004986
JU393	-0.0048523
JU394	-0.0041227
JU397	-0.0032026
JU406	-0.0018971
JU440	-0.0012395
JU561	-0.00070665
JU642	-0.0097176
JU751	-0.0009292
JU774	-0.0039535
JU775	-0.006665
JU778	-0.00032797
JU782	-1.3579e-05
JU792	-0.006681
JU830	-0.0020674
JU847	-0.0062836
KR314	-0.0038585
LKC34	-0.0032157
LSJ1	-0.0015667
MY1	-0.0048552
MY10	-0.004957
MY16	-0.0046094
MY18	-0.0019328
MY2212	-0.0058286
MY23	-0.0063707
MY2453	-0.002564
MY2530	-0.0038091
MY2535	-0.0037907
MY2573	-0.0075715
MY2693	-0.0066457
MY2741	-0.006832
MY679	-0.002504
MY920	-0.0061198
N2	-0.0021402
NIC1	-0.0031242
NIC1107	0.00015043
NIC166	-0.0057387
NIC195	-0.010785
NIC199	-0.0061418
NIC2	-0.0047148
NIC207	-0.0048834
NIC231	-0.0041406
NIC236	-0.005935
NIC242	-0.0059599
NIC251	0.00047287
NIC252	-0.0056805
NIC255	-0.0054381
NIC256	-0.0071601
NIC258	-0.0025043
NIC259	-0.0045182
NIC260	-0.0036342
NIC261	-0.0041305
NIC262	-0.0023606
NIC265	-0.0077854
NIC266	-0.0046919
NIC267	-0.0062975
NIC268	-0.0057488
NIC269	-0.0056047
NIC271	-0.0050145
NIC272	-0.0063606
NIC274	-0.0041218
NIC275	-0.0056424
NIC276	-0.0066847
NIC277	-0.0073355
NIC3	-0.0033526
NIC513	-0.0089976
NIC514	-0.0033514
NIC522	-0.00085749
NIC523	-0.0048826
PB303	-0.0098706
PS2025	-0.0059507
PX179	-0.0089179
QG2075	-0.0034446
QG536	-0.0040085
QG556	-0.0087401
QG557	-0.012088
QW947	-0.0046126
QX1212	-0.0020198
QX1233	-0.0087458
QX1791	-0.0063854
QX1792	-0.0057418
QX1793	-0.006141
QX1794	-0.0068583
RC301	-0.0052181
WN2001	-0.0035273
WN2002	-0.0044701
WN2033	-0.005922
XZ1513	-0.010623
XZ1514	-0.01375
XZ1516	-0.0058514
