strain	median
AB1	0.028393
BRC20067	0.0065736
CB4852	0.0036091
CB4854	0.01966
CB4856	0.021533
CB4932	0.029493
CX11254	0.019939
CX11262	0.013326
CX11264	0.0067801
CX11271	0.027509
CX11276	-0.00039591
CX11285	-0.00016936
CX11292	0.013384
CX11307	0.012015
CX11314	0.023934
CX11315	0.039185
DL200	0.023418
DL226	0.026536
DL238	0.013798
ECA246	-0.0053741
ECA248	0.02093
ECA250	0.012811
ECA251	0.016548
ECA252	0.0024846
ECA259	0.031811
ECA348	0.011604
ECA349	0.030576
ECA36	-0.009282
ECA363	0.006357
ECA372	0.018684
ECA396	-0.046707
ED3005	0.023278
ED3011	0.013632
ED3012	0.030206
ED3017	0.025258
ED3040	0.0044018
ED3046	0.020339
ED3048	0.027862
ED3049	0.0023317
ED3052	0.020897
ED3073	0.022263
ED3077	0.017493
EG4347	0.013909
EG4349	0.012013
EG4724	0.010477
EG4725	0.011291
EG4946	0.020138
GXW1	0.039985
JT11398	0.025627
JU1088	0.033158
JU1172	0.017541
JU1200	0.030415
JU1212	0.01752
JU1213	0.025169
JU1242	0.035827
JU1246	0.019488
JU1395	0.019036
JU1400	0.009501
JU1409	0.026504
JU1440	0.0082888
JU1491	0.030941
JU1530	0.020166
JU1543	0.025115
JU1568	0.013566
JU1580	0.010356
JU1581	0.036636
JU1586	0.017652
JU1652	0.020129
JU1793	0.016265
JU1808	0.03886
JU1896	0.010418
JU2001	0.000436
JU2007	0.024595
JU2131	0.020092
JU2141	0.0079186
JU2234	0.00065691
JU2464	0.026647
JU2466	0.011454
JU2513	0.010969
JU2519	0.020457
JU2522	0.010659
JU2526	0.018361
JU2534	0.026935
JU2565	0.010593
JU2566	0.017552
JU2578	0.012356
JU258	0.017982
JU2587	0.013895
JU2593	0.023933
JU2600	0.017201
JU2800	0.026783
JU2862	0.0041895
JU2866	0.010393
JU2878	0.017697
JU2879	0.024448
JU2906	0.013135
JU310	0.021702
JU311	0.024345
JU3125	0.037027
JU3127	0.025297
JU3134	0.023361
JU3135	0.022415
JU3137	0.032873
JU3140	0.02197
JU323	0.020859
JU346	0.01454
JU360	0.018961
JU367	0.01021
JU393	0.0098134
JU394	0.014172
JU397	0.027069
JU406	0.026825
JU440	-0.01094
JU561	0.024464
JU642	0.022309
JU751	0.0014155
JU774	0.024883
JU775	0.012788
JU778	0.027502
JU782	0.013207
JU792	0.017531
JU830	0.023668
JU847	0.021538
KR314	0.011399
LKC34	0.015693
LSJ1	-0.0036034
MY1	0.015489
MY10	0.003974
MY16	0.027219
MY18	0.0074948
MY2212	0.01805
MY23	0.034448
MY2453	0.016002
MY2530	0.017353
MY2535	0.029643
MY2573	0.014857
MY2693	0.025326
MY2741	0.024946
MY679	0.012788
MY920	0.017299
N2	0.0030566
NIC1	0.016919
NIC1107	0.017153
NIC166	0.019898
NIC195	0.024728
NIC199	0.018777
NIC2	0.017216
NIC207	0.0056374
NIC231	-0.0044013
NIC236	0.024974
NIC242	0.015077
NIC251	0.0079901
NIC252	0.036331
NIC255	0.0037289
NIC256	0.0012881
NIC258	0.0022917
NIC259	0.011256
NIC260	0.013392
NIC261	0.020995
NIC262	0.016277
NIC265	0.015569
NIC266	0.012863
NIC267	0.023109
NIC268	0.026164
NIC269	0.023063
NIC271	0.025946
NIC272	0.016277
NIC274	0.020245
NIC275	0.022003
NIC276	0.026782
NIC277	0.028527
NIC3	0.012806
NIC513	0.019016
NIC514	0.025161
NIC522	0.022085
NIC523	0.021386
PB303	0.032429
PS2025	0.019478
PX179	0.028175
QG2075	0.012474
QG536	0.0051557
QG556	0.02943
QG557	0.0017274
QW947	0.016025
QX1212	0.013879
QX1233	0.021758
QX1791	0.02208
QX1792	0.0096414
QX1793	0.016823
QX1794	0.026632
RC301	0.01879
WN2001	0.010261
WN2002	0.014203
WN2033	0.010695
XZ1513	0.034583
XZ1514	0.0062833
XZ1516	-0.00096923
