strain	median
AB1	-0.0011459
BRC20067	-0.0022368
CB4852	0.00059952
CB4854	-0.0020127
CB4856	-0.0010176
CB4932	-0.0025499
CX11254	-0.00024778
CX11262	0.00071428
CX11264	-0.002101
CX11271	0.00022048
CX11276	-0.00048522
CX11285	-0.00066624
CX11292	-0.0023064
CX11307	-0.0011857
CX11314	-0.0012806
CX11315	-0.00066515
DL200	-0.0022944
DL226	-0.0030932
DL238	-0.0011291
ECA246	-0.00091668
ECA248	-0.0023366
ECA250	-0.0017282
ECA251	-0.0017273
ECA252	-0.00051013
ECA259	-0.00043021
ECA348	-0.00051657
ECA349	-0.0024179
ECA36	0.00064606
ECA363	-0.00068942
ECA372	-0.0024428
ECA396	-0.0025976
ED3005	-0.0019942
ED3011	-0.0024917
ED3012	-0.0014556
ED3017	-0.0010372
ED3040	-0.0019308
ED3046	-0.0012368
ED3048	-0.00081019
ED3049	-0.00051564
ED3052	-0.0011121
ED3073	-0.0013497
ED3077	-0.0030736
EG4347	-0.0015988
EG4349	-0.00059825
EG4724	-0.0017525
EG4725	-0.0022403
EG4946	-0.0016259
GXW1	-0.0030104
JT11398	-0.0024222
JU1088	-0.0011325
JU1172	0.00059744
JU1200	-0.0022632
JU1212	-0.00083391
JU1213	-0.0028504
JU1242	-0.0020038
JU1246	-0.0025724
JU1395	-0.0023611
JU1400	-0.00056638
JU1409	0.00073801
JU1440	-0.0022245
JU1491	-0.0014546
JU1530	-0.0009175
JU1543	-0.0033991
JU1568	-0.0015539
JU1580	-0.0010801
JU1581	-2.1729e-05
JU1586	-0.0017589
JU1652	-0.00041398
JU1793	-0.0018565
JU1808	-0.0043815
JU1896	-0.0016366
JU2001	-0.0016382
JU2007	-0.0026037
JU2131	-0.0007449
JU2141	-0.0001685
JU2234	-0.0011906
JU2464	-0.001836
JU2466	-0.0017103
JU2513	-0.00050844
JU2519	-0.0016121
JU2522	-0.0018169
JU2526	-0.0021324
JU2534	-0.0019746
JU2565	-0.0021295
JU2566	-0.00022291
JU2578	-0.003338
JU258	-0.00028134
JU2587	-0.0027441
JU2593	-0.0023925
JU2600	-0.0011146
JU2800	-0.0017754
JU2862	-0.0018915
JU2866	-0.00031411
JU2878	-0.0021708
JU2879	-7.6193e-05
JU2906	-0.0005167
JU310	-0.0023831
JU311	3.3144e-05
JU3125	-0.0013564
JU3127	-0.0017427
JU3134	-0.0020276
JU3135	-0.0038338
JU3137	-0.0020325
JU3140	-0.0015095
JU323	-0.00084201
JU346	-0.0012398
JU360	0.0014218
JU367	-0.001454
JU393	-0.0013613
JU394	-0.0013984
JU397	-0.0013
JU406	-2.7474e-05
JU440	0.0019719
JU561	-0.0034283
JU642	-0.0011208
JU751	-0.0029006
JU774	0.0016142
JU775	-0.000365
JU778	-0.0030098
JU782	-0.001431
JU792	-0.00011013
JU830	-0.0019218
JU847	-0.0032996
KR314	-0.00091185
LKC34	-0.001715
LSJ1	-0.0014425
MY1	-0.0010751
MY10	-0.0015119
MY16	-0.0021059
MY18	-0.0031398
MY2212	-0.0014253
MY23	-0.00046171
MY2453	-0.0021499
MY2530	-0.0015676
MY2535	-0.0019403
MY2573	-0.001058
MY2693	-0.002184
MY2741	-0.0020916
MY679	-0.0016673
MY920	-0.0013071
N2	-0.00063496
NIC1	-0.0026711
NIC1107	-0.0021972
NIC166	-0.00045291
NIC195	-0.00026225
NIC199	0.0011171
NIC2	-0.001152
NIC207	0.00060014
NIC231	-0.001152
NIC236	-0.0017338
NIC242	-0.0014224
NIC251	-0.002083
NIC252	-0.00053786
NIC255	-0.001573
NIC256	-0.0013226
NIC258	-0.00098753
NIC259	-0.0010123
NIC260	1.2119e-05
NIC261	-0.00086875
NIC262	-0.00099097
NIC265	-0.0012975
NIC266	0.0004541
NIC267	-0.001715
NIC268	-0.0011545
NIC269	0.00071712
NIC271	-0.00020205
NIC272	-0.0013249
NIC274	0.00024433
NIC275	-0.0012886
NIC276	-0.0015073
NIC277	-0.0013953
NIC3	-0.0010983
NIC513	-0.0015385
NIC514	-0.0010739
NIC522	-0.0026525
NIC523	-0.0015794
PB303	-0.0012261
PS2025	0.0012934
PX179	-0.0004682
QG2075	-0.00077784
QG536	-0.0032644
QG556	-0.00056
QG557	0.00046587
QW947	-0.0004178
QX1212	-0.00099055
QX1233	-0.0019127
QX1791	-0.00061605
QX1792	-0.0017906
QX1793	-0.00092945
QX1794	0.00032421
RC301	-0.0033924
WN2001	-0.0026375
WN2002	-0.0010382
WN2033	-0.0023081
XZ1513	-7.5251e-05
XZ1514	8.7777e-06
XZ1516	-0.0003593
