strain	median
AB1	-1718.75
BRC20067	-1015.625
CB4852	-625
CB4854	-1093.75
CB4856	-468.75
CB4932	-937.5
CX11254	-625
CX11262	312.5
CX11264	-625
CX11271	-625
CX11276	-937.5
CX11285	-312.5
CX11292	-625
CX11307	-312.5
CX11314	-781.25
CX11315	-625
DL200	-625
DL226	-937.5
DL238	-625
ECA246	-390.625
ECA248	-781.25
ECA250	-781.25
ECA251	-468.75
ECA252	-468.75
ECA259	-781.25
ECA348	-468.75
ECA349	-781.25
ECA36	-625
ECA363	-312.5
ECA372	-937.5
ECA396	0
ED3005	-1406.25
ED3011	-937.5
ED3012	-781.25
ED3017	-937.5
ED3040	-1093.75
ED3046	-1875
ED3048	-937.5
ED3049	-156.25
ED3052	-781.25
ED3073	-781.25
ED3077	-1093.75
EG4347	-1250
EG4349	-1250
EG4724	-937.5
EG4725	-546.875
EG4946	-781.25
GXW1	-1718.75
JT11398	-1250
JU1088	-625
JU1172	-156.25
JU1200	-781.25
JU1212	-156.25
JU1213	-937.5
JU1242	-937.5
JU1246	-625
JU1395	-937.5
JU1400	-156.25
JU1409	-468.75
JU1440	-937.5
JU1491	-781.25
JU1530	-468.75
JU1543	-781.25
JU1568	-1718.75
JU1580	-312.5
JU1581	-781.25
JU1586	-625
JU1652	-781.25
JU1793	-390.625
JU1808	-2031.25
JU1896	-781.25
JU2001	-312.5
JU2007	-937.5
JU2131	-937.5
JU2141	-312.5
JU2234	-625
JU2464	-781.25
JU2466	-625
JU2513	-312.5
JU2519	-1093.75
JU2522	-781.25
JU2526	-781.25
JU2534	-781.25
JU2565	-625
JU2566	-625
JU2578	-1406.25
JU258	-468.75
JU2587	-937.5
JU2593	-1250
JU2600	-468.75
JU2800	-1093.75
JU2862	-781.25
JU2866	-468.75
JU2878	-546.875
JU2879	-781.25
JU2906	-156.25
JU310	-1093.75
JU311	-546.875
JU3125	-625
JU3127	-781.25
JU3134	-625
JU3135	-1250
JU3137	-625
JU3140	-468.75
JU323	-937.5
JU346	-781.25
JU360	-937.5
JU367	-625
JU393	-1093.75
JU394	-1093.75
JU397	-781.25
JU406	-781.25
JU440	-156.25
JU561	-1250
JU642	-468.75
JU751	-1406.25
JU774	-625
JU775	-781.25
JU778	-1406.25
JU782	-937.5
JU792	-781.25
JU830	-1562.5
JU847	-781.25
KR314	-1093.75
LKC34	-937.5
LSJ1	-468.75
MY1	-781.25
MY10	0
MY16	-1093.75
MY18	-468.75
MY2212	-156.25
MY23	-937.5
MY2453	-781.25
MY2530	-937.5
MY2535	-468.75
MY2573	-781.25
MY2693	-625
MY2741	-781.25
MY679	-625
MY920	-156.25
N2	-468.75
NIC1	-1093.75
NIC1107	-156.25
NIC166	-781.25
NIC195	-1093.75
NIC199	-468.75
NIC2	-937.5
NIC207	-937.5
NIC231	-781.25
NIC236	-781.25
NIC242	-781.25
NIC251	-1562.5
NIC252	-1093.75
NIC255	-625
NIC256	-859.375
NIC258	-312.5
NIC259	-937.5
NIC260	-781.25
NIC261	-156.25
NIC262	-312.5
NIC265	-781.25
NIC266	-625
NIC267	-781.25
NIC268	-1093.75
NIC269	-625
NIC271	-312.5
NIC272	-781.25
NIC274	-625
NIC275	-703.125
NIC276	-625
NIC277	-859.375
NIC3	-625
NIC513	-625
NIC514	-468.75
NIC522	-937.5
NIC523	-468.75
PB303	-1093.75
PS2025	-156.25
PX179	-312.5
QG2075	-312.5
QG536	-625
QG556	-312.5
QG557	-468.75
QW947	-312.5
QX1212	-937.5
QX1233	-937.5
QX1791	-468.75
QX1792	-1250
QX1793	-468.75
QX1794	-781.25
RC301	-937.5
WN2001	-937.5
WN2002	-937.5
WN2033	-1093.75
XZ1513	-781.25
XZ1514	-156.25
XZ1516	-312.5
