strain	median
AB1	14.7347
BRC20067	7.2747
CB4852	15.9565
CB4854	7.6587
CB4856	9.8046
CB4932	11.4685
CX11254	11.3111
CX11262	5.2038
CX11264	1.5718
CX11271	6.561
CX11276	1.6225
CX11285	-0.30436
CX11292	5.9709
CX11307	8.6837
CX11314	12.4818
CX11315	10.1527
DL200	2.2425
DL226	10.0383
DL238	11.4215
ECA246	8.6888
ECA248	10.915
ECA250	8.4751
ECA251	6.3911
ECA252	0.79762
ECA259	8.9835
ECA348	15.3513
ECA349	12.0968
ECA36	6.521
ECA363	-2.7136
ECA372	12.5737
ECA396	-2.5559
ED3005	13.0593
ED3011	13.0869
ED3012	8.8905
ED3017	7.5625
ED3040	7.1705
ED3046	10.9929
ED3048	12.1587
ED3049	2.2922
ED3052	8.2513
ED3073	10.3565
ED3077	1.9798
EG4347	13.1802
EG4349	12.8712
EG4724	6.1083
EG4725	6.06
EG4946	14.7788
GXW1	8.0654
JT11398	13.0043
JU1088	10.188
JU1172	8.6109
JU1200	9.346
JU1212	14.3644
JU1213	9.2006
JU1242	6.9421
JU1246	3.3915
JU1395	8.7817
JU1400	3.28
JU1409	12.6285
JU1440	7.8592
JU1491	11.3396
JU1530	5.0648
JU1543	-2.8585
JU1568	10.3645
JU1580	-0.26567
JU1581	10.8934
JU1586	6.925
JU1652	14.1195
JU1793	-0.0077665
JU1808	1.6242
JU1896	11.4958
JU2001	1.3486
JU2007	10.1289
JU2131	9.9556
JU2141	10.3163
JU2234	5.5791
JU2464	3.3332
JU2466	5.7839
JU2513	7.0741
JU2519	5.1641
JU2522	6.6852
JU2526	12.6983
JU2534	11.1154
JU2565	2.5952
JU2566	10.2459
JU2578	1.2444
JU258	8.2904
JU2587	10.6064
JU2593	12.7037
JU2600	8.2163
JU2800	13.3827
JU2862	5.2721
JU2866	11.447
JU2878	7.3589
JU2879	14.9932
JU2906	4.9851
JU310	7.5233
JU311	18.3695
JU3125	16.8658
JU3127	9.9978
JU3134	10.9965
JU3135	4.5443
JU3137	6.556
JU3140	11.9774
JU323	11.9552
JU346	10.6441
JU360	12.8661
JU367	14.1773
JU393	1.5262
JU394	4.2225
JU397	6.9984
JU406	7.8855
JU440	11.7783
JU561	13.9603
JU642	11.417
JU751	-8.1347
JU774	11.1578
JU775	8.8025
JU778	9.6713
JU782	8.8717
JU792	14.1742
JU830	6.5253
JU847	7.1361
KR314	11.5541
LKC34	7.2733
LSJ1	6.8631
MY1	14.4746
MY10	1.5189
MY16	8.0049
MY18	5.1587
MY2212	8.5395
MY23	13.2588
MY2453	10.5724
MY2530	3.5274
MY2535	8.1056
MY2573	14.1248
MY2693	10.1508
MY2741	13.097
MY679	11.8159
MY920	8.191
N2	4.6776
NIC1	4.9809
NIC1107	8.1108
NIC166	12.1119
NIC195	7.0118
NIC199	11.0939
NIC2	11.9866
NIC207	8.7122
NIC231	6.2553
NIC236	10.175
NIC242	10.4414
NIC251	-2.6868
NIC252	10.184
NIC255	1.764
NIC256	5.0742
NIC258	0.85782
NIC259	6.6789
NIC260	15.7101
NIC261	4.7048
NIC262	-3.8824
NIC265	5.8669
NIC266	11.9389
NIC267	1.8341
NIC268	9.0994
NIC269	6.24
NIC271	7.665
NIC272	-3.4004
NIC274	19.3834
NIC275	9.4755
NIC276	12.2934
NIC277	11.1624
NIC3	3.0787
NIC513	6.3514
NIC514	7.0651
NIC522	5.9317
NIC523	6.6843
PB303	14.3488
PS2025	7.6251
PX179	9.7263
QG2075	0.0095174
QG536	2.3549
QG556	3.344
QG557	10.7846
QW947	8.8789
QX1212	9.6546
QX1233	6.8137
QX1791	3.9267
QX1792	3.7984
QX1793	8.7736
QX1794	10.7993
RC301	4.4223
WN2001	4.0976
WN2002	12.6084
WN2033	6.7506
XZ1513	21.3379
XZ1514	3.1248
XZ1516	0.48755
