strain	median
AB1	-0.016428
BRC20067	0.00052709
CB4852	-0.0044064
CB4854	0.0015124
CB4856	-0.009325
CB4932	-0.0053676
CX11254	0.0084419
CX11262	0.0027887
CX11264	-0.0092577
CX11271	0.00013768
CX11276	0.017299
CX11285	0.022312
CX11292	-0.012234
CX11307	0.00043511
CX11314	-0.0063801
CX11315	-0.019198
DL200	-0.017045
DL226	-0.033062
DL238	-0.0085333
ECA246	0.044913
ECA248	-0.016438
ECA250	0.011316
ECA251	-0.0014898
ECA252	0.0010586
ECA259	-0.031192
ECA348	-0.021421
ECA349	-0.014639
ECA36	0.0044265
ECA363	0.012313
ECA372	-0.01464
ECA396	0.065727
ED3005	0.0044976
ED3011	0.041036
ED3012	-0.013997
ED3017	-0.008038
ED3040	-0.0069145
ED3046	-0.020148
ED3048	-0.020493
ED3049	0.036373
ED3052	-0.0024724
ED3073	-0.020018
ED3077	-0.032283
EG4347	-0.021205
EG4349	-0.013878
EG4724	-0.021452
EG4725	-0.012027
EG4946	0.014217
GXW1	-0.026435
JT11398	0.0020959
JU1088	-0.019468
JU1172	0.012674
JU1200	-0.0077127
JU1212	-0.0059253
JU1213	-0.025508
JU1242	-0.022831
JU1246	-0.009252
JU1395	-0.027327
JU1400	0.013115
JU1409	-0.0086594
JU1440	-0.022309
JU1491	-0.020252
JU1530	-0.012931
JU1543	-0.013688
JU1568	-0.0016687
JU1580	0.0042941
JU1581	-0.0013482
JU1586	0.00014082
JU1652	-0.024008
JU1793	-0.013096
JU1808	-0.042383
JU1896	0.0001855
JU2001	-0.0067825
JU2007	-0.012073
JU2131	-0.016252
JU2141	0.030748
JU2234	0.032016
JU2464	-0.028057
JU2466	-0.014105
JU2513	-0.011326
JU2519	-0.022615
JU2522	-0.01631
JU2526	-0.017625
JU2534	-0.026066
JU2565	-0.013823
JU2566	0.011821
JU2578	-0.0085264
JU258	-0.0073559
JU2587	-0.015903
JU2593	-0.020236
JU2600	-0.00033654
JU2800	-0.035088
JU2862	0.012708
JU2866	0.019189
JU2878	0.008019
JU2879	0.0035497
JU2906	-0.0057284
JU310	-0.015936
JU311	0.03454
JU3125	-0.03706
JU3127	-0.014601
JU3134	-0.01373
JU3135	-0.031448
JU3137	-0.0055665
JU3140	-0.011274
JU323	-0.012572
JU346	-0.012285
JU360	0.032781
JU367	0.0026298
JU393	-0.0088935
JU394	-0.0075497
JU397	0.022435
JU406	-0.016504
JU440	0.083674
JU561	-0.028496
JU642	0.022133
JU751	0.038652
JU774	0.0077628
JU775	-0.019943
JU778	-0.03123
JU782	-0.024709
JU792	-0.00082777
JU830	-0.012226
JU847	-0.011792
KR314	-0.0081349
LKC34	0.010755
LSJ1	0.045617
MY1	-0.020263
MY10	0.030145
MY16	-0.02076
MY18	-0.01437
MY2212	-0.012448
MY23	-0.016256
MY2453	0.0092287
MY2530	-0.029976
MY2535	-0.013426
MY2573	-0.008778
MY2693	-0.013524
MY2741	-0.0043702
MY679	-0.01858
MY920	-0.015379
N2	-0.0011629
NIC1	0.0047656
NIC1107	-0.0051788
NIC166	0.0093568
NIC195	-0.026415
NIC199	-0.0067182
NIC2	-0.0053067
NIC207	-0.0031954
NIC231	0.00071955
NIC236	0.0041691
NIC242	0.0091678
NIC251	-0.0122
NIC252	-0.0096706
NIC255	-0.0092315
NIC256	0.0030559
NIC258	-0.0016071
NIC259	-0.0075491
NIC260	-0.013841
NIC261	-0.0034898
NIC262	-0.014249
NIC265	-0.011324
NIC266	-0.011297
NIC267	-0.020046
NIC268	-0.018506
NIC269	-0.013123
NIC271	0.0085274
NIC272	-0.028115
NIC274	-0.0072081
NIC275	-0.024196
NIC276	-0.02112
NIC277	-0.016772
NIC3	0.021726
NIC513	0.01497
NIC514	-0.0027106
NIC522	-0.01385
NIC523	-0.011501
PB303	-0.027078
PS2025	-0.0072194
PX179	-0.017601
QG2075	-0.0018486
QG536	0.0039543
QG556	-0.029163
QG557	0.017373
QW947	-0.003588
QX1212	-0.017832
QX1233	-0.017402
QX1791	0.0015726
QX1792	-8.2823e-05
QX1793	-0.01616
QX1794	-0.01127
RC301	-0.023137
WN2001	-0.007601
WN2002	0.020292
WN2033	-0.014228
XZ1513	-0.025264
XZ1514	0.0091327
XZ1516	0.0061021
