strain	median
AB1	-0.11315
BRC20067	-0.17458
CB4852	0.12756
CB4854	-0.22476
CB4856	-0.29238
CB4932	-0.10606
CX11254	-0.075844
CX11262	-0.1283
CX11264	-0.052812
CX11271	-0.23071
CX11276	-0.099425
CX11285	-0.37467
CX11292	-0.21904
CX11307	-0.093745
CX11314	-0.2044
CX11315	-0.035557
DL200	-0.26415
DL226	-0.20233
DL238	-0.14716
ECA246	-0.14007
ECA248	-0.13794
ECA250	-0.34683
ECA251	-0.24595
ECA252	-0.12294
ECA259	-0.11886
ECA348	-0.018038
ECA349	-0.068439
ECA36	-0.57019
ECA363	-0.52432
ECA372	-0.041108
ECA396	-0.52129
ED3005	-0.016061
ED3011	-0.21531
ED3012	-0.16069
ED3017	-0.11539
ED3040	-0.098423
ED3046	0.076774
ED3048	-0.2141
ED3049	-0.1028
ED3052	-0.25673
ED3073	-0.016152
ED3077	-0.45025
EG4347	-0.15525
EG4349	-0.062349
EG4724	-0.062598
EG4725	-0.15455
EG4946	-0.095527
GXW1	-0.38421
JT11398	-0.070515
JU1088	-0.09867
JU1172	-0.2155
JU1200	-0.14816
JU1212	-0.15453
JU1213	-0.21196
JU1242	-0.15867
JU1246	-0.22519
JU1395	-0.14354
JU1400	-0.0883
JU1409	-0.17878
JU1440	-0.37318
JU1491	-0.042126
JU1530	-0.028803
JU1543	-0.20551
JU1568	0.026056
JU1580	-0.089016
JU1581	-0.3441
JU1586	-0.16874
JU1652	-0.21317
JU1793	-0.18734
JU1808	-0.32465
JU1896	-0.12142
JU2001	-0.30384
JU2007	-0.11871
JU2131	-0.10067
JU2141	-0.007968
JU2234	-0.11973
JU2464	-0.12065
JU2466	-0.22498
JU2513	-0.1576
JU2519	-0.12864
JU2522	0.012465
JU2526	-0.20543
JU2534	-0.17436
JU2565	-0.12628
JU2566	-0.10908
JU2578	-0.24836
JU258	-0.34831
JU2587	0.095313
JU2593	-0.0090495
JU2600	-0.10441
JU2800	-0.26686
JU2862	-0.29282
JU2866	0.006461
JU2878	-0.24274
JU2879	-0.173
JU2906	-0.12156
JU310	-0.14214
JU311	-0.10077
JU3125	-0.17367
JU3127	-0.085285
JU3134	0.032039
JU3135	-0.23452
JU3137	-0.065639
JU3140	-0.025923
JU323	-0.16993
JU346	-0.030314
JU360	-0.23817
JU367	-0.12266
JU393	-0.24852
JU394	-0.15505
JU397	-0.24664
JU406	-0.20284
JU440	-0.19965
JU561	-0.29126
JU642	-0.16743
JU751	-0.10283
JU774	-0.2897
JU775	-0.096961
JU778	-0.21172
JU782	-0.29214
JU792	-0.044142
JU830	-0.22209
JU847	-0.092486
KR314	-0.10184
LKC34	-0.25591
LSJ1	-0.10284
MY1	-0.08499
MY10	-0.042596
MY16	-0.18725
MY18	-0.26734
MY2212	-0.13802
MY23	-0.17455
MY2453	-0.020343
MY2530	-0.15087
MY2535	-0.15033
MY2573	-0.061358
MY2693	-0.14927
MY2741	-0.11726
MY679	-0.041298
MY920	-0.075124
N2	-0.094919
NIC1	-0.2428
NIC1107	-0.23709
NIC166	-0.20246
NIC195	-0.26861
NIC199	-0.25181
NIC2	-0.032963
NIC207	-0.1513
NIC231	-0.050175
NIC236	-0.11874
NIC242	-0.13835
NIC251	-0.38496
NIC252	-0.19911
NIC255	-0.15015
NIC256	-0.17064
NIC258	-0.13079
NIC259	-0.32518
NIC260	0.054648
NIC261	-0.2454
NIC262	-0.13653
NIC265	-0.11735
NIC266	-0.15746
NIC267	-0.40279
NIC268	-0.50938
NIC269	-0.24252
NIC271	-0.16173
NIC272	-0.18132
NIC274	-0.16031
NIC275	-0.073759
NIC276	-0.12218
NIC277	-0.25105
NIC3	-0.17285
NIC513	-0.39139
NIC514	-0.19704
NIC522	-0.088605
NIC523	-0.12112
PB303	-0.054891
PS2025	-0.2102
PX179	-0.079356
QG2075	-0.1343
QG536	-0.24593
QG556	-0.11527
QG557	-0.11283
QW947	-0.23705
QX1212	-0.050648
QX1233	-0.15406
QX1791	-0.20364
QX1792	-0.076915
QX1793	-0.031935
QX1794	-0.24395
RC301	-0.12916
WN2001	-0.10618
WN2002	-0.055849
WN2033	-0.10119
XZ1513	0.044503
XZ1514	-0.28701
XZ1516	-0.14916
