strain	median
AB1	-4.6169e-05
BRC20067	-3.8345e-06
CB4852	-6.6264e-05
CB4854	-5.4863e-05
CB4856	-4.8957e-05
CB4932	-2.6252e-05
CX11254	-8.0758e-05
CX11262	7.633e-05
CX11264	-6.6029e-06
CX11271	-9.2855e-05
CX11276	3.3227e-05
CX11285	-1.2057e-05
CX11292	-5.4975e-05
CX11307	-8.0825e-05
CX11314	-0.00010686
CX11315	-9.5047e-05
DL200	-8.998e-05
DL226	-7.1651e-05
DL238	-0.00010372
ECA246	-0.00017557
ECA248	-2.3572e-05
ECA250	2.4207e-05
ECA251	-1.2146e-05
ECA252	8.6937e-06
ECA259	-0.00012622
ECA348	-7.8744e-05
ECA349	-9.4689e-05
ECA36	-0.00011447
ECA363	9.6684e-05
ECA372	-4.8119e-05
ECA396	9.2052e-05
ED3005	-5.3311e-06
ED3011	-8.4863e-05
ED3012	-5.9975e-05
ED3017	-9.4474e-05
ED3040	-4.6906e-05
ED3046	-2.1723e-05
ED3048	-9.7055e-05
ED3049	-2.9445e-05
ED3052	-5.0558e-05
ED3073	-7.3075e-05
ED3077	-4.2503e-05
EG4347	-0.00010247
EG4349	-8.8118e-05
EG4724	1.0746e-06
EG4725	-5.7619e-05
EG4946	-5.5353e-05
GXW1	-2.0126e-05
JT11398	-5.9814e-05
JU1088	-3.5481e-05
JU1172	-7.6377e-05
JU1200	-0.0001159
JU1212	-6.0817e-05
JU1213	-5.4656e-05
JU1242	-2.2056e-05
JU1246	-6.2373e-05
JU1395	-6.3554e-05
JU1400	-9.3948e-05
JU1409	-0.00016671
JU1440	9.2562e-06
JU1491	-0.00010949
JU1530	-4.4987e-05
JU1543	7.2602e-06
JU1568	-3.5351e-05
JU1580	-5.9445e-05
JU1581	-5.5223e-05
JU1586	5.2107e-05
JU1652	-2.8493e-05
JU1793	-3.1052e-05
JU1808	-9.8381e-05
JU1896	-3.0074e-05
JU2001	-5.2965e-05
JU2007	-4.3216e-05
JU2131	-7.0544e-05
JU2141	6.1469e-06
JU2234	-2.3482e-05
JU2464	-4.998e-05
JU2466	-2.8366e-05
JU2513	-7.583e-05
JU2519	2.0725e-05
JU2522	-1.5775e-05
JU2526	-3.5474e-05
JU2534	-5.5442e-05
JU2565	2.5943e-05
JU2566	-2.6916e-05
JU2578	4.1521e-07
JU258	-5.7681e-05
JU2587	-4.4302e-05
JU2593	-0.00015012
JU2600	-8.1741e-05
JU2800	-0.00012317
JU2862	-2.0713e-05
JU2866	-0.00011657
JU2878	-7.5334e-05
JU2879	-9.3976e-05
JU2906	2.7837e-06
JU310	-5.6504e-05
JU311	-7.5534e-05
JU3125	-8.7578e-05
JU3127	-8.474e-05
JU3134	-8.7041e-05
JU3135	-5.3789e-05
JU3137	-7.627e-05
JU3140	-9.1188e-05
JU323	-7.0222e-05
JU346	-1.6926e-05
JU360	-0.00017062
JU367	-8.2817e-05
JU393	-1.0688e-05
JU394	-6.8843e-05
JU397	-8.6216e-05
JU406	-7.0083e-05
JU440	5.9524e-06
JU561	-8.6905e-05
JU642	2.0892e-05
JU751	0.00010061
JU774	-5.387e-05
JU775	-5.361e-05
JU778	-3.655e-05
JU782	-4.5925e-05
JU792	-0.00014409
JU830	-1.2759e-05
JU847	-9.6238e-05
KR314	-6.089e-05
LKC34	-3.268e-05
LSJ1	-1.1003e-05
MY1	-6.5651e-05
MY10	-9.5917e-05
MY16	-5.1932e-05
MY18	7.9e-05
MY2212	-8.5952e-05
MY23	-6.6225e-05
MY2453	-9.377e-05
MY2530	-4.2131e-06
MY2535	-0.00010197
MY2573	-0.00010523
MY2693	-6.1894e-05
MY2741	-7.3441e-05
MY679	-7.4014e-05
MY920	-4.0329e-05
N2	2.4998e-07
NIC1	-3.5594e-05
NIC1107	-1.4052e-05
NIC166	-7.0354e-05
NIC195	-0.00010059
NIC199	-0.0001728
NIC2	-6.8239e-05
NIC207	-9.4948e-05
NIC231	2.4381e-06
NIC236	-9.294e-05
NIC242	-5.3391e-05
NIC251	5.4398e-05
NIC252	-9.4757e-05
NIC255	-5.6387e-05
NIC256	-3.923e-05
NIC258	4.9959e-06
NIC259	-2.5299e-05
NIC260	-9.3692e-05
NIC261	-3.4533e-05
NIC262	9.0538e-06
NIC265	-6.2726e-05
NIC266	-9.6479e-05
NIC267	-7.8057e-05
NIC268	-1.2432e-05
NIC269	-6.5212e-05
NIC271	-4.8037e-05
NIC272	-3.9787e-05
NIC274	-6.9741e-05
NIC275	-0.00013336
NIC276	-4.2359e-05
NIC277	-5.6504e-05
NIC3	-1.2274e-06
NIC513	-2.7175e-05
NIC514	-6.5325e-05
NIC522	-3.4316e-05
NIC523	-4.7295e-05
PB303	-8.7229e-05
PS2025	-5.4756e-05
PX179	-0.00016507
QG2075	4.5162e-05
QG536	-8.9597e-05
QG556	-2.2833e-05
QG557	-7.4218e-05
QW947	-3.0515e-05
QX1212	-6.7579e-05
QX1233	-2.9567e-05
QX1791	-6.1197e-05
QX1792	-0.00013138
QX1793	-8.6968e-05
QX1794	-4.7133e-05
RC301	-3.1277e-05
WN2001	-5.6608e-05
WN2002	-2.7059e-05
WN2033	-4.9714e-05
XZ1513	-9.2942e-05
XZ1514	-5.786e-05
XZ1516	3.7316e-05
