strain	median
AB1	-0.013644
BRC20067	-0.049727
CB4852	-0.027746
CB4854	-0.036513
CB4856	-0.048074
CB4932	-0.047217
CX11254	-0.0033264
CX11262	-0.047751
CX11264	-0.033589
CX11271	-0.1115
CX11276	-0.034571
CX11285	-0.048921
CX11292	-0.022152
CX11307	-0.026548
CX11314	-0.036656
CX11315	-0.087839
DL200	-0.025456
DL226	-0.015573
DL238	-0.046313
ECA246	-0.12982
ECA248	0.032638
ECA250	-0.023521
ECA251	-0.0103
ECA252	-0.0059584
ECA259	-0.081326
ECA348	0.011133
ECA349	0.0035269
ECA36	-0.25224
ECA363	-0.061141
ECA372	-0.036115
ECA396	-0.047297
ED3005	-0.027218
ED3011	-0.032372
ED3012	-0.090059
ED3017	-0.05327
ED3040	-0.072284
ED3046	-0.0035556
ED3048	-0.089789
ED3049	-0.022153
ED3052	-0.055643
ED3073	-0.0033748
ED3077	-0.082558
EG4347	-0.051106
EG4349	-0.011717
EG4724	-0.025648
EG4725	-0.013051
EG4946	-0.039072
GXW1	-0.02568
JT11398	-0.028011
JU1088	-0.043815
JU1172	-0.048467
JU1200	-0.056232
JU1212	-0.016846
JU1213	-0.061801
JU1242	-0.035344
JU1246	-0.028287
JU1395	-0.0097495
JU1400	-0.002549
JU1409	-0.080638
JU1440	-0.0099308
JU1491	-0.0043927
JU1530	-0.010325
JU1543	-0.034
JU1568	-0.043523
JU1580	-0.022861
JU1581	-0.076596
JU1586	-0.054197
JU1652	-0.019702
JU1793	-0.018398
JU1808	-0.043387
JU1896	-0.016425
JU2001	-0.018408
JU2007	-0.038128
JU2131	0.0079945
JU2141	-5.8964e-05
JU2234	-0.025065
JU2464	-0.021199
JU2466	0.010092
JU2513	-0.033894
JU2519	-0.017763
JU2522	-0.022905
JU2526	-0.05368
JU2534	-0.029919
JU2565	0.0059174
JU2566	-0.02804
JU2578	0.0020184
JU258	-0.042985
JU2587	-0.036501
JU2593	-0.019617
JU2600	-0.044785
JU2800	-0.014178
JU2862	-0.047038
JU2866	-0.026853
JU2878	-0.054155
JU2879	-0.067188
JU2906	0.006523
JU310	-0.041533
JU311	-0.072122
JU3125	-0.10115
JU3127	0.0060918
JU3134	-0.045866
JU3135	-0.027878
JU3137	-0.039437
JU3140	-0.014812
JU323	-0.029157
JU346	-0.016595
JU360	-0.028676
JU367	-0.047888
JU393	-0.033975
JU394	-0.016119
JU397	-0.056158
JU406	-0.016106
JU440	-0.050177
JU561	-0.071616
JU642	-0.070485
JU751	-0.021438
JU774	-0.07115
JU775	-0.016802
JU778	-0.071191
JU782	-0.020731
JU792	-0.023954
JU830	-0.01754
JU847	-0.016153
KR314	-0.019453
LKC34	-0.020482
LSJ1	-0.044085
MY1	-0.019686
MY10	-0.015682
MY16	-0.020899
MY18	-0.035557
MY2212	0.0023795
MY23	-0.028357
MY2453	-0.021129
MY2530	-0.02818
MY2535	-0.020672
MY2573	-0.010163
MY2693	-0.0055154
MY2741	-0.030342
MY679	-0.032052
MY920	-0.005805
N2	-0.0080963
NIC1	-0.028832
NIC1107	-0.013359
NIC166	-0.03216
NIC195	-0.065813
NIC199	-0.021867
NIC2	-0.057214
NIC207	-0.034149
NIC231	-0.023846
NIC236	-0.06076
NIC242	-0.030757
NIC251	-0.031559
NIC252	-0.053408
NIC255	-0.052746
NIC256	-0.027022
NIC258	-0.0069232
NIC259	-0.050369
NIC260	-0.026401
NIC261	-0.035489
NIC262	-0.010479
NIC265	-0.029854
NIC266	-0.001936
NIC267	-0.027597
NIC268	-0.13363
NIC269	-0.016824
NIC271	-0.027263
NIC272	-0.02179
NIC274	-0.053553
NIC275	-0.028509
NIC276	-0.088913
NIC277	-0.049103
NIC3	-0.032328
NIC513	-0.044842
NIC514	-0.078852
NIC522	-0.019853
NIC523	-0.043233
PB303	-0.055059
PS2025	-0.015542
PX179	-0.0094031
QG2075	-0.041636
QG536	-0.069135
QG556	-0.0010539
QG557	-0.030609
QW947	-0.024229
QX1212	-0.017958
QX1233	-0.06001
QX1791	-0.050176
QX1792	-0.016005
QX1793	0.0157
QX1794	0.0014324
RC301	-0.046315
WN2001	-0.10785
WN2002	-0.028315
WN2033	-0.062653
XZ1513	-0.0036827
XZ1514	0.023349
XZ1516	-0.025563
