strain	median
AB1	19.5809
BRC20067	22.3435
CB4852	39.7196
CB4854	31.4382
CB4856	29.9082
CB4932	24.5183
CX11254	36.1983
CX11262	-26.5762
CX11264	-4.157
CX11271	27.9843
CX11276	17.8273
CX11285	-22.6363
CX11292	28.0552
CX11307	22.8637
CX11314	40.6375
CX11315	69.2204
DL200	-19.326
DL226	14.6455
DL238	47.3086
ECA246	20.8917
ECA248	39.7861
ECA250	40.6416
ECA251	44.12
ECA252	1.3757
ECA259	42.1551
ECA348	44.5162
ECA349	47.155
ECA36	-4.6299
ECA363	-14.3905
ECA372	39.7079
ECA396	-40.6331
ED3005	63.9077
ED3011	16.9244
ED3012	32.7075
ED3017	8.6002
ED3040	34.3784
ED3046	23.8637
ED3048	24.0806
ED3049	24.467
ED3052	52.0584
ED3073	31.406
ED3077	-19.9235
EG4347	49.0966
EG4349	43.2607
EG4724	12.4547
EG4725	28.8348
EG4946	47.5114
GXW1	18.2562
JT11398	17.1602
JU1088	24.0212
JU1172	15.7128
JU1200	28.6383
JU1212	37.3183
JU1213	40.5421
JU1242	38.9875
JU1246	22.5816
JU1395	57.8868
JU1400	22.8043
JU1409	37.1382
JU1440	9.6425
JU1491	37.4053
JU1530	58.9454
JU1543	-11.5799
JU1568	23.8159
JU1580	14.9766
JU1581	10.5471
JU1586	27.8389
JU1652	41.0489
JU1793	18.4174
JU1808	2.9582
JU1896	47.2522
JU2001	0.95746
JU2007	34.9099
JU2131	46.0162
JU2141	56.4702
JU2234	12.8983
JU2464	3.9948
JU2466	-3.7051
JU2513	41.3672
JU2519	14.9566
JU2522	12.4902
JU2526	2.8942
JU2534	22.4832
JU2565	1.6848
JU2566	28.1153
JU2578	30.8565
JU258	12.2063
JU2587	39.2471
JU2593	64.653
JU2600	7.8602
JU2800	33.3116
JU2862	-0.86557
JU2866	39.6987
JU2878	3.7029
JU2879	2.9953
JU2906	-10.6937
JU310	27.9429
JU311	51.4902
JU3125	29.3574
JU3127	55.6783
JU3134	40.0236
JU3135	-2.0146
JU3137	-2.097
JU3140	21.7143
JU323	48.702
JU346	33.5991
JU360	37.3094
JU367	23.095
JU393	16.0853
JU394	34.1218
JU397	1.873
JU406	36.6975
JU440	22.2148
JU561	22.8876
JU642	22.1265
JU751	27.9387
JU774	19.0303
JU775	40.1777
JU778	17.3434
JU782	33.9348
JU792	18.1138
JU830	12.3895
JU847	7.3881
KR314	26.4401
LKC34	33.3739
LSJ1	11.633
MY1	54.5987
MY10	28.078
MY16	33.4923
MY18	13.3655
MY2212	58.822
MY23	31.4896
MY2453	35.0675
MY2530	7.0531
MY2535	38.9355
MY2573	41.8533
MY2693	10.6227
MY2741	38.8093
MY679	37.2644
MY920	58.7121
N2	2.9378
NIC1	-1.3399
NIC1107	1.4069
NIC166	43.9616
NIC195	2.0787
NIC199	34.2352
NIC2	34.417
NIC207	26.3261
NIC231	40.8576
NIC236	22.8355
NIC242	47.3152
NIC251	-20.045
NIC252	9.9632
NIC255	0.44019
NIC256	1.9639
NIC258	-6.4953
NIC259	-5.7481
NIC260	45.8687
NIC261	30.2893
NIC262	0.068542
NIC265	23.7099
NIC266	48.1968
NIC267	11.798
NIC268	-10.8346
NIC269	-3.2183
NIC271	37.0195
NIC272	22.9303
NIC274	57.0392
NIC275	45.5593
NIC276	40.8392
NIC277	27.4491
NIC3	1.3954
NIC513	22.0938
NIC514	25.375
NIC522	36.381
NIC523	29.9246
PB303	39.4021
PS2025	17.8649
PX179	30.7234
QG2075	18.413
QG536	1.4791
QG556	25.8564
QG557	19.8914
QW947	20.722
QX1212	41.2055
QX1233	22.8245
QX1791	35.4836
QX1792	15.607
QX1793	46.9395
QX1794	33.2961
RC301	11.1834
WN2001	26.2494
WN2002	34.7163
WN2033	-9.1073
XZ1513	55.8522
XZ1514	11.3168
XZ1516	-9.6553
